Entity,Year,Smoke (Fouquet and DPCC (2011)),Suspended Particulate Matter (SPM) (Fouquet and DPCC (2011))
Delhi,1997,,363
Delhi,1998,,378
Delhi,1999,,375
Delhi,2000,,431
Delhi,2001,,382
Delhi,2002,,456
Delhi,2003,,391
Delhi,2004,,390
Delhi,2005,,373
Delhi,2006,,433
Delhi,2007,,365
Delhi,2008,,416
Delhi,2009,,492
Delhi,2010,,481
London,1700,142.8571429,259.7402597
London,1701,144.2857143,262.3376623
London,1702,145.7142857,264.9350649
London,1703,147.1428571,267.5324675
London,1704,148.5714286,270.1298701
London,1705,150,272.7272727
London,1706,151.4285714,275.3246753
London,1707,152.8571429,277.9220779
London,1708,154.2857143,280.5194805
London,1709,155.7142857,283.1168831
London,1710,157.1428571,285.7142857
London,1711,158.5714286,288.3116883
London,1712,160,290.9090909
London,1713,161.4285714,293.5064935
London,1714,162.8571429,296.1038961
London,1715,164.2857143,298.7012987
London,1716,165.7142857,301.2987013
London,1717,167.1428571,303.8961039
London,1718,168.5714286,306.4935065
London,1719,170,309.0909091
London,1720,171.4285714,311.6883117
London,1721,172.8571429,314.2857143
London,1722,174.2857143,316.8831169
London,1723,175.7142857,319.4805195
London,1724,177.1428571,322.0779221
London,1725,178.5714286,324.6753247
London,1726,179.2857143,325.974026
London,1727,180,327.2727273
London,1728,180.7142857,328.5714286
London,1729,181.4285714,329.8701299
London,1730,182.1428571,331.1688312
London,1731,182.8571429,332.4675325
London,1732,183.5714286,333.7662338
London,1733,184.2857143,335.0649351
London,1734,185,336.3636364
London,1735,185.7142857,337.6623377
London,1736,186.4285714,338.961039
London,1737,187.1428571,340.2597403
London,1738,187.8571429,341.5584416
London,1739,188.5714286,342.8571429
London,1740,189.2857143,344.1558442
London,1741,190,345.4545455
London,1742,190.7142857,346.7532468
London,1743,191.4285714,348.0519481
London,1744,192.1428571,349.3506494
London,1745,192.8571429,350.6493506
London,1746,193.5714286,351.9480519
London,1747,194.2857143,353.2467532
London,1748,195,354.5454545
London,1749,195.7142857,355.8441558
London,1750,196.4285714,357.1428571
London,1751,196.7857143,357.7922078
London,1752,197.1428571,358.4415584
London,1753,197.5,359.0909091
London,1754,197.8571429,359.7402597
London,1755,198.2142857,360.3896104
London,1756,198.5714286,361.038961
London,1757,198.9285714,361.6883117
London,1758,199.2857143,362.3376623
London,1759,199.6428571,362.987013
London,1760,200,363.6363636
London,1761,200.3571429,364.2857143
London,1762,200.7142857,364.9350649
London,1763,201.0714286,365.5844156
London,1764,201.4285714,366.2337662
London,1765,201.7857143,366.8831169
London,1766,202.1428571,367.5324675
London,1767,202.5,368.1818182
London,1768,202.8571429,368.8311688
London,1769,203.2142857,369.4805195
London,1770,203.5714286,370.1298701
London,1771,203.9285714,370.7792208
London,1772,204.2857143,371.4285714
London,1773,204.6428571,372.0779221
London,1774,205,372.7272727
London,1775,205.3571429,373.3766234
London,1776,205.7142857,374.025974
London,1777,206.0714286,374.6753247
London,1778,206.4285714,375.3246753
London,1779,206.7857143,375.974026
London,1780,207.1428571,376.6233766
London,1781,207.5,377.2727273
London,1782,207.8571429,377.9220779
London,1783,208.2142857,378.5714286
London,1784,208.5714286,379.2207792
London,1785,208.9285714,379.8701299
London,1786,209.2857143,380.5194805
London,1787,209.6428571,381.1688312
London,1788,210,381.8181818
London,1789,210.3571429,382.4675325
London,1790,210.7142857,383.1168831
London,1791,211.0714286,383.7662338
London,1792,211.4285714,384.4155844
London,1793,211.7857143,385.0649351
London,1794,212.1428571,385.7142857
London,1795,212.5,386.3636364
London,1796,212.8571429,387.012987
London,1797,213.2142857,387.6623377
London,1798,213.5714286,388.3116883
London,1799,213.9285714,388.961039
London,1800,214.2857143,389.6103896
London,1801,216.1428571,392.987013
London,1802,218,396.3636364
London,1803,219.8571429,399.7402597
London,1804,221.7142857,403.1168831
London,1805,223.5714286,406.4935065
London,1806,225.4285714,409.8701299
London,1807,227.2857143,413.2467532
London,1808,229.1428571,416.6233766
London,1809,231,420
London,1810,232.8571429,423.3766234
London,1811,234.7142857,426.7532468
London,1812,236.5714286,430.1298701
London,1813,238.4285714,433.5064935
London,1814,240.2857143,436.8831169
London,1815,242.1428571,440.2597403
London,1816,244,443.6363636
London,1817,245.8571429,447.012987
London,1818,247.7142857,450.3896104
London,1819,249.5714286,453.7662338
London,1820,251.4285714,457.1428571
London,1821,253.2857143,460.5194805
London,1822,255.1428571,463.8961039
London,1823,257,467.2727273
London,1824,258.8571429,470.6493506
London,1825,260.7142857,474.025974
London,1826,262.5714286,477.4025974
London,1827,264.4285714,480.7792208
London,1828,266.2857143,484.1558442
London,1829,268.1428571,487.5324675
London,1830,270,490.9090909
London,1831,271.8571429,494.2857143
London,1832,273.7142857,497.6623377
London,1833,275.5714286,501.038961
London,1834,277.4285714,504.4155844
London,1835,279.2857143,507.7922078
