Entity,Year,Annual population growth rate (OWID)
World,-9999,.040411908
World,-9998,.040395584
World,-9997,.040399823
World,-9996,.040393781
World,-9995,.040377468
World,-9994,.040381696
World,-9993,.040375654
World,-9992,.040369611
World,-9991,.040363573
World,-9990,.04035753
World,-9989,.040351491
World,-9988,.04035569
World,-9987,.04033941
World,-9986,.040333375
World,-9985,.040337563
World,-9984,.040321298
World,-9983,.040325481
World,-9982,.040309228
World,-9981,.0403134
World,-9980,.040307362
World,-9979,.040301319
World,-9978,.040295281
World,-9977,.040289242
World,-9976,.040283207
World,-9975,.040277168
World,-9974,.040271133
World,-9973,.040265098
World,-9972,.040269233
World,-9971,.040253025
World,-9970,.040246993
World,-9969,.040251117
World,-9968,.040245075
World,-9967,.040228885
World,-9966,.040233005
World,-9965,.04022697
World,-9964,.040220927
World,-9963,.040214892
World,-9962,.040208861
World,-9961,.040202823
World,-9960,.040196791
World,-9959,.040200878
World,-9958,.040184721
World,-9957,.04017869
World,-9956,.040182769
World,-9955,.040166628
World,-9954,.040170696
World,-9953,.040164661
World,-9952,.040158622
World,-9951,.040152591
World,-9950,.040146556
World,-9949,.040140525
World,-9948,.04013449
World,-9947,.040128462
World,-9946,.040122431
World,-9945,.040126462
World,-9944,.040110368
World,-9943,.040114392
World,-9942,.040098306
World,-9941,.040102325
World,-9940,.04009629
World,-9939,.040090259
World,-9938,.040084224
World,-9937,.040078197
World,-9936,.040072165
World,-9935,.040066134
World,-9934,.040060103
World,-9933,.040064093
World,-9932,.040048048
World,-9931,.040052027
World,-9930,.040035989
World,-9929,.04003996
World,-9928,.040033933
World,-9927,.040027898
World,-9926,.040011883
World,-9925,.040025823
World,-9924,.040009812
World,-9923,.040003784
World,-9922,.039997756
World,-9921,.040001694
World,-9920,.039985701
World,-9919,.039989632
World,-9918,.039973646
World,-9917,.039977573
World,-9916,.039971545
World,-9915,.039965514
World,-9914,.039959487
World,-9913,.039953459
World,-9912,.039947432
World,-9911,.039951332
World,-9910,.039935376
World,-9909,.039929353
World,-9908,.039933242
World,-9907,.039927214
World,-9906,.039921183
World,-9905,.039905254
World,-9904,.039909132
World,-9903,.039903104
World,-9902,.039906967
World,-9901,.039891049
World,-9900,.039885025
World,-9899,.039888881
World,-9898,.039872974
World,-9897,.039876822
World,-9896,.03986093
World,-9895,.039864771
World,-9894,.039858744
World,-9893,.03985272
World,-9892,.039846696
World,-9891,.039850514
World,-9890,.039834641
World,-9889,.039828617
World,-9888,.039832436
World,-9887,.039826404
World,-9886,.039810546
World,-9885,.039814353
World,-9884,.039808325
World,-9883,.039802302
World,-9882,.039796278
World,-9881,.039790254
World,-9880,.039794035
World,-9879,.039778206
World,-9878,.039781984
World,-9877,.039766163
World,-9876,.039769929
World,-9875,.039763905
World,-9874,.039757881
World,-9873,.039751858
World,-9872,.039745834
World,-9871,.03973981
World,-9870,.039743558
World,-9869,.039727766
World,-9868,.039731506
World,-9867,.039725479
World,-9866,.039709702
World,-9865,.039713431
World,-9864,.039707411
World,-9863,.039711121
World,-9862,.03969536
World,-9861,.03968934
World,-9860,.039693046
World,-9859,.039677296
World,-9858,.039680999
World,-9857,.039674975
World,-9856,.039668947
World,-9855,.039662924
World,-9854,.039656904
World,-9853,.03965088
World,-9852,.039654557
World,-9851,.03963884
World,-9850,.039642509
