Entity,Year,Antibiotic use in livestock
Afghanistan,2010,16.3
Albania,2010,38.2
Algeria,2010,65.1
Angola,2010,25.1
Argentina,2010,29.6
Armenia,2010,26.8
Australia,2010,42.1
Austria,2010,62.9
Austria,2011,54.5
Austria,2012,54.9
Austria,2013,57.2
Austria,2014,56.3
Austria,2015,50.7
Azerbaijan,2010,32
Bahamas,2010,149.4
Bangladesh,2010,41.2
Belarus,2010,66.5
Belgium,2010,180.1
Belgium,2011,175.3
Belgium,2012,163.1
Belgium,2013,156.6
Belgium,2014,158.3
Belgium,2015,150.1
Benin,2010,12.8
Bhutan,2010,13.6
Bolivia,2010,53.6
Bosnia and Herzegovina,2010,76.1
Botswana,2010,17.9
Brazil,2010,44.5
Bulgaria,2010,82.6
Bulgaria,2011,92.6
Bulgaria,2012,98.9
Bulgaria,2013,116.1
Bulgaria,2014,82.9
Bulgaria,2015,121.9
Burkina Faso,2010,14.2
Cambodia,2010,25.4
Cameroon,2010,51.2
Canada,2010,111.5
Central African Republic,2010,11.9
Chad,2010,30.8
Chile,2010,97.3
China,2010,62.5
Colombia,2010,35.8
Congo,2010,19.2
Costa Rica,2010,58.5
Cote d'Ivoire,2010,20.1
Croatia,2010,99.3
Croatia,2014,114.8
Croatia,2015,101.6
Cuba,2010,17.9
Cyprus,2010,407.6
Cyprus,2011,407.6
Cyprus,2012,396.5
Cyprus,2013,425.8
Cyprus,2014,391.5
Cyprus,2015,434.2
Czech Republic,2010,94.3
Czech Republic,2011,83
Czech Republic,2012,79.8
Czech Republic,2013,82.2
Czech Republic,2014,79.5
Czech Republic,2015,68.1
Democratic Republic of Congo,2010,41.4
Denmark,2010,47.5
Denmark,2011,42.6
Denmark,2012,44.1
Denmark,2013,44.9
Denmark,2014,44.2
Denmark,2015,42.2
Djibouti,2010,0
Dominican Republic,2010,62.6
Ecuador,2010,74.3
Egypt,2010,58.1
Equatorial Guinea,2010,64.9
Eritrea,2010,17.3
Estonia,2010,70.9
Estonia,2011,70.7
Estonia,2012,62.9
Estonia,2013,70.4
Estonia,2014,77.1
Estonia,2015,65.2
Ethiopia,2010,28.9
Finland,2010,22.7
Finland,2011,21.9
Finland,2012,21.8
Finland,2013,22.4
Finland,2014,22.3
Finland,2015,20.4
France,2010,136
France,2011,116.5
France,2012,102.7
France,2013,95
France,2014,107
France,2015,70.2
Gabon,2010,70.8
Georgia,2010,19
Germany,2010,211.5
Germany,2011,211.5
Germany,2012,204.8
Germany,2013,179.7
Germany,2014,149.3
Germany,2015,97.9
Ghana,2010,35.8
Greece,2010,103.8
Greece,2015,57.2
Greenland,2010,0
Guatemala,2010,46.2
Guinea,2010,14.2
Guinea-Bissau,2010,17.8
Guyana,2010,90.8
Haiti,2010,22.8
Honduras,2010,47.7
Hungary,2010,269.9
Hungary,2011,192.5
Hungary,2012,245.8
Hungary,2013,230.7
Hungary,2014,193.1
Hungary,2015,211.4
Iceland,2010,12.7
Iceland,2011,6.6
Iceland,2012,5.9
Iceland,2013,5.3
Iceland,2014,5.2
Iceland,2015,5
India,2010,30
Indonesia,2010,69.4
Iran,2010,67.9
Iraq,2010,21.1
Ireland,2010,51.5
Ireland,2011,46.5
Ireland,2012,55
Ireland,2013,56.6
Ireland,2014,48
Ireland,2015,51
Israel,2010,115.3
Italy,2010,421.1
Italy,2011,371
Italy,2012,341
Italy,2013,301.6
Italy,2014,359.9
Italy,2015,322
Jamaica,2010,95.2
Japan,2010,100.9
Jordan,2010,116.2
Kazakhstan,2010,22.5
Kenya,2010,30.4
Kuwait,2010,122.9
Kyrgyzstan,2010,15.6
Laos,2010,21.6
