Entity,Year,all_species_number,bau_habitat_loss_all,combined_habitat_loss_all,diets_habitat_loss_all,waste_habitat_loss_all,trade_habitat_loss_all,yields_habitat_loss_all,amphibian_species_number,bau_habitat_loss_amphibians,combined_habitat_loss_amphibians,diets_habitat_loss_amphibians,waste_habitat_loss_amphibians,trade_habitat_loss_amphibians,yields_habitat_loss_amphibians,bird_species_number,bau_habitat_loss_birds,combined_habitat_loss_birds,diets_habitat_loss_birds,waste_habitat_loss_birds,trade_habitat_loss_birds,yields_habitat_loss_birds,mammal_species_number,bau_habitat_loss_mammals,combined_habitat_loss_mammals,diets_habitat_loss_mammals,waste_habitat_loss_mammals,trade_habitat_loss_mammals,yields_habitat_loss_mammals,bau_change_cropland_km2,combined_change_cropland_km2,diets_change_cropland_km2,yields_change_cropland_km2,waste_change_cropland_km2,trade_change_cropland_km2,countries_losing_25_species,bau_change_pct,combined_change_pct,diets_change_pct,yields_change_pct,waste_change_pct,trade_change_pct,species_losing_more_25pct,species_losing_more_25pct_yields,species_losing_more_25pct_combined
Afghanistan,2050,639,-2.412324987,4.419148033,0.885415497,-0.181490333,-2.694797949,2.062427405,3,-14.72006207,-3.90202201,-20.97796491,-4.70178389,-17.4526927,7.907567145,508,-2.37400983,4.17758048,0.846717801,-0.382572954,-2.539404436,1.761176979,128,-2.275925677,5.572896681,1.551419955,0.7225007,-2.965627798,3.121019567,6993.27052,-9233.34934,25886.02458,-18645.77406,177.25023,10267.54842,,21.15581584,-27.93242985,78.30956449,-56.40659274,0.536211664,31.06105546,,,
Albania,2050,408,-0.481572541,6.461404974,2.987768822,2.152088373,-1.245279365,2.90748035,10,2.022785802,11.84967912,7.250382392,8.646808457,-1.171705185,3.843231618,319,-1.425799595,4.864224155,1.484096787,0.616812022,-1.732648103,2.006732709,79,3.014185009,12.22872067,8.51998709,7.529378941,0.713390072,6.426226993,-196.313244,-555.556979,-217.559826,-196.312317,-684.576331,8.26364,,-7.274684959,-20.58700634,-8.062009275,-7.274650608,-25.36801408,0.306221712,,,
Algeria,2050,495,-3.146605689,3.746792342,-0.594782899,-1.027053037,-3.330519416,1.424361284,8,-7.792255545,8.306267338,-5.315409015,-1.54193325,-11.06635497,8.581474955,387,-2.489779521,3.730080894,0.059344226,-0.602804212,-2.626600042,1.252446879,100,-5.316870974,3.446707649,-2.748604786,-2.627705573,-5.435820549,1.51710094,5436.11772,-9232.3532,10130.51515,-14848.34051,-2220.60818,9051.26058,,14.0169506,-23.80548866,26.1213862,-38.28623038,-5.725805945,23.33854397,,,
American Samoa,2050,71,-2.260651966,-0.647834381,-1.354731319,-1.739143806,-2.218187546,-1.610773414,,,,,,,,67,-2.351216345,-0.701191331,-1.43598608,-1.815820567,-2.306246542,-1.688824432,4,-0.743698616,0.24589453,0.006285919,-0.454808052,-0.743199364,-0.303418868,,,,,,,,,,,,,,,,
Andorra,2050,184,0.515680266,6.405496396,3.775958433,2.979866586,-0.5681989,2.812883504,3,1.656744458,7.128526424,5.394216697,4.99682027,-0.451825275,2.215514498,132,-0.04283435,4.357633659,2.183133097,1.563708698,-0.57752676,1.960162455,49,1.95038918,11.8779207,7.967757811,6.671335569,-0.550195703,5.146583208,,,,,,,,,,,,,,,,
Angola,2050,1309,-9.321529961,2.063637981,-6.216185755,-7.025995237,-7.158666592,0.706637881,80,-6.943393713,1.01066013,-4.09073248,-4.973905772,-5.092652779,0.701583631,952,-8.294374932,1.931660533,-5.549424157,-6.25505252,-6.450724752,0.515185154,277,-13.53850645,2.821330249,-9.121576744,-10.2682502,-10.18842015,1.366086745,12444.16763,-19522.61405,8013.09062,-14682.36709,4744.68384,3325.59875,152,37.54046493,-58.89409641,24.17318348,-44.29246722,14.31334281,10.03237235,,,
Anguilla,2050,159,-4.58559784,3.022830044,0.436190646,-2.101052059,-4.742622577,-2.718503253,1,0,0,0,0,0,0,154,-4.554290303,2.974076195,0.392188269,-2.071687595,-4.704228321,-2.747497494,4,-6.937337479,5.655560753,2.239329844,-3.756846973,-7.406457042,-2.281850759,,,,,,,,,,,,,,,,
Antarctica,2050,78,-2.942283391,-0.747520485,-1.501570279,-2.181569017,-3.01175423,-2.176930185,,,,,,,,78,-2.942283391,-0.747520485,-1.501570279,-2.181569017,-3.01175423,-2.176930185,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2050,265,-4.259600526,3.12998564,0.61796457,-1.902744183,-4.463177246,-2.284929161,3,0,0,0,0,0,0,254,-4.329852675,3.093220334,0.54230793,-1.946081754,-4.522540988,-2.365847111,8,-3.626444988,5.471028713,3.251799623,-1.240305373,-4.252069916,-0.572632679,,,,,,,,,,,,,,,,
Argentina,2050,1466,-7.303564384,0.34579959,-1.834017732,-5.083919033,-7.473068735,-3.919991728,111,-10.68569589,-0.315511276,-3.454760072,-7.397429174,-10.92019643,-5.882494399,1039,-6.310856525,0.474621361,-1.344155847,-4.440762039,-6.451006833,-3.387549777,316,-9.379535487,0.154532774,-2.875359817,-6.385945905,-9.622724251,-4.981287268,155065.1542,18260.9704,67147.7031,85972.4876,105416.9152,155065.1542,71,53.81333589,6.337231204,23.3027331,29.83562862,36.58356318,53.81333589,,,
Armenia,2050,409,-0.659959437,6.394638278,2.574683574,1.856301677,-1.281564112,3.541330122,7,1.586542967,5.91913679,3.00956377,3.581891588,0.669825241,5.394158332,308,-1.60759843,4.71665143,1.256320379,0.393698318,-1.84448885,2.035717125,94,2.277777723,11.92813253,6.862042112,6.520160241,0.41759646,8.33663869,-603.125063,-1348.788817,-670.524077,-1409.059866,-1057.472548,-414.745532,,-20.74528779,-46.39338323,-23.06356642,-48.46648603,-36.37317314,-14.26572356,,,
Aruba,2050,219,-4.407495095,3.414925293,0.962063767,-2.008518312,-4.606120412,-2.520467219,3,0,0,0,0,0,0,207,-4.478109808,3.189380303,0.733328774,-2.094748674,-4.661713269,-2.619530637,9,-4.252521719,9.740768489,6.543656527,-0.694726093,-4.862858184,-1.082164353,,,,,,,,,,,,,,,,
Australia,2050,1278,0.581795845,3.909810375,2.663573539,1.756382345,0.570335694,1.187633852,172,3.248787251,7.908766444,6.570527274,4.862082806,3.252905273,3.372621288,832,-0.191263909,2.815577743,1.533186079,0.854921853,-0.195833745,0.597344704,274,1.255019178,4.722150175,3.643450632,2.544100047,1.212857612,1.60844674,-51614.1818,-129691.1698,-106389.6973,-51614.1817,-77012.4352,-51614.1818,,-22.19518568,-55.76993559,-45.74981146,-22.19518564,-33.11696978,-22.19518568,,,
Austria,2050,521,-0.386867739,6.018777534,3.103412968,1.942564129,-1.093587415,2.507319121,12,1.711104987,9.234817998,7.131027404,5.0760574,-0.194264791,3.134584612,413,-1.265916417,4.447942169,1.530620128,0.612719488,-1.576021252,1.669376672,96,3.13262634,12.37463712,9.366247028,7.271979938,0.869467829,6.033809177,1033.12582,-3970.029287,-2881.40054,1033.12587,-707.5327,2011.72587,,9.446491874,-36.30036988,-26.3463813,9.446492331,-6.469397794,18.39442178,,,
Azerbaijan,2050,471,-0.608728198,6.069313267,2.542293278,1.753699809,-1.20765146,3.232592102,7,1.384088844,4.655123289,2.445797446,2.91937045,0.669089191,4.257564006,361,-1.523367414,4.64165716,1.319976002,0.451051247,-1.788029769,1.972727907,103,2.461514887,11.16915001,6.832895291,6.240072976,0.698944511,7.578574345,-2866.365167,-5907.777638,-3686.583682,-5990.165043,-4443.799061,-2112.220251,,-23.70722959,-48.86224632,-30.49112052,-49.54365884,-36.75392298,-17.46982241,,,
Bahamas,2050,334,-4.156999388,3.783776497,1.325150225,-1.550214823,-4.383722571,-2.82565986,4,-7.664431194,10.09413646,3.452426856,-0.43878267,-7.666477911,-7.66512307,322,-4.034806539,3.695383386,1.308364282,-1.483951849,-4.262113864,-2.745385801,8,-7.321545641,4.186419207,0.937146102,-4.773015618,-7.637095346,-3.636959121,,,,,,,,,,,,,,,,
Bahrain,2050,332,-2.419847297,3.649313356,0.243235745,-0.677734122,-2.460495058,1.257482443,1,0,0,0,0,0,0,318,-2.491234108,3.760921974,0.251121744,-0.701391372,-2.527047461,1.288288809,13,-0.859758174,1.19991127,0.069042529,-0.151174777,-1.021789751,0.600640755,,,,,,,,,,,,,,,,
