Entity,Year,Births outside of marriage (% of all births)
Australia,1971,9.3
Australia,1974,9.5
Australia,1976,10.1
Australia,1979,11.7
Australia,1980,12.4
Australia,1981,13.2
Australia,1983,14.7
Australia,1984,14.8
Australia,1989,20.2
Australia,1990,21.9
Australia,1991,23
Australia,1992,24
Australia,1993,24.9
Australia,1994,25.6
Australia,1995,26.6
Australia,1996,27.4
Australia,1997,28.1
Australia,1998,28.7
Australia,1999,29.2
Australia,2000,29.3
Australia,2001,30.7
Australia,2002,31.3
Australia,2003,31.6
Australia,2004,32.2
Australia,2005,32.2
Australia,2006,32.7
Australia,2007,33.3
Australia,2008,34.3
Australia,2009,34.5
Australia,2010,33.8
Australia,2011,34.2
Australia,2012,34.5
Australia,2013,34.4
Australia,2014,34.4
Austria,1960,13
Austria,1961,12.6
Austria,1962,12
Austria,1963,11.6
Austria,1964,11.3
Austria,1965,11.2
Austria,1966,11.4
Austria,1967,11.5
Austria,1968,12
Austria,1969,12.2
Austria,1970,12.8
Austria,1971,13
Austria,1972,13.7
Austria,1973,13.7
Austria,1974,13.8
Austria,1975,13.5
Austria,1976,13.8
Austria,1977,14.2
Austria,1978,14.8
Austria,1979,16.5
Austria,1980,17.8
Austria,1981,19.5
Austria,1982,21.6
Austria,1983,22.4
Austria,1984,21.5
Austria,1985,22.4
Austria,1986,23.3
Austria,1987,23.4
Austria,1988,21
Austria,1989,22.6
Austria,1990,23.6
Austria,1991,24.8
Austria,1992,25.2
Austria,1993,26.3
Austria,1994,26.8
Austria,1995,27.4
Austria,1996,28
Austria,1997,28.8
Austria,1998,29.5
Austria,1999,30.5
Austria,2000,31.3
Austria,2001,33.1
Austria,2002,33.8
Austria,2003,35.3
Austria,2004,35.9
Austria,2005,36.5
Austria,2006,37.2
Austria,2007,38.3
Austria,2008,38.8
Austria,2009,39.3
Austria,2010,40.1
Austria,2011,40.4
Austria,2012,41.5
Belgium,1960,2.1
Belgium,1961,2
Belgium,1962,2.1
Belgium,1963,2.2
Belgium,1964,2.3
Belgium,1965,2.4
Belgium,1966,2.5
Belgium,1967,2.5
Belgium,1968,2.7
Belgium,1969,2.7
Belgium,1970,2.8
Belgium,1971,3
Belgium,1972,3
Belgium,1973,3
Belgium,1974,3.1
Belgium,1975,3.1
Belgium,1976,3.1
Belgium,1977,3.1
Belgium,1978,3.4
Belgium,1979,3.8
Belgium,1980,4.1
Belgium,1981,4.5
Belgium,1982,5.2
Belgium,1983,5.7
Belgium,1984,6.3
Belgium,1985,7.1
Belgium,1986,7.8
Belgium,1987,9.1
Belgium,1988,10.7
Belgium,1989,11.3
Belgium,1990,11.6
Belgium,1991,12.6
Belgium,1992,13.6
Belgium,1993,14.5
Belgium,1994,15.8
Belgium,1995,17.3
Belgium,1996,19.1
Belgium,1997,21
Belgium,1998,23.2
Belgium,1999,25.5
Belgium,2000,28
Belgium,2001,30.2
Belgium,2002,32.5
Belgium,2003,34.7
Belgium,2004,36.9
Belgium,2005,39.4
Belgium,2006,40.9
Belgium,2007,43.2
Belgium,2008,44.6
Belgium,2009,45.5
Belgium,2010,45.7
Belgium,2011,50
Belgium,2012,52.3
Bulgaria,1960,8
Bulgaria,1961,8
Bulgaria,1962,8.1
Bulgaria,1963,8.4
Bulgaria,1964,8.8
Bulgaria,1965,9.4
Bulgaria,1966,9.6
Bulgaria,1967,9.7
Bulgaria,1968,9.6
Bulgaria,1969,9.2
