Entity,Year,Carbon intensity (kgCO2/$) (CDIAC (2017))
China,1820,0
China,1870,0
China,1900,0
China,1913,0.064205123
China,1940,0.459912644
China,1950,0.375983857
China,1951,0.435228865
China,1952,0.522667916
China,1953,0.529294664
China,1954,0.601358466
China,1955,0.652406918
China,1956,0.698384438
China,1957,0.74385057
China,1958,1.503959195
China,1959,2.136583203
China,1960,2.796089357
China,1961,1.96976184
China,1962,1.42954514
China,1963,1.268002015
China,1964,1.138559372
China,1965,1.133940487
China,1966,1.281512116
China,1967,1.083680776
China,1968,1.080341342
China,1969,1.184983598
China,1970,1.508899643
China,1971,1.665584015
China,1972,1.64734676
China,1973,1.684222176
China,1974,1.618179547
China,1975,1.887583804
China,1976,1.85514787
China,1977,1.832224573
China,1978,1.898188337
China,1979,1.87734925
China,1980,1.738670525
China,1981,1.59972597
China,1982,1.605436962
China,1983,1.506088875
China,1984,1.486238011
China,1985,1.509297409
China,1986,1.436653396
China,1987,1.433157256
China,1988,1.509989072
China,1989,1.482805797
China,1990,1.410717179
China,1991,1.355841896
China,1992,1.244856624
China,1993,1.169738773
China,1994,1.099224185
China,1995,1.075636727
China,1996,1.020573085
China,1997,0.93605981
China,1998,0.831708625
China,1999,0.771017557
China,2000,0.729331407
China,2001,0.689475543
China,2002,0.697494471
China,2003,0.747501691
China,2004,0.782492686
China,2005,0.791487634
China,2006,0.777469226
China,2007,0.732885789
China,2008,0.718008513
China,2009,0.695239192
China,2010,0.689272714
China,2011,0.697918278
China,2012,0.6666957
China,2013,0.632853837
China,2014,0.59176168
France,1820,0.024241209
France,1870,0.260721604
France,1900,0.538883826
France,1913,0.62185969
France,1940,0.376241783
France,1950,0.520557046
France,1951,0.573406049
France,1952,0.553078742
France,1953,0.498597232
France,1954,0.497465194
France,1955,0.499926335
France,1956,0.529771686
France,1957,0.534133611
France,1958,0.49805417
France,1959,0.457820526
France,1960,0.448709535
France,1961,0.436239488
France,1962,0.440496254
France,1963,0.461786167
France,1964,0.45525531
France,1965,0.441475584
France,1966,0.416435675
France,1967,0.427271557
France,1968,0.413136337
France,1969,0.419826452
France,1970,0.425403516
France,1971,0.429023567
France,1972,0.422980154
France,1973,0.441598455
France,1974,0.429608774
France,1975,0.368774536
France,1976,0.402186778
France,1977,0.37217297
France,1978,0.379352382
France,1979,0.391326123
France,1980,0.369934356
France,1981,0.324684294
France,1982,0.308362512
France,1983,0.293957175
France,1984,0.278051618
France,1985,0.268614409
France,1986,0.252017709
France,1987,0.236324191
France,1988,0.223931319
France,1989,0.229026263
France,1990,0.217621558
France,1991,0.22398185
France,1992,0.20646345
France,1993,0.204342586
France,1994,0.187568324
France,1995,0.189737213
France,1996,0.201153024
France,1997,0.184123465
France,1998,0.190890016
France,1999,0.180430707
France,2000,0.170548614
France,2001,0.174349389
France,2002,0.171297198
France,2003,0.17244793
France,2004,0.169125718
France,2005,0.167147916
France,2006,0.15920143
France,2007,0.152787536
France,2008,0.151326359
France,2009,0.149772419
France,2010,0.147358124
France,2011,0.135676299
France,2012,0.136009605
France,2013,0.135583041
France,2014,0.122296649
Germany,1820,0.025158116
Germany,1870,0.253392233
Germany,1900,0.7389624
Germany,1913,0.761208784
Germany,1940,1.323571869
Germany,1991,0.356305659
Germany,1992,0.335297022
Germany,1993,0.333095021
Germany,1994,0.320628784
Germany,1995,0.314625174
