Entity,Year,Share of deaths (Shen et al. 2018),Share of Google searches (Shen et al. 2018),Share of NYT media coverage (Shen et al. 2018),Share of Guardian media coverage (Shen et al. 2018)
Accidents,1999,5.06,,2.07,2.07
Accidents,2000,5.07,,2.44,2.53
Accidents,2001,5.24,,1.68,1.58
Accidents,2002,5.46,,1.56,2.27
Accidents,2003,5.6,,1.63,2.17
Accidents,2004,5.87,7.44,1.74,2.01
Accidents,2005,6.08,7.61,1.86,1.78
Accidents,2006,6.37,8.68,1.92,2.06
Accidents,2007,6.5,9.34,2.54,3.14
Accidents,2008,6.3,9.44,2.17,2.62
Accidents,2009,6.21,10.3,2.3,3.12
Accidents,2010,6.32,10.75,2.86,2.9
Accidents,2011,6.53,11.34,3.1,2.87
Accidents,2012,6.58,11.65,2.92,2.61
Accidents,2013,6.61,11.74,2.19,3.23
Accidents,2014,6.78,10.75,2.53,2.59
Accidents,2015,7.05,10.48,2.07,2.7
Accidents,2016,7.64,10.73,1.9,2.82
Alzheimer's Disease,1999,2.34,,1.17,0.71
Alzheimer's Disease,2000,2.6,,1.23,0.91
Alzheimer's Disease,2001,2.82,,0.81,0.5
Alzheimer's Disease,2002,3.06,,0.82,0.42
Alzheimer's Disease,2003,3.3,,0.81,0.43
Alzheimer's Disease,2004,3.51,3.04,1.15,0.52
Alzheimer's Disease,2005,3.75,2.88,1.02,0.41
Alzheimer's Disease,2006,3.85,3.01,0.83,0.49
Alzheimer's Disease,2007,3.98,2.9,1.06,0.55
Alzheimer's Disease,2008,4.33,2.8,1.3,0.54
Alzheimer's Disease,2009,4.22,2.55,1.54,0.45
Alzheimer's Disease,2010,4.42,2.37,1.43,0.53
Alzheimer's Disease,2011,4.46,2.49,1.45,0.55
Alzheimer's Disease,2012,4.37,2.37,1.38,0.59
Alzheimer's Disease,2013,4.34,2.15,1.42,0.48
Alzheimer's Disease,2014,4.73,2.11,1.51,0.29
Alzheimer's Disease,2015,5.38,2.16,1.23,0.04
Alzheimer's Disease,2016,5.57,2.92,1.01,0
Cancer,1999,29.49,,24.03,13.69
Cancer,2000,29.72,,26.12,16.34
Cancer,2001,29.72,,14.12,11.2
