Entity,Year,"Cereals allocated to food (tonnes) (FAO, 2020)","Cereals allocated to animal feed (tonnes) (FAO, 2020)","Cereals allocated to other uses (tonnes) (FAO, 2020)","Share of cereals allocated to food (FAO, 2020)","Share of cereals allocated to animal feed (FAO, 2020)","Share of cereals allocated to other uses (FAO, 2020)"
Afghanistan,1961,2767,286,,90.63216508,9.367834916,0
Afghanistan,1962,2744,286,,90.56105611,9.438943894,0
Afghanistan,1963,2514,290,,89.65763195,10.34236805,0
Afghanistan,1964,2843,292,,90.68580542,9.314194577,0
Afghanistan,1965,2894,292,,90.8349027,9.165097301,0
Afghanistan,1966,2675,291,,90.18880647,9.811193527,0
Afghanistan,1967,2986,306,,90.70473876,9.295261239,0
Afghanistan,1968,2979,304,,90.74017667,9.259823332,0
Afghanistan,1969,3102,309,,90.941073,9.058927001,0
Afghanistan,1970,2674,274,,90.70556309,9.294436906,0
Afghanistan,1971,2804,272,,91.1573472,8.842652796,0
Afghanistan,1972,3111,286,,91.58080659,8.419193406,0
Afghanistan,1973,3247,300,,91.54214829,8.457851706,0
Afghanistan,1974,3294,307,,91.47459039,8.525409608,0
Afghanistan,1975,3413,311,,91.64876477,8.351235231,0
Afghanistan,1976,3530,320,,91.68831169,8.311688312,0
Afghanistan,1977,3174,288,,91.68110919,8.318890815,0
Afghanistan,1978,3396,299,,91.90798376,8.092016238,0
Afghanistan,1979,3383,292,,92.05442177,7.945578231,0
Afghanistan,1980,3057,290,,91.33552435,8.66447565,0
Afghanistan,1981,3007,270,,91.76075679,8.23924321,0
Afghanistan,1982,2871,254,,91.872,8.128,0
Afghanistan,1983,2776,245,,91.89010262,8.109897385,0
Afghanistan,1984,2587,233,,91.73758865,8.262411348,0
Afghanistan,1985,2487,221,,91.83899557,8.161004431,0
Afghanistan,1986,2381,216,,91.68271082,8.31728918,0
Afghanistan,1987,2853,200,,93.44906649,6.550933508,0
Afghanistan,1988,2460,195,,92.65536723,7.344632768,0
Afghanistan,1989,2378,184,,92.81811085,7.181889149,0
Afghanistan,1990,2278,187,,92.4137931,7.586206897,0
Afghanistan,1991,2137,169,,92.67129228,7.328707719,0
Afghanistan,1992,2140,130,,94.27312775,5.726872247,0
Afghanistan,1993,2507,191,,92.92068199,7.079318013,0
Afghanistan,1994,2567,196,,92.90626131,7.09373869,0
Afghanistan,1995,2629,200,,92.93036409,7.069635914,0
Afghanistan,1996,2796,152,,94.84396201,5.156037992,0
Afghanistan,1997,3021,140,,95.57102183,4.428978171,0
Afghanistan,1998,3121,147,,95.50183599,4.498164015,0
Afghanistan,1999,3032,115,,96.34572609,3.654273912,0
Afghanistan,2000,3142,60,,98.12617114,1.873828857,0
Afghanistan,2001,3275,77,,97.70286396,2.297136038,0
Afghanistan,2002,3535,159,,95.69572279,4.304277206,0
Afghanistan,2003,3832,111,,97.18488461,2.815115394,0
Afghanistan,2004,4101,178,,95.84014957,4.159850432,0
Afghanistan,2005,4062,444,,90.14647137,9.853528628,0
Afghanistan,2006,4388,495,,89.86278927,10.13721073,0
Afghanistan,2007,4752,512,,90.27355623,9.726443769,0
Afghanistan,2008,4893,477,,91.11731844,8.882681564,0
Afghanistan,2009,5097,574,,89.87832834,10.12167166,0
Afghanistan,2010,5204,493,,91.34632263,8.653677374,0
Afghanistan,2011,5345,394,,93.13469246,6.865307545,0
Afghanistan,2012,5405,567,,90.50569324,9.494306765,0
Afghanistan,2013,5495,560,,90.75144509,9.248554913,0
Afghanistan,2014,5938,938,0,86.35834788,13.64165212,0
Afghanistan,2015,6013,999,0,85.75299487,14.24700513,0
Afghanistan,2016,6208,1072,0,85.27472527,14.72527473,0
