Entity,Year,Cereal yield index (World Bank (2017) & OWID)
Afghanistan,1961,100
Afghanistan,1962,97
Afghanistan,1963,88
Afghanistan,1964,97
Afghanistan,1965,99
Afghanistan,1966,91
Afghanistan,1967,110
Afghanistan,1968,115
Afghanistan,1969,118
Afghanistan,1970,99
Afghanistan,1971,88
Afghanistan,1972,90
Afghanistan,1973,115
Afghanistan,1974,117
Afghanistan,1975,118
Afghanistan,1976,122
Afghanistan,1977,110
Afghanistan,1978,116
Afghanistan,1979,119
Afghanistan,1980,121
Afghanistan,1981,120
Afghanistan,1982,119
Afghanistan,1983,122
Afghanistan,1984,120
Afghanistan,1985,119
Afghanistan,1986,118
Afghanistan,1987,122
Afghanistan,1988,115
Afghanistan,1989,111
Afghanistan,1990,108
Afghanistan,1991,104
Afghanistan,1992,98
Afghanistan,1993,102
Afghanistan,1994,102
Afghanistan,1995,109
Afghanistan,1996,108
Afghanistan,1997,121
Afghanistan,1998,124
Afghanistan,1999,115
Afghanistan,2000,72
Afghanistan,2001,90
Afghanistan,2002,150
Afghanistan,2003,131
Afghanistan,2004,120
Afghanistan,2005,161
Afghanistan,2006,139
Afghanistan,2007,172
Afghanistan,2008,131
Afghanistan,2009,183
Afghanistan,2010,180
Afghanistan,2011,149
Afghanistan,2012,182
Afghanistan,2013,184
Afghanistan,2014,181
Albania,1961,100
Albania,1962,111
Albania,1963,116
Albania,1964,121
Albania,1965,123
Albania,1966,156
Albania,1967,173
Albania,1968,184
Albania,1969,194
Albania,1970,195
Albania,1971,207
Albania,1972,209
Albania,1973,218
Albania,1974,229
Albania,1975,240
Albania,1976,289
Albania,1977,302
Albania,1978,310
Albania,1979,312
Albania,1980,280
Albania,1981,296
Albania,1982,321
Albania,1983,360
Albania,1984,351
Albania,1985,343
Albania,1986,354
Albania,1987,351
Albania,1988,340
Albania,1989,350
Albania,1990,331
Albania,1991,245
Albania,1992,254
Albania,1993,318
Albania,1994,291
Albania,1995,336
Albania,1996,290
Albania,1997,335
Albania,1998,340
Albania,1999,331
Albania,2000,376
Albania,2001,359
Albania,2002,389
Albania,2003,377
Albania,2004,410
Albania,2005,410
Albania,2006,426
Albania,2007,441
Albania,2008,483
Albania,2009,511
Albania,2010,563
Albania,2011,562
Albania,2012,578
Albania,2013,586
Albania,2014,579
Algeria,1961,100
Algeria,1962,235
Algeria,1963,232
Algeria,1964,153
Algeria,1965,175
Algeria,1966,117
Algeria,1967,182
Algeria,1968,204
Algeria,1969,178
Algeria,1970,184
Algeria,1971,170
Algeria,1972,194
Algeria,1973,143
Algeria,1974,144
Algeria,1975,244
Algeria,1976,199
Algeria,1977,119
Algeria,1978,169
Algeria,1979,162
Algeria,1980,220
Algeria,1981,187
Algeria,1982,171
Algeria,1983,167
Algeria,1984,158
Algeria,1985,264
Algeria,1986,242
Algeria,1987,219
Algeria,1988,166
Algeria,1989,220
Algeria,1990,199
Algeria,1991,322
Algeria,1992,272
Algeria,1993,214
Algeria,1994,216
Algeria,1995,240
Algeria,1996,386
Algeria,1997,225
Algeria,1998,244
Algeria,1999,309
Algeria,2000,255
Algeria,2001,320
Algeria,2002,306
