Entity,Year,First 28 days (number of deaths),29 days - 1 year (number of deaths),1-4 years (number of deaths)
Afghanistan,1988,46248,28444,36450
Afghanistan,1989,46250,27241,34815
Afghanistan,1990,46806,26313,33472
Afghanistan,1991,47762,25746,32411
Afghanistan,1992,49061,25391,31687
Afghanistan,1993,50532,25376,31371
Afghanistan,1994,52132,25519,31378
Afghanistan,1995,53739,25805,31653
Afghanistan,1996,55357,26061,32074
Afghanistan,1997,56894,26308,32637
Afghanistan,1998,58273,26505,33207
Afghanistan,1999,59491,26584,33718
Afghanistan,2000,60411,26572,34103
Afghanistan,2001,61031,26463,34335
Afghanistan,2002,61469,26071,34332
Afghanistan,2003,61620,25561,34091
Afghanistan,2004,61509,24956,33643
Afghanistan,2005,61059,24235,32964
Afghanistan,2006,60326,23419,32137
Afghanistan,2007,59329,22393,31137
Afghanistan,2008,58035,21320,30014
Afghanistan,2009,56524,20236,28741
Afghanistan,2010,54823,19197,27363
Afghanistan,2011,53137,18074,25950
Afghanistan,2012,51521,17049,24553
Afghanistan,2013,50022,16090,23158
Afghanistan,2014,48662,15275,21853
Afghanistan,2015,47429,14603,20653
Afghanistan,2016,46279,14054,19548
Afghanistan,2017,45219,13525,18556
Albania,1983,1298,2599,744
Albania,1984,1239,2476,670
Albania,1985,1192,2347,610
Albania,1986,1154,2220,559
Albania,1987,1115,2101,519
Albania,1988,1078,1984,484
Albania,1989,1038,1868,453
Albania,1990,996,1756,424
Albania,1991,961,1631,399
Albania,1992,925,1504,374
Albania,1993,882,1383,349
Albania,1994,839,1255,322
Albania,1995,796,1128,294
Albania,1996,753,1001,265
Albania,1997,708,879,237
Albania,1998,661,766,210
Albania,1999,612,666,185
Albania,2000,563,574,163
Albania,2001,514,496,143
Albania,2002,466,429,125
Albania,2003,420,372,109
Albania,2004,378,322,95
Albania,2005,341,278,83
Albania,2006,309,241,73
Albania,2007,281,211,66
Albania,2008,258,187,58
Albania,2009,239,168,52
Albania,2010,224,151,48
Albania,2011,212,139,44
Albania,2012,204,127,41
Albania,2013,200,114,39
Albania,2014,201,100,37
Albania,2015,205,84,36
Albania,2016,208,71,35
Albania,2017,208,62,34
Algeria,1970,47432,48553,60478
Algeria,1971,47305,49419,59864
Algeria,1972,46917,50205,58864
Algeria,1973,46388,50685,57444
Algeria,1974,45722,50798,55629
Algeria,1975,44868,50675,53472
Algeria,1976,43873,50259,51075
Algeria,1977,42841,49488,48407
Algeria,1978,41713,48279,45368
Algeria,1979,40420,46664,41799
Algeria,1980,38870,44391,37459
Algeria,1981,36853,41410,32062
Algeria,1982,34379,37612,26104
Algeria,1983,31594,33117,20665
Algeria,1984,28757,28509,16034
Algeria,1985,26140,24408,12432
Algeria,1986,23964,21195,9953
Algeria,1987,22304,18900,8443
Algeria,1988,21112,17244,7495
Algeria,1989,20234,16119,6926
Algeria,1990,19540,15269,6579
Algeria,1991,18842,14592,6323
Algeria,1992,18079,13920,6067
Algeria,1993,17275,13163,5787
Algeria,1994,16448,12266,5471
Algeria,1995,15604,11367,5138
Algeria,1996,14838,10471,4811
Algeria,1997,14177,9635,4513
Algeria,1998,13656,8868,4255
Algeria,1999,13264,8239,4023
Algeria,2000,13036,7704,3811
Algeria,2001,12979,7193,3600
Algeria,2002,13032,6743,3391
Algeria,2003,13145,6386,3209
Algeria,2004,13296,6142,3059
Algeria,2005,13559,5924,2955
Algeria,2006,13903,5742,2893
Algeria,2007,14306,5591,2873
Algeria,2008,14687,5487,2896
Algeria,2009,14988,5456,2942
Algeria,2010,15192,5477,3007
Algeria,2011,15288,5556,3087
Algeria,2012,15301,5649,3174
Algeria,2013,15218,5710,3250
Algeria,2014,15016,5711,3299
Algeria,2015,14673,5659,3317
Algeria,2016,14219,5532,3294
Algeria,2017,13678,5348,3234
Andorra,1990,3,2,1
Andorra,1991,3,2,1
Andorra,1992,2,3,0
Andorra,1993,2,2,1
Andorra,1994,2,2,1
Andorra,1995,2,2,0
Andorra,1996,2,2,0
Andorra,1997,2,2,0
Andorra,1998,2,2,0
Andorra,1999,2,1,1
Andorra,2000,2,1,1
Andorra,2001,1,2,1
Andorra,2002,1,2,1
Andorra,2003,1,2,0
Andorra,2004,1,2,0
Andorra,2005,1,2,0
Andorra,2006,1,2,0
Andorra,2007,1,2,0
Andorra,2008,1,2,0
Andorra,2009,1,2,0
Andorra,2010,1,2,0
Andorra,2011,1,2,0
Andorra,2012,1,2,0
Andorra,2013,1,2,0
Andorra,2014,1,1,1
Andorra,2015,1,1,0
Andorra,2016,1,1,0
Andorra,2017,1,1,0
Angola,1990,34899,47675,54692
Angola,1991,35709,48915,56248
Angola,1992,36530,50080,57760
Angola,1993,37307,51243,59214
Angola,1994,38068,52302,60532
Angola,1995,38766,53231,61632
Angola,1996,39462,54017,62512
Angola,1997,39990,54663,63051
Angola,1998,40489,55041,63276
