Entity,Year,Child deaths (United Nations Population Division (2015))
Afghanistan,1952,162409
Afghanistan,1957,160934
Afghanistan,1962,164749
Afghanistan,1967,170610
Afghanistan,1972,176176
Afghanistan,1977,171014
Afghanistan,1982,141705
Afghanistan,1987,112872
Afghanistan,1992,112662
Afghanistan,1997,123303
Afghanistan,2002,129347
Afghanistan,2007,122767
Afghanistan,2012,107378
Albania,1952,9937
Albania,1957,10150
Albania,1962,8781
Albania,1967,6743
Albania,1972,5053
Albania,1977,4090
Albania,1982,3933
Albania,1987,3692
Albania,1992,2719
Albania,1997,1840
Albania,2002,1141
Albania,2007,610
Albania,2012,600
Algeria,1952,123035
Algeria,1957,129110
Algeria,1962,131842
Algeria,1967,131924
Algeria,1972,133715
Algeria,1977,124307
Algeria,1982,87417
Algeria,1987,61186
Algeria,1992,48364
Algeria,1997,35102
Algeria,2002,28980
Algeria,2007,32610
Algeria,2012,34028
Angola,1952,93622
Angola,1957,97005
Angola,1962,97011
Angola,1967,97220
Angola,1972,101134
Angola,1977,108463
Angola,1982,124320
Angola,1987,139636
Angola,1992,158113
Angola,1997,165051
Angola,2002,156871
Angola,2007,160734
Angola,2012,165372
Antigua and Barbuda,1952,202
Antigua and Barbuda,1957,173
Antigua and Barbuda,1962,144
Antigua and Barbuda,1967,124
Antigua and Barbuda,1972,95
Antigua and Barbuda,1977,60
Antigua and Barbuda,1982,46
Antigua and Barbuda,1987,35
Antigua and Barbuda,1992,28
Antigua and Barbuda,1997,28
Antigua and Barbuda,2002,24
Antigua and Barbuda,2007,19
Antigua and Barbuda,2012,17
Argentina,1952,37945
Argentina,1957,36131
Argentina,1962,36265
Argentina,1967,36024
Argentina,1972,33467
Argentina,1977,31738
Argentina,1982,25557
Argentina,1987,22473
Argentina,1992,20409
Argentina,1997,17630
Argentina,2002,12952
Argentina,2007,12765
Argentina,2012,12167
Armenia,1952,4617
Armenia,1957,5591
Armenia,1962,5830
Armenia,1967,4496
Armenia,1972,4174
Armenia,1977,4210
Armenia,1982,4385
Armenia,1987,4549
Armenia,1992,3462
Armenia,1997,1785
Armenia,2002,1294
Armenia,2007,1066
Armenia,2012,644
Aruba,1952,167
Aruba,1957,127
Aruba,1962,98
Aruba,1967,68
Aruba,1972,47
Aruba,1977,36
Aruba,1982,32
Aruba,1987,28
Aruba,1992,30
Aruba,1997,30
Aruba,2002,27
Aruba,2007,24
Aruba,2012,19
Australia,1952,5993
Australia,1957,5838
Australia,1962,5578
Australia,1967,5393
Australia,1972,5252
Australia,1977,3621
Australia,1982,2892
Australia,1987,2675
Australia,1992,2169
Australia,1997,1784
Australia,2002,1546
Australia,2007,1562
Australia,2012,1477
Austria,1952,6713
Austria,1957,5989
Austria,1962,5052
Austria,1967,3990
Austria,1972,3005
Austria,1977,1789
Austria,1982,1341
Austria,1987,985
Austria,1992,810
Austria,1997,516
Austria,2002,438
Austria,2007,364
Austria,2012,309
Azerbaijan,1952,19480
Azerbaijan,1957,23430
Azerbaijan,1962,25801
Azerbaijan,1967,22183
Azerbaijan,1972,18879
Azerbaijan,1977,18531
Azerbaijan,1982,19797
Azerbaijan,1987,22425
Azerbaijan,1992,20200
Azerbaijan,1997,13125
Azerbaijan,2002,8572
Azerbaijan,2007,7916
Azerbaijan,2012,8775
Bahamas,1952,281
Bahamas,1957,279
Bahamas,1962,290
Bahamas,1967,252
Bahamas,1972,238
Bahamas,1977,202
Bahamas,1982,193
