Entity,Year,"Child mortality 1950-2017 (IHME, 2018)"
Afghanistan,1950,278.38
Afghanistan,1955,265.58
Afghanistan,1960,254.43
Afghanistan,1965,243.63
Afghanistan,1970,232.78
Afghanistan,1975,223.17
Afghanistan,1980,216.38
Afghanistan,1985,199.12
Afghanistan,1990,147.62
Afghanistan,1995,134.7
Afghanistan,2000,119.8
Afghanistan,2005,97.28
Afghanistan,2010,74.67
Afghanistan,2017,55.77
Albania,1950,239.12
Albania,1955,208.04
Albania,1960,158.91
Albania,1965,128.68
Albania,1970,100.03
Albania,1975,76.54
Albania,1980,60.76
Albania,1985,53.94
Albania,1990,44.91
Albania,1995,38.69
Albania,2000,30.24
Albania,2005,23.55
Albania,2010,17.88
Albania,2017,13.99
Algeria,1950,156.83
Algeria,1955,146.32
Algeria,1960,167.96
Algeria,1965,159.99
Algeria,1970,159.98
Algeria,1975,147.85
Algeria,1980,125.76
Algeria,1985,77.25
Algeria,1990,51.4
Algeria,1995,41.18
Algeria,2000,36.04
Algeria,2005,30.36
Algeria,2010,27.99
Algeria,2017,24.11
American Samoa,1950,93.05
American Samoa,1955,72.6
American Samoa,1960,58.59
American Samoa,1965,50.66
American Samoa,1970,41.08
American Samoa,1975,33.35
American Samoa,1980,25.25
American Samoa,1985,19.57
American Samoa,1990,18.99
American Samoa,1995,17.44
American Samoa,2000,16.48
American Samoa,2005,15.76
American Samoa,2010,13.44
American Samoa,2017,11.5
Andean Latin America,1950,337.93
Andean Latin America,1955,290.6
Andean Latin America,1960,262.81
Andean Latin America,1965,219.56
Andean Latin America,1970,199.09
Andean Latin America,1975,158.02
Andean Latin America,1980,134.62
Andean Latin America,1985,107.67
Andean Latin America,1990,80.39
Andean Latin America,1995,62.1
Andean Latin America,2000,47.65
Andean Latin America,2005,37.2
Andean Latin America,2010,29.01
Andean Latin America,2017,20.91
Andorra,1950,25.4
Andorra,1955,21.52
Andorra,1960,18.08
Andorra,1965,15.04
Andorra,1970,12.46
Andorra,1975,10.42
Andorra,1980,9.04
Andorra,1985,7.9
Andorra,1990,6.58
Andorra,1995,4.96
Andorra,2000,3.75
Andorra,2005,3.75
Andorra,2010,3.09
Andorra,2017,2.11
Angola,1950,301.46
Angola,1955,300.39
Angola,1960,289.1
Angola,1965,274.43
Angola,1970,258.91
Angola,1975,251.19
Angola,1980,250.74
Angola,1985,247.62
Angola,1990,238.42
Angola,1995,219.85
Angola,2000,190.58
Angola,2005,151.05
Angola,2010,106.74
Angola,2017,71.04
Antigua and Barbuda,1950,122.55
Antigua and Barbuda,1955,101.24
Antigua and Barbuda,1960,81.98
Antigua and Barbuda,1965,60.19
Antigua and Barbuda,1970,41.67
Antigua and Barbuda,1975,33.06
Antigua and Barbuda,1980,24.57
Antigua and Barbuda,1985,16.64
Antigua and Barbuda,1990,15.4
Antigua and Barbuda,1995,17.27
Antigua and Barbuda,2000,17.2
Antigua and Barbuda,2005,16.17
Antigua and Barbuda,2010,14.32
Antigua and Barbuda,2017,12.81
Argentina,1950,89
Argentina,1955,80.2
Argentina,1960,83.13
Argentina,1965,72.13
Argentina,1970,73.84
Argentina,1975,58.31
Argentina,1980,42.63
Argentina,1985,33.86
Argentina,1990,32.3
Argentina,1995,27.32
Argentina,2000,21.34
Argentina,2005,16.95
Argentina,2010,15.52
Argentina,2017,12.06
Armenia,1950,263.45
Armenia,1955,216.24
Armenia,1960,168.1
Armenia,1965,129.33
Armenia,1970,99.05
Armenia,1975,86.85
Armenia,1980,70.1
Armenia,1985,56.98
Armenia,1990,45.74
Armenia,1995,40.71
Armenia,2000,30.76
Armenia,2005,19.19
Armenia,2010,14.49
Armenia,2017,10.55
Australasia,1950,34.39
Australasia,1955,31.38
Australasia,1960,28.08
Australasia,1965,24.73
Australasia,1970,24.06
Australasia,1975,19.54
Australasia,1980,15.18
Australasia,1985,13.74
Australasia,1990,11.15
Australasia,1995,8.11
