Entity,Year,Under 5 mortality rate (IHME (2017))
Afghanistan,1980,214.89
Afghanistan,1985,198.76
Afghanistan,1990,160.55
Afghanistan,1995,147.78
Afghanistan,2000,133.27
Afghanistan,2005,113.14
Afghanistan,2010,94.75
Afghanistan,2015,82.53
Albania,1980,60.66
Albania,1985,54.48
Albania,1990,41.3
Albania,1995,37.9
Albania,2000,26.74
Albania,2005,21.13
Albania,2010,16.13
Albania,2015,12.15
Algeria,1980,105.97
Algeria,1985,71.58
Algeria,1990,54.44
Algeria,1995,44.79
Algeria,2000,36.65
Algeria,2005,30.93
Algeria,2010,26.64
Algeria,2015,22.74
American Samoa,1980,23.08
American Samoa,1985,19.31
American Samoa,1990,18.27
American Samoa,1995,16.21
American Samoa,2000,13.82
American Samoa,2005,11.3
American Samoa,2010,8.69
American Samoa,2015,7.09
Andorra,1980,10.44
Andorra,1985,8.47
Andorra,1990,6.11
Andorra,1995,4.1
Andorra,2000,2.93
Andorra,2005,2.78
Andorra,2010,2.25
Andorra,2015,1.91
Angola,1980,192.03
Angola,1985,184.64
Angola,1990,190.45
Angola,1995,166.87
Angola,2000,155.76
Angola,2005,123.26
Angola,2010,100.82
Angola,2015,78.7
Antigua and Barbuda,1980,27.23
Antigua and Barbuda,1985,19.68
Antigua and Barbuda,1990,18.85
Antigua and Barbuda,1995,19.58
Antigua and Barbuda,2000,18.84
Antigua and Barbuda,2005,15.73
Antigua and Barbuda,2010,13.85
Antigua and Barbuda,2015,12.87
Argentina,1980,40.52
Argentina,1985,31.56
Argentina,1990,28.27
Argentina,1995,23.44
Argentina,2000,19.81
Argentina,2005,16.86
Argentina,2010,14.76
Argentina,2015,12.57
Armenia,1980,70.51
Armenia,1985,57.89
Armenia,1990,47.26
Armenia,1995,44.11
Armenia,2000,31.14
Armenia,2005,24.89
Armenia,2010,19.18
Armenia,2015,14.95
Australia,1980,12.86
Australia,1985,11.89
Australia,1990,9.6
Australia,1995,6.98
Australia,2000,6.26
Australia,2005,5.77
Australia,2010,4.93
Australia,2015,3.94
Austria,1980,17.25
Austria,1985,13.09
Austria,1990,9.65
Austria,1995,6.8
Austria,2000,5.66
Austria,2005,5.07
Austria,2010,4.64
Austria,2015,3.53
Azerbaijan,1980,97
Azerbaijan,1985,90.13
Azerbaijan,1990,80.97
Azerbaijan,1995,80.03
Azerbaijan,2000,64.64
Azerbaijan,2005,51.83
Azerbaijan,2010,38.98
Azerbaijan,2015,29.71
Bahamas,1980,46.76
Bahamas,1985,40.59
Bahamas,1990,32.56
Bahamas,1995,22.88
Bahamas,2000,18.36
Bahamas,2005,20.54
Bahamas,2010,18.38
Bahamas,2015,16.21
Bahrain,1980,26.94
Bahrain,1985,20.95
Bahrain,1990,21.21
Bahrain,1995,16.75
Bahrain,2000,12.69
Bahrain,2005,9.78
Bahrain,2010,7.56
Bahrain,2015,6.62
Bangladesh,1980,194.73
Bangladesh,1985,168.15
Bangladesh,1990,137.08
Bangladesh,1995,107.89
Bangladesh,2000,83.82
Bangladesh,2005,65.37
Bangladesh,2010,50.51
Bangladesh,2015,39.03
Barbados,1980,36.54
Barbados,1985,31.73
Barbados,1990,26.4
Barbados,1995,22.16
Barbados,2000,20.97
Barbados,2005,19.86
Barbados,2010,18.09
Barbados,2015,16.22
Belarus,1980,26.66
Belarus,1985,23.51
Belarus,1990,20.68
Belarus,1995,18.81
Belarus,2000,15.46
Belarus,2005,11.17
Belarus,2010,7.63
Belarus,2015,5.7
Belgium,1980,15.1
Belgium,1985,11.25
Belgium,1990,10.02
Belgium,1995,7.46
Belgium,2000,6.05
Belgium,2005,4.93
Belgium,2010,4.5
Belgium,2015,3.81
Belize,1980,66.34
Belize,1985,47.83
Belize,1990,38.97
Belize,1995,28.1
Belize,2000,25.85
Belize,2005,21.82
