Entity,Year,Child Mortality Estimates (CME Info (2016))
Afghanistan,1960,356.5
Afghanistan,1961,350.5
Afghanistan,1962,344.8
Afghanistan,1963,339.3
Afghanistan,1964,334.1
Afghanistan,1965,328.5
Afghanistan,1966,323
Afghanistan,1967,317.5
Afghanistan,1968,312.1
Afghanistan,1969,306.6
Afghanistan,1970,300.9
Afghanistan,1971,295.3
Afghanistan,1972,290
Afghanistan,1973,283.9
Afghanistan,1974,278.2
Afghanistan,1975,272.2
Afghanistan,1976,266.2
Afghanistan,1977,260.2
Afghanistan,1978,254.1
Afghanistan,1979,247.7
Afghanistan,1980,241.3
Afghanistan,1981,234.6
Afghanistan,1982,228.1
Afghanistan,1983,221.4
Afghanistan,1984,214.7
Afghanistan,1985,208
Afghanistan,1986,201.3
Afghanistan,1987,194.6
Afghanistan,1988,188
Afghanistan,1989,181.4
Afghanistan,1990,175.1
Afghanistan,1991,168.9
Afghanistan,1992,162.9
Afghanistan,1993,157.4
Afghanistan,1994,152.4
Afghanistan,1995,147.8
Afghanistan,1996,143.5
Afghanistan,1997,139.6
Afghanistan,1998,135.8
Afghanistan,1999,132.3
Afghanistan,2000,128.8
Afghanistan,2001,125.3
Afghanistan,2002,121.7
Afghanistan,2003,117.9
Afghanistan,2004,114.1
Afghanistan,2005,110.1
Afghanistan,2006,106.1
Afghanistan,2007,102
Afghanistan,2008,97.9
Afghanistan,2009,93.9
Afghanistan,2010,90
Afghanistan,2011,86.2
Afghanistan,2012,82.6
Afghanistan,2013,79.2
Afghanistan,2014,76
Afghanistan,2015,73.1
Afghanistan,2016,70.4
Afghanistan,2017,67.9
Albania,1978,95
Albania,1979,87.2
Albania,1980,80.1
Albania,1981,73.6
Albania,1982,67.9
Albania,1983,62.7
Albania,1984,58.2
Albania,1985,54
Albania,1986,50.4
Albania,1987,47.2
Albania,1988,44.5
Albania,1989,42.2
Albania,1990,40.1
Albania,1991,38.4
Albania,1992,36.8
Albania,1993,35.4
Albania,1994,33.9
Albania,1995,32.4
Albania,1996,30.9
Albania,1997,29.3
Albania,1998,27.7
Albania,1999,26.1
Albania,2000,24.5
Albania,2001,22.9
Albania,2002,21.4
Albania,2003,19.9
Albania,2004,18.5
Albania,2005,17.2
Albania,2006,16
Albania,2007,14.8
Albania,2008,13.8
Albania,2009,12.8
Albania,2010,12
Albania,2011,11.3
Albania,2012,10.7
Albania,2013,10.1
Albania,2014,9.7
Albania,2015,9.4
Albania,2016,9.1
Albania,2017,8.8
Algeria,1954,244.1
Algeria,1955,243.4
Algeria,1956,243.1
Algeria,1957,242.2
Algeria,1958,241.8
Algeria,1959,241.7
Algeria,1960,241.7
Algeria,1961,242.2
Algeria,1962,242.8
Algeria,1963,243.7
Algeria,1964,245
Algeria,1965,246.2
Algeria,1966,247
Algeria,1967,247.1
Algeria,1968,246.3
Algeria,1969,244
Algeria,1970,240
Algeria,1971,234.9
Algeria,1972,228.5
Algeria,1973,221
Algeria,1974,212.4
Algeria,1975,203.1
Algeria,1976,193.4
Algeria,1977,183.4
Algeria,1978,172.9
Algeria,1979,161.7
Algeria,1980,149.1
Algeria,1981,134.5
Algeria,1982,118.3
Algeria,1983,102
Algeria,1984,86.9
Algeria,1985,74.3
Algeria,1986,64.8
Algeria,1987,58.4
Algeria,1988,54
Algeria,1989,51.3
Algeria,1990,49.6
Algeria,1991,48.3
Algeria,1992,47.2
Algeria,1993,46.1
Algeria,1994,44.9
Algeria,1995,43.7
Algeria,1996,42.5
Algeria,1997,41.6
Algeria,1998,40.8
Algeria,1999,40.2
Algeria,2000,39.7
Algeria,2001,38.9
Algeria,2002,37.8
Algeria,2003,36.5
Algeria,2004,35
Algeria,2005,33.5
