Entity,Year,"City population (UN Urbanization Prospects, 2018)","Projected city population (UN Urbanization Prospects, 2018)"
Bangalore,1950,0.745999,
Bangalore,1955,0.939396,
Bangalore,1960,1.165978,
Bangalore,1965,1.377314,
Bangalore,1970,1.614756,
Bangalore,1975,2.110599,
Bangalore,1980,2.812428,
Bangalore,1985,3.397214,
Bangalore,1990,4.042598,
Bangalore,1995,4.754228,
Bangalore,2000,5.581263,
Bangalore,2005,6.785901,
Bangalore,2010,8.295564,
Bangalore,2015,10.14108,
Bangalore,2020,,12.326532
Bangalore,2025,,14.395443
Bangalore,2030,,16.226826
Bangalore,2035,,18.065541
Beijing,1950,1.671365,
Beijing,1955,2.364625,
Beijing,1960,3.900441,
Beijing,1965,4.582017,
Beijing,1970,4.426045,
Beijing,1975,4.827973,
Beijing,1980,5.366372,
Beijing,1985,6.017488,
Beijing,1990,6.787737,
Beijing,1995,8.355148,
Beijing,2000,10.285091,
Beijing,2005,12.991292,
Beijing,2010,16.441252,
Beijing,2015,18.421198,
Beijing,2020,,20.46261
Beijing,2025,,22.596455
Beijing,2030,,24.281913
Beijing,2035,,25.36592
Bogota,1950,0.630315,
Bogota,1955,0.894187,
Bogota,1960,1.268645,
Bogota,1965,1.779758,
Bogota,1970,2.383425,
Bogota,1975,3.040465,
Bogota,1980,3.525154,
Bogota,1985,4.086775,
Bogota,1990,4.740448,
Bogota,1995,5.488071,
Bogota,2000,6.329384,
Bogota,2005,7.299095,
Bogota,2010,8.417705,
Bogota,2015,9.707746,
Bogota,2020,,10.97836
Bogota,2025,,11.795829
Bogota,2030,,12.343364
Bogota,2035,,12.753324
Buenos Aires,1950,5.16614,
Buenos Aires,1955,5.910271,
Buenos Aires,1960,6.761837,
Buenos Aires,1965,7.548511,
Buenos Aires,1970,8.41617,
Buenos Aires,1975,9.143219,
Buenos Aires,1980,9.919781,
Buenos Aires,1985,10.523442,
Buenos Aires,1990,11.147566,
Buenos Aires,1995,11.806407,
Buenos Aires,2000,12.503871,
Buenos Aires,2005,13.32954,
Buenos Aires,2010,14.245871,
Buenos Aires,2015,14.705533,
Buenos Aires,2020,,15.153729
Buenos Aires,2025,,15.752275
Buenos Aires,2030,,16.456115
Buenos Aires,2035,,17.127741
Cairo,1950,2.493514,
Cairo,1955,3.029198,
Cairo,1960,3.68016,
Cairo,1965,4.737968,
Cairo,1970,5.584507,
Cairo,1975,6.449922,
Cairo,1980,7.348778,
Cairo,1985,8.328255,
Cairo,1990,9.892143,
Cairo,1995,11.961986,
Cairo,2000,13.625565,
Cairo,2005,15.17405,
Cairo,2010,16.899015,
Cairo,2015,18.820072,
Cairo,2020,,20.900604
Cairo,2025,,23.074225
Cairo,2030,,25.516696
Cairo,2035,,28.504351
Chongqing,1950,1.566966,
Chongqing,1955,1.913248,
Chongqing,1960,2.275158,
Chongqing,1965,2.188064,
Chongqing,1970,2.237344,
Chongqing,1975,2.544566,
Chongqing,1980,2.9614,
Chongqing,1985,3.44623,
Chongqing,1990,4.010602,
Chongqing,1995,5.615367,
Chongqing,2000,7.862976,
Chongqing,2005,9.454076,
Chongqing,2010,11.243667,
Chongqing,2015,13.372015,
Chongqing,2020,,15.872179
Chongqing,2025,,18.171198
Chongqing,2030,,19.649097
Chongqing,2035,,20.531266
Delhi,1950,1.369369,
Delhi,1955,1.781624,
Delhi,1960,2.282962,
Delhi,1965,2.845042,
Delhi,1970,3.530693,
Delhi,1975,4.436385,
Delhi,1980,5.587014,
Delhi,1985,7.225758,
Delhi,1990,9.384209,
Delhi,1995,12.138233,
Delhi,2000,15.691899,
Delhi,2005,18.69133,
Delhi,2010,21.987895,
Delhi,2015,25.865875,
Delhi,2020,,30.290936
Delhi,2025,,34.665569
Delhi,2030,,38.938697
Delhi,2035,,43.345059
Dhaka,1950,0.33576,
Dhaka,1955,0.408866,
Dhaka,1960,0.507921,
Dhaka,1965,0.82074,
Dhaka,1970,1.373718,
Dhaka,1975,2.221055,
Dhaka,1980,3.265663,
Dhaka,1985,4.660384,
Dhaka,1990,6.620697,
Dhaka,1995,8.332474,
Dhaka,2000,10.284947,
Dhaka,2005,12.330879,
Dhaka,2010,14.730537,
Dhaka,2015,17.597177,
Dhaka,2020,,21.00586
Dhaka,2025,,24.652864
Dhaka,2030,,28.07566
Dhaka,2035,,31.233651
Guangzhou,1950,1.048975,
Guangzhou,1955,1.155063,
Guangzhou,1960,1.271914,
Guangzhou,1965,1.400511,
Guangzhou,1970,1.542151,
Guangzhou,1975,1.698116,
