Entity,Year,Solid fuel consumption (CDIAC (2016)),Liquid fuel consumption (CDIAC (2016)),Gas fuel consumption (CDIAC (2016)),Cement production (CDIAC (2016)),Gas flaring (CDIAC (2016))
Afghanistan,1949,4,0,0,0,
Afghanistan,1950,6,18,0,0,0
Afghanistan,1951,7,18,0,0,0
Afghanistan,1952,9,17,0,0,0
Afghanistan,1953,10,18,0,0,0
Afghanistan,1954,12,18,0,0,0
Afghanistan,1955,17,25,0,0,0
Afghanistan,1956,17,33,0,0,0
Afghanistan,1957,21,59,0,0,0
Afghanistan,1958,25,65,0,0,0
Afghanistan,1959,30,70,0,5,0
Afghanistan,1960,35,74,0,5,0
Afghanistan,1961,48,80,0,6,0
Afghanistan,1962,81,99,0,8,0
Afghanistan,1963,72,107,0,14,0
Afghanistan,1964,82,130,0,17,0
Afghanistan,1965,104,148,0,23,0
Afghanistan,1966,117,157,0,24,0
Afghanistan,1967,109,152,71,18,0
Afghanistan,1968,91,136,95,13,0
Afghanistan,1969,99,144,0,14,0
Afghanistan,1970,119,183,59,13,81
Afghanistan,1971,98,204,120,12,83
Afghanistan,1972,52,171,82,13,100
Afghanistan,1973,85,192,91,19,61
Afghanistan,1974,83,210,109,20,100
Afghanistan,1975,109,239,130,20,83
Afghanistan,1976,116,241,82,23,80
Afghanistan,1977,123,266,140,19,104
Afghanistan,1978,157,255,82,17,77
Afghanistan,1979,96,318,105,19,73
Afghanistan,1980,86,252,51,7,83
Afghanistan,1981,91,277,83,10,80
Afghanistan,1982,105,271,108,12,77
Afghanistan,1983,105,333,168,2,80
Afghanistan,1984,107,309,254,15,86
Afghanistan,1985,109,422,325,10,90
Afghanistan,1986,116,311,328,12,90
Afghanistan,1987,121,550,107,14,61
Afghanistan,1988,100,497,120,14,51
Afghanistan,1989,92,509,131,14,11
Afghanistan,1990,76,505,110,15,7
Afghanistan,1991,68,469,106,15,7
Afghanistan,1992,6,253,99,16,6
Afghanistan,1993,5,244,96,16,6
Afghanistan,1994,4,234,92,16,6
Afghanistan,1995,4,225,88,16,6
Afghanistan,1996,2,213,84,16,6
Afghanistan,1997,1,198,77,16,6
Afghanistan,1998,1,188,72,16,6
Afghanistan,1999,1,135,66,16,6
Afghanistan,2000,1,136,61,7,6
Afghanistan,2001,19,85,57,7,6
Afghanistan,2002,15,69,149,8,0
Afghanistan,2003,25,118,127,10,0
Afghanistan,2004,25,162,62,10,0
Afghanistan,2005,29,235,90,8,0
Afghanistan,2006,44,310,90,7,0
Afghanistan,2007,204,327,84,4,0
Afghanistan,2008,294,769,81,5,0
Afghanistan,2009,419,1351,74,4,0
Afghanistan,2010,627,1603,74,5,0
Afghanistan,2011,1174,2077,84,5,0
Afghanistan,2012,1000,4488,84,5,0
Afghanistan,2013,1075,4639,81,5,0
Albania,1933,0,2,0,0,
Albania,1934,0,2,0,0,
Albania,1935,0,5,0,0,
Albania,1936,0,34,0,1,
Albania,1937,0,79,0,2,
Albania,1938,0,95,0,0,
Albania,1939,0,118,0,0,
Albania,1940,0,189,0,0,
Albania,1941,0,169,0,2,
Albania,1942,0,203,0,0,
Albania,1943,0,126,0,0,
Albania,1944,0,42,0,0,
Albania,1945,0,33,0,0,
Albania,1946,6,126,0,0,
Albania,1947,0,253,0,0,
Albania,1948,2,190,0,0,
Albania,1949,0,277,0,0,
Albania,1950,12,68,0,2,0
Albania,1951,20,85,3,2,0
Albania,1952,21,77,3,2,0
Albania,1953,31,75,5,2,0
Albania,1954,43,84,8,2,0
Albania,1955,60,105,10,6,0
Albania,1956,68,139,13,9,0
Albania,1957,75,310,16,10,0
Albania,1958,79,220,18,11,0
Albania,1959,92,271,21,10,0
Albania,1960,89,430,23,10,0
Albania,1961,88,496,23,16,0
Albania,1962,99,534,23,16,0
Albania,1963,77,450,23,18,0
Albania,1964,91,419,23,17,0
Albania,1965,108,443,23,20,0
Albania,1966,130,518,28,19,0
Albania,1967,143,523,35,30,0
Albania,1968,161,596,40,41,0
Albania,1969,188,606,46,45,0
Albania,1970,243,677,51,49,0
Albania,1971,270,802,66,49,0
Albania,1972,295,1114,76,54,0
Albania,1973,319,954,100,70,0
Albania,1974,330,661,117,76,0
Albania,1975,344,670,151,88,0
Albania,1976,347,724,183,95,0
Albania,1977,464,804,191,102,0
Albania,1978,580,896,185,109,0
Albania,1979,732,1030,193,115,0
Albania,1980,634,429,211,136,0
Albania,1981,722,954,220,107,0
Albania,1982,786,858,236,113,0
Albania,1983,847,854,266,114,0
Albania,1984,928,804,285,117,0
Albania,1985,1016,752,265,116,0
Albania,1986,1012,783,287,115,0
Albania,1987,1019,770,123,117,0
Albania,1988,1096,703,97,101,0
Albania,1989,1107,1118,122,103,0
Albania,1990,682,537,127,102,0
Albania,1991,404,608,75,82,0
Albania,1992,218,386,54,27,0
Albania,1993,164,404,43,27,0
Albania,1994,46,438,27,14,0
Albania,1995,44,484,14,27,0
Albania,1996,31,479,12,28,0
Albania,1997,12,385,10,14,0
Albania,1998,15,444,9,11,0
Albania,1999,30,761,8,14,0
Albania,2000,19,776,6,24,0
Albania,2001,22,853,4,0,0
Albania,2002,23,993,7,0,0
Albania,2003,23,1062,7,79,0
Albania,2004,23,1026,9,78,0
Albania,2005,20,1068,6,67,0
Albania,2006,20,967,6,71,0
Albania,2007,20,922,9,121,0
Albania,2008,28,1036,4,125,0
Albania,2009,106,932,5,151,0
Albania,2010,117,953,7,177,0
Albania,2011,146,1030,8,245,0
Albania,2012,171,861,8,245,0
Albania,2013,150,909,9,245,0
Algeria,1900,0,0,0,0,
Algeria,1901,0,0,0,0,
Algeria,1902,0,0,0,0,
Algeria,1903,0,0,0,0,
