Entity,Year,CO2 from cement (CDIAC (2017))
Africa,1884,0
Africa,1885,0
Africa,1886,0
Africa,1887,0
Africa,1888,0
Africa,1889,0
Africa,1890,0
Africa,1891,0
Africa,1892,0
Africa,1893,0
Africa,1894,0
Africa,1895,0
Africa,1896,0
Africa,1897,0
Africa,1898,0
Africa,1899,0
Africa,1900,0
Africa,1901,0
Africa,1902,0
Africa,1903,0
Africa,1904,0
Africa,1905,0
Africa,1906,0
Africa,1907,0
Africa,1908,0
Africa,1909,0
Africa,1910,0
Africa,1911,0
Africa,1912,0
Africa,1913,0
Africa,1914,0
Africa,1915,0
Africa,1916,0
Africa,1917,0
Africa,1918,0
Africa,1919,0
Africa,1920,0
Africa,1921,0
Africa,1922,0
Africa,1923,0
Africa,1924,0
Africa,1925,0
Africa,1926,0
Africa,1927,0
Africa,1928,0.12845
Africa,1929,0.37067
Africa,1930,0.26424
Africa,1931,0.26424
Africa,1932,0.43673
Africa,1933,0.46976
Africa,1934,0.53949
Africa,1935,0.61656
Africa,1936,0.6973
Africa,1937,0.734
Africa,1938,0.75602
Africa,1939,0.74134
Africa,1940,0.65693
Africa,1941,0.72666
Africa,1942,0.77804
Africa,1943,0.81474
Africa,1944,0.97989
Africa,1945,0.94686
Africa,1946,1.15605
Africa,1947,1.29551
Africa,1948,1.43864
Africa,1949,1.56709
Africa,1950,2.06254
Africa,1951,2.31577
Africa,1952,2.38917
Africa,1953,2.69011
Africa,1954,3.10849
Africa,1955,3.50485
Africa,1956,3.62229
Africa,1957,3.79111
Africa,1958,4.02599
Africa,1959,4.22784
Africa,1960,4.4407
Africa,1961,4.34161
Africa,1962,4.50309
Africa,1963,4.8444
Africa,1964,5.36921
Africa,1965,5.74722
Africa,1966,5.95274
Africa,1967,6.15092
Africa,1968,7.11246
Africa,1969,8.18777
Africa,1970,8.89241
Africa,1971,9.59338
Africa,1972,10.16957
Africa,1973,10.77879
Africa,1974,11.25222
Africa,1975,11.08707
Africa,1976,11.4137
Africa,1977,12.23945
Africa,1978,12.98813
Africa,1979,13.98637
Africa,1980,15.91312
Africa,1981,17.30038
Africa,1982,18.48212
Africa,1983,20.13362
Africa,1984,20.919
Africa,1985,20.81257
Africa,1986,19.95012
Africa,1987,21.7264
Africa,1988,23.59076
Africa,1989,24.63304
Africa,1990,25.00004
Africa,1991,26.80568
Africa,1992,27.50298
Africa,1993,27.30847
Africa,1994,28.76179
Africa,1995,30.7546
Africa,1996,31.52163
Africa,1997,32.57492
Africa,1998,33.36764
Africa,1999,34.37689
Africa,2000,36.17886
Africa,2001,38.33682
Africa,2002,40.69663
Africa,2003,41.02326
Africa,2004,45.22174
Africa,2005,49.48995
Africa,2006,55.21882
Africa,2007,60.55133
Africa,2008,65.52785
Africa,2009,70.43831
Africa,2010,71.55399
Africa,2011,72.06779
Africa,2012,82.208
Africa,2013,81.81531
Asia,1858,0
Asia,1859,0
Asia,1860,0
Asia,1861,0
Asia,1862,0
Asia,1863,0
Asia,1864,0
Asia,1865,0
Asia,1866,0
Asia,1867,0
Asia,1868,0
Asia,1869,0
Asia,1870,0
Asia,1871,0
Asia,1872,0
Asia,1873,0
Asia,1874,0
Asia,1875,0
Asia,1876,0
Asia,1877,0
