Entity,Year,CO2 from flaring (CDIAC (2017))
Africa,1884,0
Africa,1885,0
Africa,1886,0
Africa,1887,0
Africa,1888,0
Africa,1889,0
Africa,1890,0
Africa,1891,0
Africa,1892,0
Africa,1893,0
Africa,1894,0
Africa,1895,0
Africa,1896,0
Africa,1897,0
Africa,1898,0
Africa,1899,0
Africa,1900,0
Africa,1901,0
Africa,1902,0
Africa,1903,0
Africa,1904,0
Africa,1905,0
Africa,1906,0
Africa,1907,0
Africa,1908,0
Africa,1909,0
Africa,1910,0
Africa,1911,0
Africa,1912,0
Africa,1913,0
Africa,1914,0
Africa,1915,0
Africa,1916,0
Africa,1917,0
Africa,1918,0
Africa,1919,0
Africa,1920,0
Africa,1921,0
Africa,1922,0
Africa,1923,0
Africa,1924,0
Africa,1925,0
Africa,1926,0
Africa,1927,0
Africa,1928,0
Africa,1929,0
Africa,1930,0
Africa,1931,0
Africa,1932,0
Africa,1933,0
Africa,1934,0
Africa,1935,0
Africa,1936,0
Africa,1937,0
Africa,1938,0
Africa,1939,0
Africa,1940,0
Africa,1941,0
Africa,1942,0
Africa,1943,0
Africa,1944,0
Africa,1945,0
Africa,1946,0
Africa,1947,0
Africa,1948,0
Africa,1949,0
Africa,1950,0
Africa,1951,0
Africa,1952,0
Africa,1953,0
Africa,1954,0
Africa,1955,0
Africa,1956,0
Africa,1957,0
Africa,1958,0
Africa,1959,0
Africa,1960,0
Africa,1961,0
Africa,1962,0
Africa,1963,1.14871
Africa,1964,1.87904
Africa,1965,4.9545
Africa,1966,5.20039
Africa,1967,20.79422
Africa,1968,29.71966
Africa,1969,38.3882
Africa,1970,55.02798
Africa,1971,56.06659
Africa,1972,64.76082
Africa,1973,80.13445
Africa,1974,81.49969
Africa,1975,64.41584
Africa,1976,77.92511
Africa,1977,71.67143
Africa,1978,71.8219
Africa,1979,87.86347
Africa,1980,76.3727
Africa,1981,52.62413
Africa,1982,45.02356
Africa,1983,41.34622
Africa,1984,45.63645
Africa,1985,51.48643
Africa,1986,53.1049
Africa,1987,44.93548
Africa,1988,49.31379
Africa,1989,22.08239
Africa,1990,20.99974
Africa,1991,21.00341
Africa,1992,23.55773
Africa,1993,21.99431
Africa,1994,22.00165
Africa,1995,24.29907
Africa,1996,23.99446
Africa,1997,23.60177
Africa,1998,23.16504
Africa,1999,23.79261
Africa,2000,55.52343
Africa,2001,58.14014
Africa,2002,67.92069
Africa,2003,62.91481
Africa,2004,73.50643
Africa,2005,73.3633
Africa,2006,71.75584
Africa,2007,75.04783
Africa,2008,70.67319
Africa,2009,59.38427
Africa,2010,62.95885
Africa,2011,55.43902
Africa,2012,57.09419
Africa,2013,53.98937
Asia,1858,0
Asia,1859,0
Asia,1860,0
Asia,1861,0
Asia,1862,0
Asia,1863,0
Asia,1864,0
Asia,1865,0
Asia,1866,0
Asia,1867,0
Asia,1868,0
Asia,1869,0
Asia,1870,0
Asia,1871,0
Asia,1872,0
Asia,1873,0
Asia,1874,0
Asia,1875,0
Asia,1876,0
Asia,1877,0
