Entity,Year,CO2 from gas (CDIAC (2017))
Africa,1884,0
Africa,1885,0
Africa,1886,0
Africa,1887,0
Africa,1888,0
Africa,1889,0
Africa,1890,0
Africa,1891,0
Africa,1892,0
Africa,1893,0
Africa,1894,0
Africa,1895,0
Africa,1896,0
Africa,1897,0
Africa,1898,0
Africa,1899,0
Africa,1900,0
Africa,1901,0
Africa,1902,0
Africa,1903,0
Africa,1904,0
Africa,1905,0
Africa,1906,0
Africa,1907,0
Africa,1908,0
Africa,1909,0
Africa,1910,0
Africa,1911,0
Africa,1912,0
Africa,1913,0
Africa,1914,0
Africa,1915,0
Africa,1916,0
Africa,1917,0
Africa,1918,0
Africa,1919,0
Africa,1920,0
Africa,1921,0
Africa,1922,0
Africa,1923,0
Africa,1924,0
Africa,1925,0
Africa,1926,0
Africa,1927,0
Africa,1928,0
Africa,1929,0
Africa,1930,0
Africa,1931,0
Africa,1932,0
Africa,1933,0
Africa,1934,0
Africa,1935,0
Africa,1936,0
Africa,1937,0
Africa,1938,0
Africa,1939,0.1101
Africa,1940,0.09175
Africa,1941,0.09909
Africa,1942,0.10643
Africa,1943,0.11744
Africa,1944,0.13212
Africa,1945,0.13579
Africa,1946,0.13579
Africa,1947,0.13579
Africa,1948,0.13946
Africa,1949,0.13946
Africa,1950,0.00367
Africa,1951,0.00367
Africa,1952,0.00734
Africa,1953,0.01468
Africa,1954,0.02202
Africa,1955,0.02202
Africa,1956,0.02936
Africa,1957,0.02202
Africa,1958,0.01835
Africa,1959,0.0367
Africa,1960,0.04771
Africa,1961,0.49912
Africa,1962,0.74134
Africa,1963,0.71932
Africa,1964,1.45332
Africa,1965,2.12493
Africa,1966,2.36348
Africa,1967,2.32311
Africa,1968,2.36715
Africa,1969,2.89563
Africa,1970,0.81841
Africa,1971,1.69554
Africa,1972,4.42235
Africa,1973,5.36921
Africa,1974,5.11965
Africa,1975,6.43351
Africa,1976,8.89975
Africa,1977,13.54597
Africa,1978,34.49066
Africa,1979,19.68955
Africa,1980,34.68884
Africa,1981,29.44808
Africa,1982,24.02382
Africa,1983,30.47935
Africa,1984,47.64761
Africa,1985,48.92844
Africa,1986,58.45209
Africa,1987,67.98308
Africa,1988,69.06573
Africa,1989,71.52096
Africa,1990,76.08277
Africa,1991,78.60039
Africa,1992,74.49733
Africa,1993,82.05753
Africa,1994,85.93305
Africa,1995,101.92324
Africa,1996,108.39712
Africa,1997,95.61451
Africa,1998,113.52778
Africa,1999,115.24167
Africa,2000,116.14082
Africa,2001,120.91182
Africa,2002,139.02694
Africa,2003,140.54632
Africa,2004,149.72132
Africa,2005,181.34938
Africa,2006,179.83734
Africa,2007,194.76323
Africa,2008,196.71567
Africa,2009,194.6568
Africa,2010,202.09589
Africa,2011,222.769
Africa,2012,234.12765
Africa,2013,228.54558
Asia,1858,0
Asia,1859,0
Asia,1860,0
Asia,1861,0
Asia,1862,0
Asia,1863,0
Asia,1864,0
Asia,1865,0
Asia,1866,0
Asia,1867,0
Asia,1868,0
Asia,1869,0
Asia,1870,0
Asia,1871,0
Asia,1872,0
Asia,1873,0
Asia,1874,0
Asia,1875,0
Asia,1876,0
Asia,1877,0
