Entity,Year,GDP per capita (OWID based on World Bank),GDP (OWID based on World Bank),Population (OWID based on World Bank),CO2 emissions (OWID based on World Bank),CO2 emissions per capita (OWID based on World Bank),Methane emissions (OWID based on World Bank),Methane emissions per capita (OWID based on World Bank),Nitrous oxide emissions (OWID based on World Bank),Nitrous oxide per capita (OWID based on World Bank),Energy use per capita (OWID based on World Bank),Energy use (OWID based on World Bank)
Albania,1990,100,100,100,100,100,100,100,100,100,100,100
Albania,1991,71,70,99,81,81,94,95,65,65,70,70
Albania,1992,66,65,99,47,48,89,90,65,66,51,51
Albania,1993,73,72,98,44,45,92,94,60,61,51,50
Albania,1994,79,78,98,36,37,109,112,69,70,54,53
Albania,1995,91,88,97,39,41,109,112,63,65,51,50
Albania,1996,99,96,96,38,39,103,107,58,60,55,53
Albania,1997,89,85,96,29,30,97,101,54,57,47,45
Albania,1998,98,93,95,33,35,93,98,60,63,52,50
Albania,1999,112,106,95,56,59,93,98,59,63,71,67
Albania,2000,120,113,94,57,61,102,109,81,86,71,67
Albania,2001,131,122,93,61,65,92,99,59,64,73,68
Albania,2002,137,127,93,71,76,92,99,63,68,81,75
Albania,2003,145,134,92,81,87,97,105,61,66,80,74
Albania,2004,154,142,92,78,85,97,105,66,72,88,81
Albania,2005,164,150,92,80,87,97,106,66,72,88,81
Albania,2006,174,158,91,73,81,98,107,69,76,87,79
Albania,2007,185,168,90,74,82,98,109,69,76,84,76
Albania,2008,201,180,90,82,92,99,110,71,79,87,78
Albania,2009,209,186,89,82,93,97,109,73,82,90,80
Albania,2010,218,193,89,87,98,102,115,72,81,90,79
Albania,2011,224,198,88,99,112,103,116,73,82,94,83
Albania,2012,228,201,88,89,101,104,118,73,83,85,75
Albania,2013,230,203,88,91,103,,,,,99,87
Albania,2014,235,207,88,,,,,,,99,87
Algeria,1990,100,100,100,100,100,100,100,100,100,100,100
Algeria,1991,96,99,102,103,100,103,101,98,95,103,106
Algeria,1992,96,101,105,104,99,116,111,101,96,103,108
Algeria,1993,92,98,107,106,98,116,108,104,97,101,109
Algeria,1994,89,98,109,111,101,113,103,96,88,96,105
Algeria,1995,91,101,112,122,110,123,110,85,77,98,109
Algeria,1996,93,105,114,125,110,126,111,83,73,93,106
Algeria,1997,92,107,115,113,98,130,112,88,76,94,108
Algeria,1998,96,112,117,137,117,133,113,98,84,96,112
Algeria,1999,97,116,119,118,100,142,119,105,89,101,120
Algeria,2000,100,120,120,113,94,139,116,108,90,101,122
Algeria,2001,101,124,122,108,89,131,107,111,91,100,122
Algeria,2002,106,131,123,117,94,131,106,110,89,106,130
Algeria,2003,112,140,125,119,95,140,112,111,89,111,139
Algeria,2004,115,146,127,115,91,139,109,114,90,111,140
Algeria,2005,120,155,128,137,107,145,113,115,89,114,146
Algeria,2006,121,157,130,130,100,147,113,105,81,120,156
Algeria,2007,123,163,132,140,106,144,109,131,99,125,166
Algeria,2008,124,166,135,142,105,147,109,132,98,125,168
Algeria,2009,124,169,137,156,114,146,106,144,105,134,184
Algeria,2010,126,175,139,153,110,147,106,147,105,130,181
Algeria,2011,127,180,142,155,109,149,105,148,104,133,188
Algeria,2012,129,186,145,167,115,150,104,150,103,143,207
Algeria,2013,129,192,148,172,116,,,,,145,214
Algeria,2014,132,199,151,,,,,,,154,233
Angola,1990,100,100,100,100,100,100,100,100,100,100,100
Angola,1991,96,99,103,99,96,87,84,75,73,99,102
Angola,1992,86,92,107,102,95,128,120,144,135,97,103
Angola,1993,63,69,110,113,103,80,72,61,55,97,107
Angola,1994,63,72,114,76,67,90,79,79,70,95,108
Angola,1995,68,79,117,215,183,97,83,83,71,92,108
Angola,1996,73,88,121,204,169,95,79,65,54,92,111
Angola,1997,77,95,124,144,116,68,55,15,12,92,114
Angola,1998,80,101,127,143,112,73,57,16,13,89,113
Angola,1999,80,105,131,179,137,73,56,16,12,91,119
Angola,2000,80,108,135,187,138,71,53,17,13,90,122
Angola,2001,81,112,140,190,136,70,50,17,12,91,128
Angola,2002,72,105,144,248,171,71,49,18,12,92,133
Angola,2003,74,110,150,177,118,71,47,18,12,96,144
Angola,2004,79,122,155,367,237,72,46,17,11,96,148
Angola,2005,90,144,161,374,233,74,46,17,11,89,143
