Entity,Year,Coal production (The SHIFT Project)
Afghanistan,1949,0.040705
Afghanistan,1950,0.113974001
Afghanistan,1951,0.122115001
Afghanistan,1952,0.138397001
Afghanistan,1953,0.130256001
Afghanistan,1954,0.122115001
Afghanistan,1955,0.187243002
Afghanistan,1956,0.187243002
Afghanistan,1957,0.236089002
Afghanistan,1958,0.276794003
Afghanistan,1959,0.333781003
Afghanistan,1960,0.390768004
Afghanistan,1961,0.537306005
Afghanistan,1962,0.911792009
Afghanistan,1963,0.805959008
Afghanistan,1964,0.919933009
Afghanistan,1965,1.172304012
Afghanistan,1966,1.318842013
Afghanistan,1967,1.229291012
Afghanistan,1968,1.01762501
Afghanistan,1969,1.107176011
Afghanistan,1970,1.335124013
Afghanistan,1971,1.099035011
Afghanistan,1972,0.578011006
Afghanistan,1973,0.952497009
Afghanistan,1974,0.936215009
Afghanistan,1975,1.221150012
Afghanistan,1976,1.302560013
Afghanistan,1977,1.383970014
Afghanistan,1978,1.774738017
Afghanistan,1979,1.074612011
Afghanistan,1980,0.767272965
Afghanistan,1981,0.805959008
Afghanistan,1982,0.934912466
Afghanistan,1983,0.934912466
Afghanistan,1984,0.954255458
Afghanistan,1985,0.973598509
Afghanistan,1986,1.031627545
Afghanistan,1987,1.076761252
Afghanistan,1988,0.889778759
Afghanistan,1989,0.818854336
Afghanistan,1990,0.677005551
Afghanistan,1991,0.606081187
Afghanistan,1992,0.281182988
Afghanistan,1993,0.306844728
Afghanistan,1994,0.33573027
Afghanistan,1995,0.366550152
Afghanistan,1996,0.399239858
Afghanistan,1997,0.433412519
Afghanistan,1998,0.457784737
Afghanistan,1999,0.515985317
Afghanistan,2000,0.550525141
Afghanistan,2001,0.177127288
Afghanistan,2002,0.143064334
Afghanistan,2003,0.238440556
Afghanistan,2004,0.231627978
Afghanistan,2005,0.224815338
Afghanistan,2006,0.238440556
Afghanistan,2007,1.655458614
Afghanistan,2008,2.363967643
Afghanistan,2009,3.406293452
Afghanistan,2010,4.939125529
Afghanistan,2011,4.939125529
Afghanistan,2012,5.109413767
Afghanistan,2013,5.142743297
Afghanistan,2014,5.176290241
Albania,1946,0.065128001
Albania,1948,0.016282
Albania,1950,0.166890502
Albania,1951,0.211666002
Albania,1952,0.321569503
Albania,1953,0.427402504
Albania,1954,0.606504506
Albania,1955,0.793747508
Albania,1956,0.911792009
Albania,1957,0.960638009
Albania,1958,1.04204801
Albania,1959,1.05833001
Albania,1960,1.184515512
Albania,1961,1.176374512
Albania,1962,1.225220512
Albania,1963,1.02576601
Albania,1964,1.188586012
Albania,1965,1.347335513
Albania,1966,1.603777016
Albania,1967,1.628200016
Albania,1968,1.766597017
Albania,1969,2.409736024
Albania,1970,2.466723024
Albania,1971,2.747587527
Albania,1972,3.01217003
Albania,1973,3.301175532
Albania,1974,3.459925034
Albania,1975,3.459925034
Albania,1976,3.663450036
Albania,1977,3.866975038
Albania,1978,4.151910041
Albania,1979,5.698700056
Albania,1980,3.517068542
Albania,1981,3.819665399
Albania,1982,4.216513758
Albania,1983,4.588559104
Albania,1984,4.985407441
Albania,1985,5.33264975
Albania,1986,5.374814903
Albania,1987,5.292964919
Albania,1988,5.416980034
Albania,1989,5.439302749
Albania,1990,5.13422557
Albania,1991,2.69608851
Albania,1992,0.907790615
Albania,1993,0.530784671
Albania,1994,0.419543127
Albania,1995,0.19842221
Albania,1996,0.280274142
Albania,1997,0.10156734
Albania,1998,0.127609403
Albania,1999,0.127610284
Albania,2000,0.078128739
Albania,2001,0.054690122
Albania,2002,0.200530423
Albania,2003,0.210947599
Albania,2004,0.210947599
Albania,2005,0.166674654
Albania,2006,0.166674654
Albania,2007,0.166674654
Albania,2008,0.221364775
Albania,2009,0.036460081
Albania,2010,0.036460081
Albania,2011,0.023438617
Albania,2012,0.052085474
Albania,2013,0.050131177
Albania,2014,0.048016795
Algeria,1917,0.016282
Algeria,1918,0.04697357
Algeria,1919,0.051980286
Algeria,1920,0.055114571
Algeria,1921,0.073269001
Algeria,1922,0.073269001
Algeria,1923,0.032564
Algeria,1924,0.073269001
Algeria,1925,0.081410001
Algeria,1926,0.113974001
Algeria,1927,0.170961002
Algeria,1928,0.138397001
Algeria,1929,0.130256001
Algeria,1930,0.138397001
Algeria,1931,0.170961002
Algeria,1932,0.203525002
Algeria,1933,0.244230002
