Entity,Year,Direct conflict deaths,Direct conflict death rate
Afghanistan,1989,5411,45.94
Afghanistan,1990,1514,12.36
Afghanistan,1991,3553,27.34
Afghanistan,1992,4385,31.36
Afghanistan,1993,4105,27.19
Afghanistan,1994,9056,56
Afghanistan,1995,5618,32.85
Afghanistan,1996,3595,20.17
Afghanistan,1997,6721,36.56
Afghanistan,1998,12174,64.54
Afghanistan,1999,5065,26.1
Afghanistan,2000,5394,26.84
Afghanistan,2001,5553,26.49
Afghanistan,2002,1157,5.26
Afghanistan,2003,944,4.09
Afghanistan,2004,817,3.39
Afghanistan,2005,1711,6.82
Afghanistan,2006,4982,19.24
Afghanistan,2007,7020,26.37
Afghanistan,2008,5660,20.74
Afghanistan,2009,6499,23.21
Afghanistan,2010,7151,24.83
Afghanistan,2011,7563,25.46
Afghanistan,2012,7823,25.48
Afghanistan,2013,8131,25.62
Afghanistan,2014,12549,38.31
Afghanistan,2015,17987,53.32
Afghanistan,2016,18714,54
Afghanistan,2017,19776,55.66
Afghanistan,2018,26888,73.92
Albania,1989,0,0
Albania,1990,0,0
Albania,1991,0,0
Albania,1992,0,0
Albania,1993,0,0
Albania,1994,0,0
Albania,1995,0,0
Albania,1996,0,0
Albania,1997,0,0
Albania,1998,0,0
Albania,1999,6,0.19
Albania,2000,0,0
Albania,2001,0,0
Albania,2002,0,0
Albania,2003,0,0
Albania,2004,0,0
Albania,2005,0,0
Albania,2006,0,0
Albania,2007,0,0
Albania,2008,0,0
Albania,2009,0,0
Albania,2010,0,0
Albania,2011,0,0
Albania,2012,0,0
Albania,2013,0,0
Albania,2014,0,0
Albania,2015,0,0
Albania,2016,0,0
Albania,2017,0,0
Albania,2018,0,0
Algeria,1989,0,0
Algeria,1990,1,0
Algeria,1991,34,0.13
Algeria,1992,274,1.01
Algeria,1993,826,2.97
Algeria,1994,1943,6.85
Algeria,1995,3059,10.58
Algeria,1996,1091,3.71
Algeria,1997,2008,6.72
Algeria,1998,3284,10.83
Algeria,1999,1153,3.75
Algeria,2000,1178,3.78
Algeria,2001,674,2.13
Algeria,2002,1058,3.31
Algeria,2003,714,2.2
Algeria,2004,500,1.52
Algeria,2005,232,0.7
Algeria,2006,292,0.86
Algeria,2007,495,1.44
Algeria,2008,345,0.99
Algeria,2009,541,1.53
Algeria,2010,252,0.7
Algeria,2011,276,0.75
Algeria,2012,264,0.7
Algeria,2013,222,0.58
Algeria,2014,111,0.28
Algeria,2015,110,0.28
Algeria,2016,89,0.22
Algeria,2017,77,0.19
Algeria,2018,35,0.08
Andorra,1989,0,0
Andorra,1990,0,0
Andorra,1991,0,0
Andorra,1992,0,0
Andorra,1993,0,0
Andorra,1994,0,0
Andorra,1995,0,0
Andorra,1996,0,0
Andorra,1997,0,0
Andorra,1998,0,0
Andorra,1999,0,0
Andorra,2000,0,0
Andorra,2001,0,0
Andorra,2002,0,0
Andorra,2003,0,0
Andorra,2004,0,0
Andorra,2005,0,0
Andorra,2006,0,0
Andorra,2007,0,0
Andorra,2008,0,0
Andorra,2009,0,0
Andorra,2010,0,0
Andorra,2011,0,0
Andorra,2012,0,0
Andorra,2013,0,0
Andorra,2014,0,0
Andorra,2015,0,0
Andorra,2016,0,0
Andorra,2017,0,0
Andorra,2018,0,0
Angola,1989,2873,24.29
Angola,1990,2609,21.44
Angola,1991,526,4.19
Angola,1992,2328,17.95
Angola,1993,12398,92.5
Angola,1994,4009,28.96
Angola,1995,215,1.51
Angola,1996,75,0.51
Angola,1997,95,0.63
Angola,1998,1199,7.73
Angola,1999,2665,16.71
Angola,2000,1206,7.34
Angola,2001,2154,12.68
Angola,2002,578,3.29
Angola,2003,81,0.44
Angola,2004,49,0.26
Angola,2005,11,0.06
Angola,2006,0,0
Angola,2007,26,0.12
Angola,2008,4,0.02
Angola,2009,25,0.11
Angola,2010,10,0.04
Angola,2011,1,0
Angola,2012,0,0
Angola,2013,2,0.01
Angola,2014,0,0
Angola,2015,1,0
Angola,2016,19,0.07
Angola,2017,26,0.09
Angola,2018,24,0.08
