Entity,Year,Corruption Perception Index (Transparency International (2016))
Afghanistan,2012,8
Afghanistan,2013,8
Afghanistan,2014,12
Afghanistan,2015,11
Afghanistan,2016,15
Afghanistan,2017,15
Afghanistan,2018,16
Albania,2012,33
Albania,2013,31
Albania,2014,33
Albania,2015,36
Albania,2016,39
Albania,2017,38
Albania,2018,36
Algeria,2012,34
Algeria,2013,36
Algeria,2014,36
Algeria,2015,36
Algeria,2016,34
Algeria,2017,33
Algeria,2018,35
Angola,2012,22
Angola,2013,23
Angola,2014,19
Angola,2015,15
Angola,2016,18
Angola,2017,19
Angola,2018,19
Argentina,2012,35
Argentina,2013,34
Argentina,2014,34
Argentina,2015,32
Argentina,2016,36
Argentina,2017,39
Argentina,2018,40
Armenia,2012,34
Armenia,2013,36
Armenia,2014,37
Armenia,2015,35
Armenia,2016,33
Armenia,2017,35
Armenia,2018,35
Australia,2012,85
Australia,2013,81
Australia,2014,80
Australia,2015,79
Australia,2016,79
Australia,2017,77
Australia,2018,77
Austria,2012,69
Austria,2013,69
Austria,2014,72
Austria,2015,76
Austria,2016,75
Austria,2017,75
Austria,2018,76
Azerbaijan,2012,27
Azerbaijan,2013,28
Azerbaijan,2014,29
Azerbaijan,2015,29
Azerbaijan,2016,30
Azerbaijan,2017,31
Azerbaijan,2018,25
Bahamas,2012,71
Bahamas,2013,71
Bahamas,2014,71
Bahamas,2016,66
Bahamas,2017,65
Bahamas,2018,65
Bahrain,2012,51
Bahrain,2013,48
Bahrain,2014,49
Bahrain,2015,51
Bahrain,2016,43
Bahrain,2017,36
Bahrain,2018,36
Bangladesh,2012,26
Bangladesh,2013,27
Bangladesh,2014,25
Bangladesh,2015,25
Bangladesh,2016,26
Bangladesh,2017,28
Bangladesh,2018,26
Barbados,2012,76
Barbados,2013,75
Barbados,2014,74
Barbados,2016,61
Barbados,2017,68
Barbados,2018,68
Belarus,2012,31
Belarus,2013,29
Belarus,2014,31
Belarus,2015,32
Belarus,2016,40
Belarus,2017,44
Belarus,2018,44
Belgium,2012,75
Belgium,2013,75
Belgium,2014,76
Belgium,2015,77
Belgium,2016,77
Belgium,2017,75
Belgium,2018,75
Benin,2012,36
Benin,2013,36
Benin,2014,39
Benin,2015,37
Benin,2016,36
Benin,2017,39
Benin,2018,40
Bhutan,2012,63
Bhutan,2013,63
Bhutan,2014,65
Bhutan,2015,65
Bhutan,2016,65
Bhutan,2017,67
Bhutan,2018,68
Bolivia,2012,34
Bolivia,2013,34
Bolivia,2014,35
Bolivia,2015,34
Bolivia,2016,33
Bolivia,2017,33
Bolivia,2018,29
Bosnia and Herzegovina,2012,42
Bosnia and Herzegovina,2013,42
Bosnia and Herzegovina,2014,39
Bosnia and Herzegovina,2015,38
Bosnia and Herzegovina,2016,39
Bosnia and Herzegovina,2017,38
Bosnia and Herzegovina,2018,38
Botswana,2012,65
Botswana,2013,64
Botswana,2014,63
Botswana,2015,63
Botswana,2016,60
Botswana,2017,61
Botswana,2018,61
Brazil,2012,43
Brazil,2013,42
Brazil,2014,43
Brazil,2015,38
Brazil,2016,40
Brazil,2017,37
Brazil,2018,35
Brunei,2012,55
Brunei,2013,60
Brunei,2016,58
Brunei,2017,62
Brunei,2018,63
