Entity,Year,Countries Continents
Abkhazia,2015,Asia
Afghanistan,2015,Asia
Akrotiri and Dhekelia,2015,Asia
Albania,2015,Europe
Algeria,2015,Africa
American Samoa,2015,Oceania
Andorra,2015,Europe
Angola,2015,Africa
Anguilla,2015,North America
Antarctica,2015,Antarctica
Antigua and Barbuda,2015,North America
Argentina,2015,South America
Armenia,2015,Asia
Aruba,2015,North America
Australia,2015,Oceania
Austria,2015,Europe
Austria-Hungary,2015,Europe
Azerbaijan,2015,Asia
Baden,2015,Europe
Bahamas,2015,North America
Bahrain,2015,Asia
Bangladesh,2015,Asia
Barbados,2015,North America
Bavaria,2015,Europe
Belarus,2015,Europe
Belgium,2015,Europe
Belize,2015,North America
Benin,2015,Africa
Bermuda,2015,North America
Bhutan,2015,Asia
Bolivia,2015,South America
Bonaire Sint Eustatius and Saba,2015,North America
Bosnia and Herzegovina,2015,Europe
Botswana,2015,Africa
Bouvet Island,2015,Antarctica
Brazil,2015,South America
British Indian Ocean Territory,2015,Asia
British Virgin Islands,2015,North America
Brunei,2015,Asia
Bulgaria,2015,Europe
Burkina Faso,2015,Africa
Burundi,2015,Africa
Cambodia,2015,Asia
Cameroon,2015,Africa
Canada,2015,North America
Cape Verde,2015,Africa
Cayman Islands,2015,North America
Central African Republic,2015,Africa
Chad,2015,Africa
Channel Islands,2015,Europe
Chile,2015,South America
China,2015,Asia
Christmas Island,2015,Asia
Cocos Islands,2015,Asia
Colombia,2015,South America
Comoros,2015,Africa
Congo,2015,Africa
Cook Islands,2015,Oceania
Costa Rica,2015,North America
Cote d'Ivoire,2015,Africa
Croatia,2015,Europe
Cuba,2015,North America
Curacao,2015,North America
Cyprus,2015,Europe
Czechia,2015,Europe
Czechoslovakia,2015,Europe
Democratic Republic of Congo,2015,Africa
Denmark,2015,Europe
Djibouti,2015,Africa
Dominica,2015,North America
Dominican Republic,2015,North America
East Germany,2015,Europe
Ecuador,2015,South America
Egypt,2015,Africa
El Salvador,2015,North America
Equatorial Guinea,2015,Africa
Eritrea,2015,Africa
Eritrea and Ethiopia,2015,Africa
Estonia,2015,Europe
Eswatini,2015,Africa
Ethiopia,2015,Africa
Faeroe Islands,2015,Europe
Falkland Islands,2015,South America
Fiji,2015,Oceania
Finland,2015,Europe
France,2015,Europe
French Guiana,2015,South America
French Polynesia,2015,Oceania
French Southern Territories,2015,Antarctica
Gabon,2015,Africa
Gambia,2015,Africa
Georgia,2015,Asia
Germany,2015,Europe
Ghana,2015,Africa
Gibraltar,2015,Europe
Greece,2015,Europe
Greenland,2015,North America
Grenada,2015,North America
Guadeloupe,2015,North America
Guam,2015,Oceania
Guatemala,2015,North America
Guernsey,2015,Europe
Guinea,2015,Africa
Guinea-Bissau,2015,Africa
Guyana,2015,South America
Haiti,2015,North America
Hanover,2015,Europe
Heard Island and McDonald Islands,2015,Antarctica
Hesse Electoral,2015,Europe
Hesse Grand Ducal,2015,Europe
Honduras,2015,North America
Hong Kong,2015,Asia
Hungary,2015,Europe
Iceland,2015,Europe
India,2015,Asia
Indonesia,2015,Asia
Iran,2015,Asia
Iraq,2015,Asia
Ireland,2015,Europe
Isle of Man,2015,Europe
Israel,2015,Asia
Italy,2015,Europe
Jamaica,2015,North America
Japan,2015,Asia
Jersey,2015,Europe
Jordan,2015,Asia
Kazakhstan,2015,Asia
Kenya,2015,Africa
Kiribati,2015,Oceania
Kosovo,2015,Europe
Kuwait,2015,Asia
Kyrgyzstan,2015,Asia
Laos,2015,Asia
Latvia,2015,Europe
Lebanon,2015,Asia
Lesotho,2015,Africa
Liberia,2015,Africa
Libya,2015,Africa
Liechtenstein,2015,Europe
Lithuania,2015,Europe
Luxembourg,2015,Europe
Macao,2015,Asia
Madagascar,2015,Africa
Malawi,2015,Africa
Malaysia,2015,Asia
Maldives,2015,Asia
Mali,2015,Africa
Malta,2015,Europe
Marshall Islands,2015,Oceania
Martinique,2015,North America
