Entity,Year,Daily new confirmed cases of COVID-19,Daily new confirmed deaths due to COVID-19,Total confirmed cases of COVID-19,Total confirmed deaths due to COVID-19,Daily new confirmed cases of COVID-19 per million people,Daily new confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people,Total confirmed deaths due to COVID-19 per million people,Days since the total confirmed cases of COVID-19 reached 100,Days since the total confirmed deaths of COVID-19 reached 5,Days since the total confirmed cases of COVID-19 per million people reached 1,Days since the total confirmed deaths of COVID-19 per million people reached 0.1,Case fatality rate of COVID-19 (%),Case fatality rate of COVID-19 (%) (Only observations with ≥100 cases),Days since 30 daily new confirmed cases recorded,Days since 10 daily new confirmed deaths recorded,"Daily new confirmed deaths due to COVID-19 (rolling 7-day average, right-aligned)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)","Days since daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned) reached 1","Days since daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned) reached 0.1","Daily new confirmed cases of COVID-19 (rolling 3-day average, right-aligned)","Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)","Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)","Days since daily new confirmed cases of COVID-19 (rolling 7-day average, right-aligned) reached 30","Days since daily new confirmed deaths due to COVID-19 (rolling 7-day average, right-aligned) reached 5",Days since the total confirmed cases of COVID-19 reached 100 (with population ≥ 5M),Has population ≥ 5M AND had ≥100 cases ≥21 days ago AND has testing data,Doubling days of total confirmed cases (3 day period),Doubling days of total confirmed deaths (3 day period),Weekly cases,Weekly deaths,Weekly case growth (%),Weekly death growth (%),Biweekly cases,Biweekly deaths,Biweekly case growth (%),Biweekly death growth (%),Weekly cases per million people,Weekly deaths per million people,Biweekly cases per million people,Biweekly deaths per million people,Case fatality rate of COVID-19 (%) (Short-term)
Afghanistan,-21,0,0,,,0,0,,,-89,-96,-84,-90,,,-86,-118,,,-102,-125,0,,,-100,-127,-89,0,,,,,,,,,,,,,,,
Afghanistan,-20,0,0,,,0,0,,,-88,-95,-83,-89,,,-85,-117,,,-101,-124,0,,,-99,-126,-88,0,,,,,,,,,,,,,,,
Afghanistan,-19,0,0,,,0,0,,,-87,-94,-82,-88,,,-84,-116,0,0,-100,-123,0,0,0,-98,-125,-87,0,,,,,,,,,,,,,,,
Afghanistan,-18,0,0,,,0,0,,,-86,-93,-81,-87,,,-83,-115,0,0,-99,-122,0,0,0,-97,-124,-86,0,,,,,,,,,,,,,,,
Afghanistan,-17,0,0,,,0,0,,,-85,-92,-80,-86,,,-82,-114,0,0,-98,-121,0,0,0,-96,-123,-85,0,,,,,,,,,,,,,,,
Afghanistan,-16,0,0,,,0,0,,,-84,-91,-79,-85,,,-81,-113,0,0,-97,-120,0,0,0,-95,-122,-84,0,,,,,,,,,,,,,,,
Afghanistan,-15,0,0,,,0,0,,,-83,-90,-78,-84,,,-80,-112,0,0,-96,-119,0,0,0,-94,-121,-83,0,,,0,0,,,,,,,0,0,,,
Afghanistan,-14,0,0,,,0,0,,,-82,-89,-77,-83,,,-79,-111,0,0,-95,-118,0,0,0,-93,-120,-82,0,,,0,0,,,,,,,0,0,,,
Afghanistan,-13,0,0,,,0,0,,,-81,-88,-76,-82,,,-78,-110,0,0,-94,-117,0,0,0,-92,-119,-81,0,,,0,0,,,,,,,0,0,,,
Afghanistan,-12,0,0,,,0,0,,,-80,-87,-75,-81,,,-77,-109,0,0,-93,-116,0,0,0,-91,-118,-80,0,,,0,0,,,,,,,0,0,,,
Afghanistan,-11,0,0,,,0,0,,,-79,-86,-74,-80,,,-76,-108,0,0,-92,-115,0,0,0,-90,-117,-79,0,,,0,0,,,,,,,0,0,,,
