Entity,Year,"Cumulative share of marriages ending in divorce (England and Wales, UK ONS)"
1963,1963,0
1963,1964,0
1963,1965,0.1
1963,1966,0.5
1963,1967,1.5
1963,1968,2.6
1963,1969,3.7
1963,1970,4.9
1963,1971,6.2
1963,1972,7.8
1963,1973,9.1
1963,1974,10.4
1963,1975,11.7
1963,1976,12.9
1963,1977,14.1
1963,1978,15.2
1963,1979,16.3
1963,1980,17.4
1963,1981,18.3
1963,1982,19.2
1963,1983,20
1963,1984,20.8
1963,1985,21.5
1963,1986,22.2
1963,1987,22.8
1963,1988,23.3
1963,1989,23.8
1963,1990,24.2
1963,1991,24.6
1963,1992,24.9
1963,1993,25.2
1963,1994,25.5
1963,1995,25.7
1963,1996,25.9
1963,1997,26
1963,1998,26.2
1963,1999,26.3
1963,2000,26.4
1963,2001,26.5
1963,2002,26.6
1963,2003,26.7
1963,2004,26.8
1963,2005,26.8
1963,2006,26.9
1963,2007,26.9
1963,2008,26.9
1963,2009,26.9
1963,2010,27
1963,2011,27
1963,2012,27
1963,2013,27
1963,2014,27
1963,2015,27
1963,2016,27
1963,2017,27
1964,1964,0
1964,1965,0.1
1964,1966,0.1
1964,1967,0.5
1964,1968,1.7
1964,1969,2.9
1964,1970,4.1
1964,1971,5.6
1964,1972,7.3
1964,1973,8.7
1964,1974,10.2
1964,1975,11.6
1964,1976,12.8
1964,1977,14.1
1964,1978,15.3
1964,1979,16.4
1964,1980,17.5
1964,1981,18.6
1964,1982,19.5
1964,1983,20.4
1964,1984,21.3
1964,1985,22.1
1964,1986,22.8
1964,1987,23.5
1964,1988,24
1964,1989,24.6
1964,1990,25.1
1964,1991,25.5
1964,1992,25.9
1964,1993,26.2
1964,1994,26.5
1964,1995,26.8
1964,1996,27
1964,1997,27.2
1964,1998,27.4
1964,1999,27.5
1964,2000,27.7
1964,2001,27.8
1964,2002,27.9
1964,2003,28
1964,2004,28.1
1964,2005,28.1
1964,2006,28.2
1964,2007,28.2
1964,2008,28.3
1964,2009,28.3
1964,2010,28.3
1964,2011,28.4
1964,2012,28.4
1964,2013,28.4
1964,2014,28.4
1964,2015,28.4
1964,2016,28.4
1964,2017,28
1965,1965,0
1965,1966,0.1
1965,1967,0.1
1965,1968,0.6
1965,1969,1.9
1965,1970,3.3
1965,1971,4.9
1965,1972,6.8
1965,1973,8.3
1965,1974,9.9
1965,1975,11.4
1965,1976,12.8
1965,1977,14.2
1965,1978,15.5
1965,1979,16.7
1965,1980,17.8
1965,1981,18.9
1965,1982,20
1965,1983,20.9
1965,1984,21.7
1965,1985,22.6
1965,1986,23.4
1965,1987,24.1
1965,1988,24.7
1965,1989,25.3
1965,1990,25.9
1965,1991,26.4
1965,1992,26.8
1965,1993,27.2
1965,1994,27.5
1965,1995,27.8
1965,1996,28.1
1965,1997,28.3
1965,1998,28.5
1965,1999,28.7
1965,2000,28.8
1965,2001,29
1965,2002,29.1
1965,2003,29.2
1965,2004,29.3
1965,2005,29.4
