Entity,Year,Bottom decile income/consumption per day,Difference between top and bottom decile income/consumption per day,World Bank region (including Advanced Industrialized category),pop
Albania (cons),1996,2.385163,10.72705,Eastern Europe and Central Asia,3.17
Albania (cons),2002,2.20415,13.86278,Eastern Europe and Central Asia,3.05
Albania (cons),2005,2.484548,14.89301,Eastern Europe and Central Asia,3.01
Albania (cons),2008,2.912711,16.1878,Eastern Europe and Central Asia,2.95
Albania (cons),2012,2.710767,14.27226,Eastern Europe and Central Asia,2.9
Algeria (cons),1988,1.7741,19.7845,Middle East and North Africa,24.59
Algeria (cons),1995,1.796636,15.03665,Middle East and North Africa,28.9
Algeria (cons),2011,3.298542,15.31989,Middle East and North Africa,36.82
Angola (cons),2000,0.4404362,17.64891,Sub-Saharan Africa,16.44
Angola (cons),2009,0.8216936,12.00387,Sub-Saharan Africa,21.76
Argentina-Urban (inc),1986,5.532722,86.4807,Latin America and Caribbean,26.37
Argentina-Urban (inc),1987,4.486833,84.783,Latin America and Caribbean,26.89
Argentina-Urban (inc),1991,3.2214,64.15188,Latin America and Caribbean,28.99
Argentina-Urban (inc),1992,2.970003,60.68088,Latin America and Caribbean,29.46
Argentina-Urban (inc),1993,2.754114,59.02736,Latin America and Caribbean,29.93
Argentina-Urban (inc),1994,2.754937,60.49842,Latin America and Caribbean,30.4
Argentina-Urban (inc),1995,1.972181,62.53386,Latin America and Caribbean,30.85
Argentina-Urban (inc),1996,1.761114,61.27992,Latin America and Caribbean,31.3
Argentina-Urban (inc),1997,1.934449,63.19199,Latin America and Caribbean,31.74
Argentina-Urban (inc),1998,1.861448,64.33305,Latin America and Caribbean,32.17
Argentina-Urban (inc),1999,1.774699,59.67633,Latin America and Caribbean,32.6
Argentina-Urban (inc),2000,1.541155,59.61837,Latin America and Caribbean,33.03
Argentina-Urban (inc),2001,0.9707474,57.96109,Latin America and Caribbean,33.47
Argentina-Urban (inc),2002,0.913028,41.60049,Latin America and Caribbean,33.92
Argentina-Urban (inc),2003,1.456758,52.01057,Latin America and Caribbean,34.37
