Entity,Year,Daily caloric supply (OWID based on UN FAO & historical sources)
Afghanistan,1961,2999.0
Afghanistan,1962,2917.0
Afghanistan,1963,2698.0
Afghanistan,1964,2953.0
Afghanistan,1965,2956.0
Afghanistan,1966,2737.0
Afghanistan,1967,2971.0
Afghanistan,1968,2918.0
Afghanistan,1969,2935.0
Afghanistan,1970,2534.0
Afghanistan,1971,2512.0
Afghanistan,1972,2658.0
Afghanistan,1973,2721.0
Afghanistan,1974,2713.0
Afghanistan,1975,2752.0
Afghanistan,1976,2824.0
Afghanistan,1977,2489.0
Afghanistan,1978,2621.0
Afghanistan,1979,2621.0
Afghanistan,1980,2478.0
Afghanistan,1981,2484.0
Afghanistan,1982,2480.0
Afghanistan,1983,2524.0
Afghanistan,1984,2452.0
Afghanistan,1985,2403.0
Afghanistan,1986,2397.0
Afghanistan,1987,2727.0
Afghanistan,1988,2518.0
Afghanistan,1989,2462.0
Afghanistan,1990,2314.0
Afghanistan,1991,2044.0
Afghanistan,1992,1891.0
Afghanistan,1993,1910.0
Afghanistan,1994,1820.0
Afghanistan,1995,1844.0
Afghanistan,1996,1843.0
Afghanistan,1997,1874.0
Afghanistan,1998,1903.0
Afghanistan,1999,1852.0
Afghanistan,2000,1790.0
Afghanistan,2001,1737.0
Afghanistan,2002,1826.0
Afghanistan,2003,1892.0
Afghanistan,2004,1967.0
Afghanistan,2005,1948.0
Afghanistan,2006,1966.0
Afghanistan,2007,2046.0
Afghanistan,2008,2041.0
Afghanistan,2009,2081.0
Afghanistan,2010,2104.0
Afghanistan,2011,2107.0
Afghanistan,2012,2100.0
Afghanistan,2013,2090.0
Afghanistan,2014,2095.0
Afghanistan,2015,2044.0
Afghanistan,2016,2034.0
Afghanistan,2017,2051.0
Afghanistan,2018,2040.0
Africa,1961,1625.561024
Africa,1962,1647.109584
Africa,1963,1652.972022
Africa,1964,1660.302233
Africa,1965,1672.809524
Africa,1966,1646.015552
Africa,1967,1670.148614
Africa,1968,1684.458896
Africa,1969,1708.71049
Africa,1970,1719.313423
Africa,1971,1707.073184
Africa,1972,1679.992408
Africa,1973,1709.477023
Africa,1974,1745.220632
Africa,1975,1758.452029
Africa,1976,1754.620104
Africa,1977,1761.856013
Africa,1978,1778.036668
Africa,1979,1789.632041
Africa,1980,1812.564582
Africa,1981,1829.600637
Africa,1982,1838.356978
Africa,1983,1801.590294
Africa,1984,1804.566244
Africa,1985,1844.310655
Africa,1986,1869.016956
Africa,1987,1864.402991
Africa,1988,1874.079169
Africa,1989,1886.979174
Africa,1990,1898.440059
Africa,1991,1920.316951
Africa,1992,1919.836929
Africa,1993,2049.181413
Africa,1994,2060.684454
Africa,1995,2078.070316
Africa,1996,2091.697568
Africa,1997,2104.426904
Africa,1998,2122.656621
Africa,1999,2131.160999
Africa,2000,2127.340613
Africa,2001,2146.447749
Africa,2002,2157.776089
Africa,2003,2162.763504
Africa,2004,2173.080101
Africa,2005,2200.133588
Africa,2006,2215.899624
Africa,2007,2217.645276
Africa,2008,2231.614655
Africa,2009,2237.615222
Africa,2010,2255.07417
Africa,2011,2271.774968
Africa,2012,2350.715288
Africa,2013,2356.455876
Africa,2014,2349.382296
Africa,2015,2335.300222
Africa,2016,2329.1082
Africa,2017,2325.024196
Africa,2018,2331.20419
Albania,1961,2223.0
Albania,1962,2242.0
Albania,1963,2156.0
Albania,1964,2270.0
Albania,1965,2254.0
Albania,1966,2254.0
Albania,1967,2262.0
Albania,1968,2343.0
Albania,1969,2404.0
Albania,1970,2415.0
Albania,1971,2360.0
Albania,1972,2388.0
Albania,1973,2432.0
Albania,1974,2494.0
Albania,1975,2494.0
Albania,1976,2680.0
Albania,1977,2776.0
Albania,1978,2689.0
Albania,1979,2607.0
Albania,1980,2596.0
Albania,1981,2676.0
Albania,1982,2664.0
Albania,1983,2798.0
Albania,1984,2721.0
Albania,1985,2565.0
Albania,1986,2690.0
Albania,1987,2497.0
Albania,1988,2594.0
Albania,1989,2569.0
Albania,1990,2568.0
Albania,1991,2572.0
Albania,1992,2654.0
Albania,1993,2795.0
Albania,1994,2877.0
