Entity,Year,democracy_satisf_claassen,democracy_satisf_high_claassen,democracy_satisf_low_claassen
Albania,1991,-.52356964,.17881986,-1.3333865
Albania,1992,-.51996386,.17618081,-1.2940232
Albania,1993,-.51403838,.1927516,-1.3007584
Albania,1994,-.43591183,.26572102,-1.1733019
Albania,1995,.10389943,.81344235,-.58946383
Albania,1996,.45588267,1.210565,-.22658674
Albania,1997,.28650671,1.1150244,-.48616946
Albania,1998,.12155893,.96011353,-.68656892
Albania,1999,-.046974063,.78582233,-.84648138
Albania,2000,-.21106273,.56482232,-1.022352
Albania,2001,-.37776715,.34525871,-1.1489302
Albania,2002,-.54483908,.06601771,-1.2108419
Albania,2003,-.61612862,.055706173,-1.3630702
Albania,2004,-.69256055,.017188957,-1.5225093
Albania,2005,-.76864576,-.096883699,-1.5520045
Albania,2006,-.854029,-.11661766,-1.7463957
Albania,2007,-.93887651,-.18402724,-1.814659
Albania,2008,-1.0239632,-.27697533,-1.8986317
Albania,2009,-.99929512,-.19327869,-1.9668978
Albania,2010,-.9752478,-.15469708,-1.9564172
Albania,2011,-.94850612,-.10884921,-1.9181806
Albania,2012,-.92354953,-.11968177,-1.8865027
Albania,2013,-.93462265,-.058434136,-1.9260885
Albania,2014,-.94341749,-.034474451,-1.9701788
Albania,2015,-.95293421,-.02338429,-1.965431
Albania,2016,-.96583706,-.064972818,-1.9809093
Albania,2017,-.97704512,-.10664727,-1.9566952
Albania,2018,-.98647213,-.18940939,-1.8994907
Albania,2019,-.91478771,-.088129774,-1.8830247
Albania,2020,-.84365344,5.4109532e-06,-1.7773449
Algeria,2002,-.14141952,.5009039,-.8127439
Algeria,2003,-.081621803,.72899085,-.90204531
Algeria,2004,-.027604008,.89700687,-.93399358
Algeria,2005,.027869528,1.0115068,-.94239783
Algeria,2006,.082049578,1.1236643,-.9152413
Algeria,2007,.13885163,1.168705,-.87859637
Algeria,2008,.19921942,1.2474061,-.84749079
Algeria,2009,.2571995,1.2867318,-.77069628
Algeria,2010,.31314135,1.3516551,-.69081455
Algeria,2011,.36944506,1.4050477,-.62718892
Algeria,2012,.42459366,1.4192981,-.53191358
Algeria,2013,.48067155,1.4353122,-.37722915
Algeria,2014,.33461988,1.2950388,-.54654437
Algeria,2015,.18322915,1.1529292,-.70354801
Algeria,2016,.1802533,1.2133458,-.87104249
Algeria,2017,.1786702,1.341288,-.97896367
Algeria,2018,.17813303,1.4395435,-1.0710853
Algeria,2019,.17876707,1.5913013,-1.2236032
Algeria,2020,.17878641,1.6596662,-1.279871
Argentina,1995,.24451107,.8332113,-.28700012
Argentina,1996,.026479252,.56411844,-.49025372
Argentina,1997,.10266542,.6400342,-.41413784
Argentina,1998,.1901259,.72826982,-.28746116
Argentina,1999,.014052866,.52694333,-.49721065
Argentina,2000,-.089555196,.43178934,-.6118769
Argentina,2001,-.62459493,-.10861637,-1.2427456
Argentina,2002,-.90924382,-.36751521,-1.575128
Argentina,2003,-.46419409,.086329304,-1.0388427
Argentina,2004,-.27062666,.24292389,-.84150404
Argentina,2005,-.14596774,.37439212,-.69459301
Argentina,2006,.085644647,.62965661,-.43870965
Argentina,2007,-.077447981,.43244579,-.58281308
Argentina,2008,-.056046929,.43139941,-.53587908
