Entity,Year,Cereals and Grains (FAO (2017)) (kilocalories per person per day),Pulses (FAO (2017)) (kilocalories per person per day),Starchy Roots (FAO (2017)) (kilocalories per person per day),Sugar (FAO (2017)) (kilocalories per person per day),Oils & Fats (FAO (2017)) (kilocalories per person per day),Meat (FAO (2017)) (kilocalories per person per day),Dairy & Eggs (FAO (2017)) (kilocalories per person per day),Fruit and Vegetables (FAO (2017)) (kilocalories per person per day),Other (FAO (2017)) (kilocalories per person per day),Alcoholic Beverages (FAO (2017)) (kilocalories per person per day)
Afghanistan,1961,2530,16,25,51,92,88,102,82,13,0
Afghanistan,1962,2458,17,22,45,98,88,101,76,12,0
Afghanistan,1963,2212,17,23,47,106,91,110,79,13,0
Afghanistan,1964,2445,18,24,55,102,93,110,95,11,0
Afghanistan,1965,2431,18,24,57,105,95,118,95,13,0
Afghanistan,1966,2199,19,24,59,104,107,119,89,17,0
Afghanistan,1967,2396,24,26,62,108,110,127,103,15,0
Afghanistan,1968,2337,19,26,63,106,118,129,106,14,0
Afghanistan,1969,2370,20,26,51,105,114,128,106,15,0
Afghanistan,1970,1995,20,23,67,105,105,108,95,16,0
Afghanistan,1971,2028,20,27,56,90,102,96,77,16,0
Afghanistan,1972,2187,20,24,52,90,89,96,85,15,0
Afghanistan,1973,2220,21,25,51,105,94,104,90,11,0
Afghanistan,1974,2196,21,27,52,117,95,106,86,13,0
Afghanistan,1975,2226,21,28,53,127,97,106,86,8,0
Afghanistan,1976,2256,22,52,56,132,108,107,80,11,0
Afghanistan,1977,1989,22,28,58,119,110,96,53,14,0
Afghanistan,1978,2102,22,35,61,112,111,96,65,17,0
Afghanistan,1979,2087,22,36,69,130,111,98,59,9,0
Afghanistan,1980,1920,24,37,72,133,113,101,66,12,0
Afghanistan,1981,1917,19,39,59,156,118,106,56,14,0
Afghanistan,1982,1872,19,40,71,173,122,109,58,16,0
Afghanistan,1983,1888,19,41,89,178,121,119,57,12,0
Afghanistan,1984,1816,19,41,84,178,119,118,62,15,0
Afghanistan,1985,1794,19,40,70,193,112,100,62,13,0
Afghanistan,1986,1792,20,40,72,223,109,70,59,12,0
Afghanistan,1987,2175,21,36,73,153,116,80,61,12,0
Afghanistan,1988,1925,24,37,74,169,120,84,71,14,0
Afghanistan,1989,1827,21,34,51,242,123,85,66,13,0
Afghanistan,1990,1689,19,36,35,206,129,113,75,12,0
Afghanistan,1991,1475,20,33,34,157,120,111,80,14,0
Afghanistan,1992,1356,20,31,38,156,107,104,67,12,0
Afghanistan,1993,1438,22,28,32,106,102,107,64,11,0
Afghanistan,1994,1359,24,26,29,96,100,117,61,8,0
Afghanistan,1995,1309,17,25,30,175,98,121,60,9,0
Afghanistan,1996,1321,16,24,25,154,102,132,58,11,0
Afghanistan,1997,1388,14,23,28,104,109,140,57,11,0
Afghanistan,1998,1400,16,23,29,108,115,144,57,11,0
Afghanistan,1999,1320,12,22,31,130,110,159,55,13,0
Afghanistan,2000,1334,10,22,31,112,93,125,54,9,0
Afghanistan,2001,1345,17,21,30,96,79,82,62,5,0
Afghanistan,2002,1396,10,20,34,95,78,131,54,8,0
Afghanistan,2003,1451,9,31,42,105,73,119,52,10,0
Afghanistan,2004,1490,7,24,54,140,77,117,48,10,0
Afghanistan,2005,1426,14,24,65,166,77,110,56,10,0
Afghanistan,2006,1497,14,24,70,134,63,102,54,8,0
Afghanistan,2007,1570,15,20,75,140,61,107,52,6,0
Afghanistan,2008,1576,19,18,83,116,68,102,47,12,0
Afghanistan,2009,1598,28,19,84,124,68,102,52,6,0
Afghanistan,2010,1592,22,14,87,149,72,100,56,12,0
Afghanistan,2011,1597,27,12,85,143,73,99,56,15,0
Afghanistan,2012,1573,20,14,87,147,69,104,69,17,0
Afghanistan,2013,1560,23,15,87,149,68,105,68,15,0
Albania,1961,1460,28,11,110,181,91,187,132,9,14
