storenum,OPENDATE,date_super,conversion,st,county,STREETADDR,STRCITY,STRSTATE,ZIPCODE,type_store,LAT,LON,MONTH,DAY,YEAR
1,7/1/62,3/1/97,1,5,7,2110 WEST WALNUT,Rogers,AR,72756,Supercenter,36.342235,-94.07141,7,1,1962
2,8/1/64,3/1/96,1,5,9,1417 HWY 62/65 N,Harrison,AR,72601,Supercenter,36.236984,-93.09345,8,1,1964
4,8/1/65,3/1/02,1,5,7,2901 HWY 412 EAST,Siloam Springs,AR,72761,Supercenter,36.179905,-94.50208,8,1,1965
8,10/1/67,3/1/93,1,5,29,1621 NORTH BUSINESS 9,Morrilton,AR,72110,Supercenter,35.156491,-92.75858,10,1,1967
7,10/1/67,,,5,119,3801 CAMP ROBINSON RD.,North Little Rock,AR,72118,Wal-Mart,34.813269,-92.30229,10,1,1967
10,7/1/68,3/1/98,1,40,21,2020 SOUTH MUSKOGEE,Tahlequah,OK,74464,Supercenter,35.923658,-94.97185,7,1,1968
13,11/1/68,3/1/96,1,29,97,2705 GRAND AVE,Carthage,MO,64836,Supercenter,37.168985,-94.31164,11,1,1968
12,7/1/68,3/1/94,1,40,131,1500 LYNN RIGGS BLVD,Claremore,OK,74017,Supercenter,36.327143,-95.61192,7,1,1968
11,3/1/68,2/20/02,1,5,5,65 WAL-MART DRIVE,Mountain Home,AR,72653,Supercenter,36.329026,-92.35781,3,1,1968
9,3/1/68,3/1/00,1,29,143,1303 SOUTH MAIN,Sikeston,MO,63801,Supercenter,36.891163,-89.58355,3,1,1968
15,5/1/69,3/1/95,1,29,91,1310 PREACHER RD/HGWY 160,West Plains,MO,65775,Supercenter,36.719145,-91.87408,5,1,1969
17,5/1/69,3/1/93,1,29,145,3200 LUSK DRIVE,Neosho,MO,64850,Supercenter,36.86429,-94.39016,5,1,1969
16,4/1/69,3/1/00,1,5,33,2214 FAYETTEVILLE RD,Van Buren,AR,72956,Supercenter,35.456536,-94.34581,4,1,1969
18,11/1/69,,,5,67,2500 MALCOLM ST/HWY 67 NORTH,Newport,AR,72112,Wal-Mart,35.586065,-91.24695,11,1,1969
14,4/1/69,3/1/99,1,29,105,1800 S JEFFERSON,Lebanon,MO,65536,Supercenter,37.678528,-92.64733,4,1,1969
20,10/1/70,3/1/99,1,29,83,1712 EAST OHIO,Clinton,MO,64735,Supercenter,38.364214,-93.76042,10,1,1970
22,10/1/70,5/18/05,1,40,97,4901 SO. MILL ROAD,Pryor,OK,74361,Supercenter,36.294174,-95.30295,10,1,1970
21,3/1/70,8/22/01,1,29,169,185 ST ROBERT BLVD,St. Robert,MO,65584,Supercenter,37.827415,-92.135741,3,1,1970
23,11/1/70,3/1/94,1,22,61,1201 N SERVICE ROAD EAST,Ruston,LA,71270,Supercenter,32.52476,-92.64696,11,1,1970
26,11/1/70,,,20,103,3450 S. 4TH TRAFFICWAY,Leavenworth,KS,66048,Wal-Mart,39.298776,-94.93555,11,1,1970
30,11/1/71,5/18/05,1,29,207,2025 BUS. HWY 60 WEST,Dexter,MO,63841,Supercenter,36.784453,-89.97428,11,1,1971
27,2/1/71,3/1/99,1,29,65,1101 HWY 32 WEST,Salem,MO,65560,Supercenter,37.630896,-91.51423,2,1,1971
33,6/1/71,9/17/03,1,5,61,1710 SO. 4TH ST,Nashville,AR,71852,Supercenter,33.985613,-93.85214,6,1,1971
32,6/1/71,,,29,213,2050 WEST HWY 76,Branson,MO,65616,Wal-Mart,36.64417,-93.25668,6,1,1971
29,8/1/71,3/1/89,1,29,51,724 STADIUM WEST BLVD,Jefferson City,MO,65109,Supercenter,38.568287,-92.25329,8,1,1971
31,6/1/71,3/1/95,1,40,79,3108 N BROADWAY,Poteau,OK,74953,Supercenter,35.052793,-94.61829,6,1,1971
24,4/1/71,3/1/99,1,5,119,2000 JOHN HARDEN DR,Jacksonville,AR,72076,Supercenter,34.879419,-92.12244,4,1,1971
25,2/1/71,5/18/05,1,29,7,4820 SO. CLARK ST,Mexico,MO,65265,Supercenter,39.179316,-91.88404,2,1,1971
34,11/1/71,5/21/03,1,29,217,2250 LINCOLN AVENUE,Nevada,MO,64772,Supercenter,37.838563,-94.35075,11,1,1971
35,10/1/71,3/17/04,1,20,161,101 EAST BLUEMONT AVENUE,Manhattan,KS,66502,Supercenter,39.184986,-96.56932,10,1,1971
36,11/1/71,3/1/96,1,5,55,2802 WEST KINGS HIGHWAY,Paragould,AR,72450,Supercenter,36.065711,-90.5102,11,1,1971
37,9/1/71,3/1/89,1,29,187,701 WALTON DRIVE,Farmington,MO,63640,Supercenter,37.779206,-90.41404,9,1,1971
38,12/9/71,3/17/04,1,40,89,1907 SE WASHINGTON ST.,Idabel,OK,74745,Supercenter,33.883578,-94.83154,12,9,1971
40,11/1/71,3/1/95,1,29,175,1301 HWY 24 EAST,Moberly,MO,65270,Supercenter,39.420353,-92.4344,11,1,1971
28,5/1/71,3/1/02,1,40,115,2415 N.W. MAIN ST,Miami,OK,74354,Supercenter,36.880746,-94.87142,5,1,1971
39,3/1/72,,,20,11,2400 SOUTH MAIN,Fort Scott,KS,66701,Wal-Mart,37.823295,-94.73389,3,1,1972
62,11/1/72,3/1/99,1,5,93,3700 EAST HWY 18,Blytheville,AR,72315,Supercenter,35.925991,-89.91767,11,1,1972
43,5/1/72,3/1/00,1,20,61,521 EAST CHESTNUT ST,Junction City,KS,66441,Supercenter,39.01585,-96.83653,5,1,1972
44,2/1/72,,,29,131,1802 SOUTH BUSINESS HWY 54,Eldon,MO,65026,Wal-Mart,38.311355,-92.58395,2,1,1972
45,8/1/72,3/1/94,1,5,31,1815 EAST HIGHLAND DRIVE,Jonesboro,AR,72401,Supercenter,35.844795,-90.68443,8,1,1972
5,5/1/72,3/1/94,1,5,45,1155 HWY 65 NORTH,Conway,AR,72032,Supercenter,35.075467,-92.43401,5,1,1972
46,8/1/72,3/1/99,1,29,167,2451 S. SPRINGFIELD,Bolivar,MO,65613,Supercenter,37.616822,-93.40072,8,1,1972
55,10/1/72,,,5,83,1555 EAST MAIN,Booneville,AR,72927,Wal-Mart,35.105966,-93.97531,10,1,1972
61,11/1/72,3/1/93,1,29,101,301 E. COOPER AVENUE,Warrensburg,MO,64093,Supercenter,38.772117,-93.73519,11,1,1972
47,7/1/72,3/14/01,1,40,135,1101 WEST RUTH AVE,Sallisaw,OK,74955,Supercenter,35.467031,-94.78647,7,1,1972
48,11/1/72,3/1/99,1,29,9,885 HIGHWAY 60,Monett,MO,65708,Supercenter,36.91816,-93.91488,11,1,1972
49,10/1/72,3/1/02,1,40,23,1911 E.JACKSON ST.,Hugo,OK,74743,Supercenter,34.010943,-95.51651,10,1,1972
59,5/1/72,3/1/96,1,29,97,1501 SOUTH RANGELINE ROAD,Joplin,MO,64804,Supercenter,37.047161,-94.51124,5,1,1972
57,10/1/72,,,5,75,1600 WEST MAIN,Walnut Ridge,AR,72476,Wal-Mart,36.068015,-90.94429,10,1,1972
52,7/1/72,3/1/00,1,5,51,1601 ALBERT PIKE BLV,Hot Springs,AR,71913,Supercenter,34.47056,-93.08805,7,1,1972
54,6/1/72,3/1/92,1,5,143,2004 SOUTH PLEASANT,Springdale,AR,72764,Supercenter,36.182407,-94.1082,6,1,1972
41,5/1/72,3/1/94,1,40,147,4000 GREEN COUNTRY RD,Bartlesville,OK,74006,Supercenter,36.733398,-95.92404,5,1,1972
74,11/1/73,,,5,93,1051 WEST KEISER AVENUE,Osceola,AR,72370,Wal-Mart,35.696385,-90.02631,11,1,1973
42,2/1/73,,,20,125,1705 WEST 11TH STREET,Coffeyville,KS,67337,Wal-Mart,37.041838,-95.61814,2,1,1973
50,9/1/73,1/22/03,1,40,35,268 SO. 7TH ST.,Vinita,OK,74301,Supercenter,36.631673,-95.17303,9,1,1973
51,5/1/73,3/1/98,1,29,27,1701 NORTH BLUFF STREET,Fulton,MO,65251,Supercenter,38.852436,-91.95808,5,1,1973
56,8/1/73,3/17/04,1,29,67,1309 NW 12TH AVE,Ava,MO,65608,Supercenter,36.921199,-92.66205,8,1,1973
58,5/1/73,10/26/05,1,5,115,2409 EAST MAIN STREET,Russellville,AR,72802,Supercenter,35.308848,-93.10909,5,1,1973
63,9/1/73,3/1/88,1,40,145,410 SOUTH DEWEY,Wagoner,OK,74467,Supercenter,35.961019,-95.3611,9,1,1973
64,2/1/73,,,47,75,100 SOUTH DUPREE,Brownsville,TN,38012,Wal-Mart,35.590558,-89.2609,2,1,1973
65,7/3/73,3/1/94,1,29,71,350 PARKRIDGE ROAD,Sullivan,MO,63080,Supercenter,38.200244,-91.14089,7,3,1973
