fips,unemp
01001,5.3
01003,5.4
01005,8.6
01007,6.6
01009,5.5
01011,7.2
01013,7.1
01015,6.7
01017,5.5
01019,5.2
01021,5.6
01023,8.9
01025,11.1
01027,6.2
01029,6.1
01031,6.1
01033,7.0
01035,8.6
01037,6.1
01039,7.0
01041,6.0
01043,5.1
01045,5.9
01047,9.4
01049,6.2
01051,4.9
01053,6.7
01055,6.0
01057,7.0
01059,6.1
01061,5.9
01063,10.1
01065,7.8
01067,6.6
01069,5.9
01071,6.4
01073,5.9
01075,5.7
01077,6.4
01079,7.0
01081,5.3
01083,5.3
01085,10.8
01087,7.7
01089,5.2
01091,7.4
01093,6.7
01095,5.5
01097,6.9
01099,9.4
01101,5.9
01103,5.6
01105,10.6
01107,6.9
01109,6.4
01111,5.7
01113,5.6
01115,5.3
01117,4.4
01119,7.8
01121,6.8
01123,5.6
01125,5.8
01127,7.6
01129,8.7
01131,14.7
01133,7.3
02013,2.7
02016,3.3
02020,5.3
02050,14.1
02060,6.9
02068,8.6
02070,9.7
02090,5.7
02100,9.8
02105,11.5
02110,4.4
02122,8.2
02130,6.2
02150,5.0
02158,21.3
02164,12.3
02170,8.1
02180,12.5
02185,6.5
02188,15.7
02195,8.6
02198,11.7
02220,4.3
02230,10.6
02240,10.2
02261,8.2
02275,7.3
02282,8.1
02290,17.2
04001,11.3
04003,6.1
04005,5.9
04007,7.2
04009,6.7
04011,7.6
04012,6.0
04013,4.5
04015,6.6
04017,8.1
04019,4.9
04021,5.5
04023,9.9
04025,4.9
04027,18.6
05001,3.5
05003,6.3
05005,4.3
05007,2.9
05009,3.7
05011,5.2
05013,4.7
05015,3.6
05017,6.6
05019,4.5
05021,5.7
05023,6.0
05025,4.6
05027,5.8
05029,5.8
05031,3.3
05033,3.9
05035,4.6
05037,4.5
05039,5.0
05041,5.5
05043,5.8
05045,3.8
05047,4.1
05049,4.4
05051,4.3
05053,3.6
05055,4.3
05057,3.8
05059,4.0
05061,3.3
05063,5.0
05065,5.6
05067,6.2
05069,5.6
05071,4.8
05073,5.9
05075,4.4
05077,4.8
