API_WellNo,Cnty,Hole,SideTrck,Completion,Well_Name,Company_name,Operator_number,Well_Type,Map_Symbol,Well_Status,Date_Status,Date_Permit_Application,Permit_Issued,Date_Spudded,Date_Total_Depth,Date_Well_Completed,Date_well_plugged,Date_well_confidential,confid,town,quad,quadsec,Producing_name,Producing_formation,Financial_security,Slant,County,Region,State_lease,Proposed_depth,Surface_location,Surface_Longitude,Surface_latitude,Bottom_hole_location,Bottom_hole_longitude,Bottom_hole_latitude,True_vertical_depth,Measured_depth,Kickoff,DrilledDepth,Elevation,Original_well_type,Permit_Fee,Objective_formation,Depth_Fee,Spacing,Spacing_Acres,Integration,Dt_Hearing,Dt_Mod,LINK
31000171670000,0,17167,0,0,L. Harrington #1-A     ,"Envirogas, Inc.",412,NL,O,VP,,,,,,,,,Released,Chautauqua,Westfield,I,Not Applicable,Not Applicable,False,Vertical,Chautauqua,,NA,,SURF,,,BH,,,0,0,0,0,,NL,0,Not Applicable,-100,,,,,2015-10-08 10:25:58.257000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31000171670000
31000321820000,0,32182,0,0,unknown     ,Unknown,9998,NL,O,VP,,,,,,,,,Released,UNK,,,Not Applicable,Not Applicable,False,Vertical,Statewide,,NA,,SURF,,,BH,,,0,0,0,0,,NL,0,Not Applicable,-100,,,,,2012-11-27 10:11:56.703000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31000321820000
31000664470000,0,66447,0,0,Enos Miller 1     ,Fault Line Oil Corporation,1070,NL,O,VP,,,,,,,,,No,Arcade,Arcade,,Not Applicable,Not Applicable,False,Vertical,Wyoming,,NA,,SURF,,,BH,,,0,0,0,0,,NL,0,Not Applicable,-100,,,,,2015-10-08 10:42:08.697000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31000664470000
31001010720000,1,1072,0,0,Finch 1,Carona Typewriter,9372,NL,O,UN,,,,,,,,,,Knox,Durham,C,Not Applicable,Not Applicable,False,Vertical,Albany,4,NA,,SURF,-74.126810000000006,42.490290000000002,BH,-74.126810000000006,42.490290000000002,2200,2200,0,2200,1155 ,NL,0,Not Applicable,-100,,,,,2017-05-12 13:16:16,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001010720000
31001010730000,1,1073,0,0,Hilton James 1,Belmont Quadrangle Drilling,9034,NL,O,IN,,,,,,,,,No,New Scotland,Voorheesville,I,Not Applicable,Not Applicable,False,Vertical,Albany,4,NA,0,SURF,-73.907679999999999,42.644799999999996,BH,-73.907679999999999,42.644799999999996,0,0,0,0,0    ,NL,0,Not Applicable,-100,Exempt from Title 5; variance needed from 6 NYCRR 533.1(a),,,,2014-12-02 13:57:17.917000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001010730000
31001210070000,1,21007,0,0,1     ,"Turf Western Ave., Inc.",1903,TH,OP,PA,2016-04-06 00:00:00,1998-04-24 00:00:00,1998-07-16 00:00:00,1994-09-07 00:00:00,1994-09-13 00:00:00,1994-10-27 00:00:00,2016-04-06 00:00:00,,Released,Guilderland,Albany,,Not Applicable,NA - Geoexchange,True,Vertical,Albany,4,NA,1500,SURF,-73.835880000000003,42.679310000000001,BH,-73.835880000000003,42.679310000000001,1500,1500,0,1500,203  ,TH,475,NA - Geoexchange,375,,,,,2016-05-17 16:09:01.390000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210070000
31001210080000,1,21008,0,0,2     ,"Turf Western Ave., Inc.",1903,TH,OP,PA,2016-04-06 00:00:00,1998-04-04 00:00:00,1998-07-16 00:00:00,1994-09-14 00:00:00,1994-09-21 00:00:00,1994-11-01 00:00:00,2016-04-06 00:00:00,,Released,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.835989999999995,42.679200000000002,BH,-73.835989999999995,42.679200000000002,1500,1500,0,1500,204  ,TH,475,NA - Geoexchange,375,,,,,2016-05-17 16:09:10.977000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210080000
31001210090000,1,21009,0,0,3     ,"Turf Western Ave., Inc.",1903,TH,OP,PA,2016-05-06 00:00:00,1998-04-24 00:00:00,1998-07-16 00:00:00,1994-09-21 00:00:00,1994-09-28 00:00:00,1994-11-04 00:00:00,2016-05-06 00:00:00,,Released,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.836250000000007,42.679250000000003,BH,-73.836250000000007,42.679250000000003,1420,1420,0,1420,204  ,TH,475,NA - Geoexchange,375,,,,,2016-05-17 16:09:19.393000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210090000
31001210100000,1,21010,0,0,4     ,"Turf Western Ave., Inc.",1903,TH,OP,PA,2016-04-07 00:00:00,1998-04-24 00:00:00,1998-07-16 00:00:00,1994-09-29 00:00:00,1994-10-04 00:00:00,1994-11-09 00:00:00,2016-04-07 00:00:00,,Released,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.836380000000005,42.679310000000001,BH,-73.836380000000005,42.679310000000001,1500,1500,0,1500,204  ,TH,475,NA - Geoexchange,375,,,,,2016-05-17 16:09:29.090000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210100000
31001210110000,1,21011,0,0,5     ,"Turf Western Ave., Inc.",1903,TH,OP,PA,2016-04-08 00:00:00,1998-04-24 00:00:00,1998-07-16 00:00:00,1994-10-04 00:00:00,1994-10-11 00:00:00,1994-11-14 00:00:00,2016-04-08 00:00:00,,Released,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.836510000000004,42.679380000000002,BH,-73.836510000000004,42.679380000000002,1500,1500,0,1500,204  ,TH,475,NA - Geoexchange,375,,,,,2016-05-17 16:09:37.633000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210110000
31001210140000,1,21014,0,0,Bldg. 300-1     ,Rosenblum Development Corp.,1913,TH,O,IN,1998-12-23 00:00:00,1998-04-24 00:00:00,,1993-10-05 00:00:00,1993-10-11 00:00:00,1993-12-07 00:00:00,,,No,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.846540000000005,42.680630000000001,BH,-73.846540000000005,42.680630000000001,1500,1500,0,1500,239  ,NL,475,NA - Geoexchange,375,,,,,2005-09-15 13:22:09.863000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210140000
31001210150000,1,21015,0,0,Bldg. 300-2     ,Rosenblum Development Corp.,1913,TH,O,IN,1998-12-23 00:00:00,1998-04-24 00:00:00,,1993-10-11 00:00:00,1993-10-14 00:00:00,1993-12-10 00:00:00,,,No,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.846689999999995,42.68047,BH,-73.846689999999995,42.68047,1500,1500,0,1500,239  ,NL,475,NA - Geoexchange,375,,,,,2014-03-05 13:46:11,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210150000
31001210160000,1,21016,0,0,Bldg. 300-3     ,Rosenblum Development Corp.,1913,TH,O,IN,1998-12-23 00:00:00,1998-04-24 00:00:00,,1993-10-15 00:00:00,1993-10-20 00:00:00,1993-12-14 00:00:00,,,No,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.846829999999997,42.680320000000002,BH,-73.846829999999997,42.680320000000002,1500,1500,0,1500,239  ,NL,475,NA - Geoexchange,375,,,,,2016-04-01 14:52:56.580000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210160000
31001210170000,1,21017,0,0,Bldg. 300-4     ,Rosenblum Development Corp.,1913,TH,O,IN,1998-12-23 00:00:00,1998-04-24 00:00:00,,1993-10-21 00:00:00,1993-11-01 00:00:00,1993-12-17 00:00:00,,,No,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.846990000000005,42.680160000000001,BH,-73.846990000000005,42.680160000000001,1500,1500,0,1500,239  ,NL,475,NA - Geoexchange,375,,,,,2004-03-08 08:50:13.060000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210170000
31001210180000,1,21018,0,0,Bldg. 300-5     ,Rosenblum Development Corp.,1913,TH,O,IN,1998-12-23 00:00:00,1998-04-24 00:00:00,,1993-11-01 00:00:00,1993-11-08 00:00:00,1993-12-21 00:00:00,,,No,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.847170000000006,42.680219999999998,BH,-73.847170000000006,42.680219999999998,1500,1500,0,1500,239  ,NL,475,NA - Geoexchange,375,,,,,2004-03-08 08:50:40.297000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210180000
31001210190000,1,21019,0,0,Bldg. 200-1     ,Rosenblum Development Corp.,1913,TH,O,IN,1998-12-23 00:00:00,1998-04-24 00:00:00,,1994-07-26 00:00:00,1994-08-02 00:00:00,1994-09-07 00:00:00,,,No,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.848489999999998,42.680929999999996,BH,-73.848489999999998,42.680929999999996,1500,1500,0,1500,242  ,NL,475,NA - Geoexchange,375,,,,,2004-03-08 08:51:07.483000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210190000
31001210200000,1,21020,0,0,Bldg. 200-2     ,Rosenblum Development Corp.,1913,TH,O,IN,1998-12-23 00:00:00,1998-04-24 00:00:00,,1994-08-03 00:00:00,1994-08-06 00:00:00,1994-09-12 00:00:00,,,No,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.848699999999994,42.681040000000003,BH,-73.848699999999994,42.681040000000003,1500,1500,0,1500,242  ,NL,475,NA - Geoexchange,375,,,,,2007-12-21 16:45:24.700000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210200000
31001210210000,1,21021,0,0,Bldg. 200-3     ,Rosenblum Development Corp.,1913,TH,O,IN,1998-12-23 00:00:00,1998-04-24 00:00:00,,1994-08-18 00:00:00,1994-08-21 00:00:00,1994-09-23 00:00:00,,,No,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.848939999999999,42.681190000000001,BH,-73.848939999999999,42.681190000000001,1500,1500,0,1500,242  ,NL,475,NA - Geoexchange,375,,,,,2004-03-08 08:51:56.467000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210210000
31001210220000,1,21022,0,0,Bldg. 200-4     ,Rosenblum Development Corp.,1913,TH,O,IN,1998-12-23 00:00:00,1998-04-24 00:00:00,,1994-08-11 00:00:00,1994-08-17 00:00:00,1994-09-20 00:00:00,,,No,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.848780000000005,42.681350000000002,BH,-73.848780000000005,42.681350000000002,1500,1500,0,1500,242  ,NL,475,NA - Geoexchange,375,,,,,2004-03-08 08:52:18.920000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210220000
31001210230000,1,21023,0,0,Bldg. 200-5     ,Rosenblum Development Corp.,1913,TH,O,IN,1998-12-23 00:00:00,1998-04-24 00:00:00,,1994-08-18 00:00:00,1994-08-21 00:00:00,1994-09-23 00:00:00,,,No,Guilderland,Albany,,Not Applicable,Not Applicable,True,Vertical,Albany,4,NA,1500,SURF,-73.848619999999997,42.681519999999999,BH,-73.848619999999997,42.681519999999999,1500,1500,0,1500,242  ,NL,475,NA - Geoexchange,375,,,,,2004-03-08 08:52:48.250000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31001210230000
31003000050000,3,5,0,0,Hilligass SC-473,National Fuel Gas Supply Corp.,431,NL,OP,PA,,1978-06-13 00:00:00,1978-06-19 00:00:00,1979-02-14 00:00:00,1979-02-25 00:00:00,,1979-02-25 00:00:00,,No,Willing,Whitesville,D,Beech Hill-Independence,Not Applicable,False,Vertical,Allegany,9,NA,0,SURF,-77.862549999999999,42.042079999999999,BH,-77.862549999999999,42.042079999999999,4825,4825,0,4825,2160 ,NL,0,Oriskany,-100,,,,,2017-04-18 10:42:56,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000050000
31003000060000,3,6,0,0,Tait EC-479,National Fuel Gas Supply Corp.,431,ST,S,AC,2009-12-31 00:00:00,,1978-02-01 00:00:00,1978-02-28 00:00:00,1978-04-15 00:00:00,1980-08-29 00:00:00,,,No,Willing,Wellsville South,I,Beech Hill,Oriskany,False,Vertical,Allegany,9,NA,0,SURF,-77.877849999999995,42.038429999999998,BH,-77.877849999999995,42.038429999999998,5030,5030,0,5030,2246 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000060000
31003000070000,3,7,0,0,Norris EC-468,National Fuel Gas Supply Corp.,431,ST,S,AC,2009-12-31 00:00:00,1980-08-11 00:00:00,1980-08-18 00:00:00,1980-09-29 00:00:00,1980-10-24 00:00:00,1981-01-09 00:00:00,,,No,Willing,Whitesville,G,Beech Hill,Oriskany,True,Vertical,Allegany,9,NA,5025,SURF,-77.852040000000002,42.038849999999996,BH,-77.852040000000002,42.038849999999996,5036,5036,0,5036,2268 ,NL,0,Oriskany,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000070000
31003000080000,3,8,0,0,Voided Permit,,0,NL,O,VP,,,,,,,,,No,UNK,, ,Not Applicable,Not Applicable,False,Vertical,Statewide,9,NA,0,SURF,0,0,BH,0,0,0,0,0,0,0    ,NL,0,Not Applicable,-100,,,,,1999-03-12 00:00:00,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000080000
31003000090000,3,9,0,0,Wilson (NFGSC) EC-458     ,National Fuel Gas Supply Corp.,431,ST,S,AC,2009-12-31 00:00:00,,1977-05-01 00:00:00,1977-05-25 00:00:00,1977-06-11 00:00:00,1980-06-08 00:00:00,,,No,Willing,Whitesville,G,Beech Hill,Oriskany,True,Vertical,Allegany,9,NA,0,SURF,-77.840800000000002,42.048609999999996,BH,-77.840800000000002,42.048609999999996,4980,4980,0,4980,2231 ,NL,0,Not Applicable,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000090000
31003000100000,3,10,0,0,Stout (Clark) EC-463     ,National Fuel Gas Supply Corp.,431,ST,S,AC,2009-12-31 00:00:00,1977-05-05 00:00:00,1977-05-13 00:00:00,1977-05-25 00:00:00,1977-06-12 00:00:00,1980-08-08 00:00:00,,,No,Willing,Whitesville,D,Beech Hill,Oriskany,True,Vertical,Allegany,9,NA,4975,SURF,-77.84863,42.04504,BH,-77.84863,42.04504,4959,4959,0,4959,2217 ,NL,0,Oriskany,-100,,,,,2011-04-26 15:48:21.423000000,http://www.dec.ny.gov/cfmx/extapps/GasOil/search/wells/index.cfm?api=31003000100000
