10 Min Std Dev,Time,10 Min Sampled Avg
2.73,2001-06-11 11:00,22.3
1.98,2001-06-11 11:10,23
1.87,2001-06-11 11:20,23.3
2.03,2001-06-11 11:30,22
3.1,2001-06-11 11:40,20.5
2.3,2001-06-11 11:50,25.2
2.46,2001-06-11 12:00,24.8
1.87,2001-06-11 12:10,24
1.71,2001-06-11 12:20,22.9
1.76,2001-06-11 12:30,17.9
1.87,2001-06-11 12:40,20.3
1.66,2001-06-11 12:50,21.5
2.09,2001-06-11 13:00,21.3
1.6,2001-06-11 13:10,21.3
1.44,2001-06-11 13:20,21.3
3.69,2001-06-11 13:30,22.4
2.78,2001-06-11 13:40,25.4
2.14,2001-06-11 13:50,25.9
2.67,2001-06-11 14:00,25.5
2.57,2001-06-11 14:10,25.7
2.35,2001-06-11 14:20,23.9
2.67,2001-06-11 14:30,24.7
2.46,2001-06-11 14:40,26.3
2.73,2001-06-11 14:50,26.9
2.19,2001-06-11 15:00,29
3.32,2001-06-11 15:10,24.4
1.98,2001-06-11 15:20,21.4
2.46,2001-06-11 15:30,20
1.76,2001-06-11 15:40,18.3
1.82,2001-06-11 15:50,17.1
2.3,2001-06-11 16:00,17.6
1.98,2001-06-11 16:10,16.7
2.3,2001-06-11 16:20,11.4
2.62,2001-06-11 16:30,16.6
2.3,2001-06-11 16:40,16.1
2.09,2001-06-11 16:50,16
2.51,2001-06-11 17:00,17
2.19,2001-06-11 17:10,17.2
2.62,2001-06-11 17:20,17.1
2.94,2001-06-11 17:30,16.8
3.05,2001-06-11 17:40,16.6
2.62,2001-06-11 17:50,17.5
2.09,2001-06-11 18:00,17.1
2.03,2001-06-11 18:10,18.6
2.03,2001-06-11 18:20,18.4
2.73,2001-06-11 18:30,15
2.19,2001-06-11 18:40,16
2.14,2001-06-11 18:50,16.5
2.41,2001-06-11 19:00,18.7
2.62,2001-06-11 19:10,16.7
2.3,2001-06-11 19:20,14.7
2.09,2001-06-11 19:30,13.6
2.89,2001-06-11 19:40,16
2.73,2001-06-11 19:50,15.9
2.14,2001-06-11 20:00,16.2
2.46,2001-06-11 20:10,17.7
2.14,2001-06-11 20:20,16.2
1.87,2001-06-11 20:30,15.9
2.19,2001-06-11 20:40,15.4
2.35,2001-06-11 20:50,18.3
2.41,2001-06-11 21:00,18.1
2.62,2001-06-11 21:10,19.2
2.3,2001-06-11 21:20,17.5
1.92,2001-06-11 21:30,16
2.14,2001-06-11 21:40,14.9
1.98,2001-06-11 21:50,15.4
1.55,2001-06-11 22:00,14.7
1.87,2001-06-11 22:10,15.5
2.41,2001-06-11 22:20,17.4
2.41,2001-06-11 22:30,14.1
1.82,2001-06-11 22:40,14
2.25,2001-06-11 22:50,13
2.3,2001-06-11 23:00,14.7
1.98,2001-06-11 23:10,14.2
2.25,2001-06-11 23:20,15
2.19,2001-06-11 23:30,14.3
1.98,2001-06-11 23:40,14.7
2.09,2001-06-11 23:50,15.9
2.09,2001-06-12 00:00,17.7
2.03,2001-06-12 00:10,16.1
2.03,2001-06-12 00:20,15.3
1.76,2001-06-12 00:30,15.2
1.98,2001-06-12 00:40,14.7
2.14,2001-06-12 00:50,15.9
