duration,waiting,kind
3.6,79,long
1.8,54,short
3.333,74,long
2.283,62,short
4.533,85,long
2.883,55,short
4.7,88,long
3.6,85,long
1.95,51,short
4.35,85,long
1.8330000000000002,54,short
3.917,84,long
4.2,78,long
1.75,47,short
4.7,83,long
2.167,52,short
1.75,62,short
4.8,84,long
1.6,52,short
4.25,79,long
1.8,51,short
1.75,47,short
3.45,78,long
3.0669999999999997,69,long
4.533,74,long
3.6,83,long
1.9669999999999999,55,short
4.083,76,long
3.85,78,long
4.433,79,long
4.3,73,long
4.467,77,long
3.367,66,short
4.033,80,long
3.833,74,long
2.017,52,short
1.867,48,short
4.833,80,long
1.8330000000000002,59,short
4.783,90,long
4.35,80,long
1.883,58,short
4.567,84,long
1.75,58,short
4.533,73,long
3.3169999999999997,83,long
3.833,64,short
2.1,53,short
4.633,82,long
2.0,59,short
4.8,75,long
4.716,90,long
1.8330000000000002,54,short
4.833,80,long
1.733,54,short
4.883,83,long
3.717,71,long
1.6669999999999998,64,short
4.567,77,long
4.317,81,long
2.233,59,short
4.5,84,long
1.75,48,short
4.8,82,long
1.817,60,short
4.4,92,long
4.167,78,long
4.7,78,long
2.0669999999999997,65,short
4.7,73,long
4.033,82,long
1.9669999999999999,56,short
4.5,79,long
4.0,71,long
1.983,62,short
5.067,76,long
2.017,60,short
4.567,78,long
3.883,76,long
3.6,83,long
4.133,75,long
4.333,82,long
4.1,70,long
2.633,65,short
4.067,73,long
4.933,88,long
3.95,76,long
4.5169999999999995,80,long
2.167,48,short
4.0,86,long
2.2,60,short
4.333,90,long
1.867,50,short
4.817,78,long
1.8330000000000002,63,short
4.3,72,long
4.667,84,long
3.75,75,long
1.867,51,short
4.9,82,long
2.483,62,short
4.367,88,long
2.1,49,short
4.5,83,long
4.05,81,long
1.867,47,short
4.7,84,long
1.7830000000000001,52,short
4.85,86,long
3.6830000000000003,81,long
4.7330000000000005,75,long
2.3,59,short
4.9,89,long
4.417,79,long
1.7,59,short
4.633,81,long
2.3169999999999997,50,short
4.6,85,long
1.817,59,short
4.417,87,long
2.617,53,short
4.067,69,long
4.25,77,long
1.9669999999999999,56,short
4.6,88,long
3.767,81,long
1.9169999999999998,45,short
4.5,82,long
2.267,55,short
4.65,90,long
1.867,45,short
4.167,83,long
2.8,56,short
4.333,89,long
1.8330000000000002,46,short
4.383,82,long
1.883,51,short
4.933,86,long
2.033,53,short
3.733,79,long
4.2330000000000005,81,long
2.233,60,short
4.533,82,long
4.817,77,long
4.333,76,long
1.983,59,short
4.633,80,long
2.017,49,short
5.1,96,long
1.8,53,short
