method,number,orbital_period,mass,distance,year
Radial Velocity,1,269.3,7.1,77.4,2006
Radial Velocity,1,874.774,2.21,56.95,2008
Radial Velocity,1,763.0,2.6,19.84,2011
Radial Velocity,1,326.03,19.4,110.62,2007
Radial Velocity,1,516.22,10.5,119.47,2009
Radial Velocity,1,185.84,4.8,76.39,2008
Radial Velocity,1,1773.4,4.64,18.15,2002
Radial Velocity,1,798.5,,21.41,1996
Radial Velocity,1,993.3,10.3,73.1,2008
Radial Velocity,2,452.8,1.99,74.79,2010
Radial Velocity,2,883.0,0.86,74.79,2010
Radial Velocity,1,335.1,9.88,39.43,2009
Radial Velocity,1,479.1,3.88,97.28,2008
Radial Velocity,3,1078.0,2.53,14.08,1996
Radial Velocity,3,2391.0,0.54,14.08,2001
Radial Velocity,3,14002.0,1.64,14.08,2009
Radial Velocity,1,4.230785,0.472,15.36,1995
Radial Velocity,5,14.651,0.8,12.53,1996
Radial Velocity,5,44.38,0.165,12.53,2004
Radial Velocity,5,4909.0,3.53,12.53,2002
Radial Velocity,5,0.73654,,12.53,2011
Radial Velocity,5,261.2,0.172,12.53,2007
Radial Velocity,3,4.215,0.016,8.52,2009
Radial Velocity,3,38.021,0.057,8.52,2009
Radial Velocity,3,123.01,0.072,8.52,2009
Radial Velocity,1,116.6884,,18.11,1996
Radial Velocity,1,691.9,,81.5,2012
Radial Velocity,1,952.7,5.3,97.18,2008
Radial Velocity,1,181.4,3.2,45.52,2013
Imaging,1,,,45.52,2005
Imaging,1,,,165.0,2007
Imaging,1,,,140.0,2004
Eclipse Timing Variations,1,10220.0,6.05,,2009
Imaging,1,,,,2008
Imaging,1,,,145.0,2013
Imaging,1,,,139.0,2004
Imaging,1,,,18.39,2006
Eclipse Timing Variations,2,5767.0,,130.72,2008
Eclipse Timing Variations,2,3321.0,,130.72,2008
Eclipse Timing Variations,2,5573.55,,500.0,2010
Eclipse Timing Variations,2,2883.5,,500.0,2010
Eclipse Timing Variations,1,2900.0,,,2011
Eclipse Timing Variations,1,4343.5,4.2,,2012
Eclipse Timing Variations,2,5840.0,,,2011
Eclipse Timing Variations,2,1916.25,,,2011
Radial Velocity,1,380.8,1.8,20.21,2010
Radial Velocity,1,3.2357,0.0036,1.35,2012
Imaging,1,6000.0,,19.28,2008
Radial Velocity,1,2502.0,1.55,3.22,2000
Radial Velocity,1,417.9,,70.42,2012
Radial Velocity,1,594.9,7.6,47.53,2006
Radial Velocity,1,428.5,8.78,38.52,2009
Radial Velocity,1,903.3,1.85,13.79,2003
Radial Velocity,1,1251.0,,31.12,2007
Imaging,1,,,52.03,2012
Radial Velocity,1,136.75,2.8,62.66,2007
Radial Velocity,2,530.32,,46.84,2012
Radial Velocity,2,3186.0,,46.84,2012
Radial Velocity,1,277.02,1.7,80.64,2013
Radial Velocity,1,187.83,,84.03,2012
Radial Velocity,1,1630.0,,56.31,2012
Radial Velocity,1,39.845,1.04,17.43,1997
Radial Velocity,1,3.3135,3.9,15.6,1996
Radial Velocity,1,305.5,20.6,92.51,2013
Radial Velocity,4,4.617033,0.6876,13.47,1996
Radial Velocity,4,241.258,1.981,13.47,1999
Radial Velocity,4,1276.46,4.132,13.47,1999
Radial Velocity,4,3848.86,1.059,13.47,2010
Imaging,1,318280.0,,7.69,2008
Imaging,1,,,145.0,2008
Imaging,1,,,36.0,2013
Imaging,1,,,140.0,2010
Imaging,1,4639.15,,12.21,2009
Imaging,1,,,52.4,2004
Imaging,1,7336.5,,25.0,2009
Imaging,1,8679.7,,26.67,2009
Radial Velocity,1,655.6,5.1,37.54,2008
Radial Velocity,1,714.3,10.6,,2007
Radial Velocity,1,3.48777,,80.0,2000
Radial Velocity,2,5.6,0.045,42.09,2009
Radial Velocity,2,237.6,0.33,42.09,2009
Radial Velocity,2,3.8728,0.027,20.1,2013
Radial Velocity,2,125.94,0.17,20.1,2013
Radial Velocity,1,268.94,1.47,50.03,2009
Radial Velocity,1,137.48,1.11,175.44,2013
Radial Velocity,2,379.63,21.42,,2009
Radial Velocity,2,621.99,12.47,,2009
Radial Velocity,1,578.2,,,2012
Radial Velocity,1,392.6,0.91,,2011
Imaging,1,10037.5,,23.1,2011
Imaging,1,,,,2006
Transit,1,1.5089557,,,2008
Transit,1,1.7429935,,200.0,2008
Transit,1,4.2568,,680.0,2008
Transit,1,9.20205,,,2008
Transit,1,4.0378962,,,2009
Transit,1,8.886593,,,2009
Transit,2,0.853585,,150.0,2009
Radial Velocity,2,3.698,,150.0,2009
Transit,1,6.21229,,380.0,2010
Transit,1,95.2738,,460.0,2009
Transit,1,13.2406,,345.0,2010
Transit,1,2.99433,,560.0,2010
Transit,1,2.828042,,1150.0,2010
Transit,1,4.03519,,1060.0,2010
Transit,1,1.51214,,1340.0,2010
Transit,1,5.35227,,840.0,2011
Transit,1,3.7681,,920.0,2011
Transit,1,1.9000693,,870.0,2011
Transit,1,3.89713,,770.0,2011
Transit,1,9.24285,,1230.0,2011
Transit,1,3.6313,,600.0,2011
Transit,1,3.57532,,,2014
Astrometry,1,246.36,,20.77,2013
Radial Velocity,1,15.76491,3.91,10.91,1999
Radial Velocity,3,8.631,0.035,14.97,2013
Radial Velocity,3,25.6,0.024,14.97,2013
Radial Velocity,3,603.0,0.079,14.97,2013
Radial Velocity,1,2288.0,0.82,12.12,2009
Radial Velocity,2,692.0,1.894,15.1,2007
Radial Velocity,2,7100.0,1.6,15.1,2011
Radial Velocity,1,4100.0,2.3,20.03,2013
Radial Velocity,1,7.3709,0.018,9.04,2011
Radial Velocity,1,2.64385,,10.23,2004
Imaging,1,,,17.95,2013
Radial Velocity,4,5.36874,0.049,6.27,2005
Radial Velocity,4,12.9292,0.017,6.27,2005
Radial Velocity,4,66.8,0.022,6.27,2005
Radial Velocity,4,3.14942,0.006,6.27,2005
Radial Velocity,1,598.3,0.328,10.32,2009
Radial Velocity,6,7.2004,0.018,6.8,2011
Radial Velocity,6,28.14,0.012,6.8,2011
Radial Velocity,6,91.61,0.016,6.8,2013
Radial Velocity,6,62.24,0.008,6.8,2013
Radial Velocity,6,39.026,0.008,6.8,2013
Radial Velocity,6,256.2,0.014,6.8,2013
Radial Velocity,1,4.6938,0.035,4.54,2007
Radial Velocity,3,1050.3,4.95,16.13,2010
Radial Velocity,3,3.6,0.014,16.13,2012
Radial Velocity,3,35.37,0.036,16.13,2012
Radial Velocity,1,3416.0,0.64,4.94,2008
Radial Velocity,1,1845.0,0.91,8.77,2006
Radial Velocity,4,61.1166,2.2756,4.7,1998
Radial Velocity,4,30.0881,0.7142,4.7,2000
Radial Velocity,4,1.93778,0.021,4.7,2005
Radial Velocity,4,124.26,0.046,4.7,2010
Transit,1,1.58040482,,,2009
Radial Velocity,1,133.71,3.37,17.62,2000
Radial Velocity,1,3.33714,,25.2,2012
Radial Velocity,1,2.64561,0.022,19.8,2010
