Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
BARKSDALE AIR FORCE BASE ARPT,T-38A,None,1990-01-08,MILITARY,Louisiana,Climb,Large,Turkey vulture,Day,0,0,0,300
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-01-09,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,200
BARKSDALE AIR FORCE BASE ARPT,B-52,None,1990-01-11,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,130
NEW ORLEANS INTL,B-737-300,Substantial,1990-01-11,SOUTHWEST AIRLINES,Louisiana,Take-off run,Small,Rock pigeon,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-01-12,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-02-02,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-02-06,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dusk,0,0,0,140
WASHINGTON DULLES INTL ARPT,B-727,None,1990-02-22,FEDEX EXPRESS,DC,Approach,Large,Unknown bird - large,Night,0,0,0,190
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-03-01,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,B-52,None,1990-03-02,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,130
WASHINGTON DULLES INTL ARPT,BA-146,Medium,1990-03-03,AIR WISCONSIN AIRLINES,DC,Climb,Large,Unknown bird - large,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,B-52,None,1990-03-08,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150
RONALD REAGAN WASHINGTON NATL,C-141B,None,1990-03-09,MILITARY,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,200
CHARLESTON AFB/INTL ARPT,C-141B,None,1990-03-09,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,190
BARKSDALE AIR FORCE BASE ARPT,B-52,None,1990-03-09,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,1990-03-13,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,4175,4175,250
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-03-19,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,150
LAMBERT-ST LOUIS INTL,SA227 AC METRO III,Minor,1990-03-22,TRANS STATES AIRLINES,Missouri,Climb,Small,European starling,Day,0,0,0,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-04-04,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,135
LAGUARDIA NY,B-737-400,Substantial,1990-04-07,US AIRWAYS*,New York,Take-off run,Large,Canada goose,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-04-07,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-04-09,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,210
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-04-15,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-04-16,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dawn,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-04-18,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-04-19,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,1990-04-19,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,140
NEW ORLEANS INTL,B-727,None,1990-04-19,AMERICAN AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,235
CHARLOTTE/DOUGLAS INTL ARPT,BE-58  BARON,None,1990-04-20,UNKNOWN,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,105
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-04-23,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dawn,0,0,0,190
CHARLESTON AFB/INTL ARPT,C-141B,None,1990-04-23,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,160
CHARLESTON AFB/INTL ARPT,C-141B,None,1990-04-24,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,200
BARKSDALE AIR FORCE BASE ARPT,B-52,None,1990-04-25,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-04-25,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,170
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,1990-04-26,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,180
LOS ANGELES INTL,B-737-300,None,1990-04-27,US AIRWAYS*,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,230
CHICAGO O'HARE INTL ARPT,B-727,None,1990-04-27,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,
PORTLAND INTL (OR),B-727,None,1990-04-28,AMERICAN AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,127
WASHINGTON DULLES INTL ARPT,B-727,Medium,1990-04-29,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,250
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-400,Substantial,1990-04-30,US AIRWAYS*,Florida,Take-off run,Small,Unknown bird - small,Day,0,0,0,140
CHICAGO O'HARE INTL ARPT,B-727,None,1990-05-01,UNITED AIRLINES,Illinois,Climb,Large,White-tailed deer,Night,0,0,0,120
HOUSTON-HOBBY,B-737-500,None,1990-05-01,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,124
CHICAGO O'HARE INTL ARPT,B-767-200,None,1990-05-02,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
SAN ANTONIO INTL,B-737-200,None,1990-05-03,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,320
SACRAMENTO INTL,MD-80,None,1990-05-05,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,260
WILL ROGERS WORLD ARPT,B-727-200,None,1990-05-05,AMERICAN AIRLINES,Oklahoma,Approach,Small,Unknown bird - small,Day,0,0,0,150
ATLANTA INTL,B-767,None,1990-05-05,DELTA AIR LINES,Georgia,Approach,Small,Unknown bird - small,Night,0,0,0,180
INDIANAPOLIS INTL,BE-90  KING,Minor,1990-05-07,BUSINESS,Indiana,Descent,Medium,Unknown bird - medium,Day,0,0,0,160
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1990-05-07,AMERICAN AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,240
KANSAS CITY INTL,E-4B,None,1990-05-08,MILITARY,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
MINETA SAN JOSE INTL,MD-80,None,1990-05-08,AMERICAN AIRLINES,California,Take-off run,Small,American robin,Day,0,0,0,135
METRO OAKLAND INTL,MD-82,None,1990-05-10,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,135
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1990-05-10,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,220
CHICAGO O'HARE INTL ARPT,MD-82,None,1990-05-11,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250
NASHVILLE INTL,B-727,None,1990-05-13,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,1990-05-13,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,160
NASHVILLE INTL,MD-80,None,1990-05-13,AMERICAN AIRLINES,Tennessee,Climb,Small,European starling,Day,0,0,0,160
MINNEAPOLIS-ST PAUL INTL,DC-9,None,1990-05-13,AMERICAN AIRLINES,Minnesota,Landing Roll,Small,American robin,Day,0,0,0,100
PORTLAND INTL (OR),MD-80,None,1990-05-14,AMERICAN AIRLINES,Oregon,Descent,Medium,Unknown bird - medium,Night,0,0,0,200
LAMBERT-ST LOUIS INTL,MD-80,None,1990-05-14,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140
CHICAGO O'HARE INTL ARPT,KC-135E,None,1990-05-15,MILITARY,Illinois,Take-off run,Large,Coyote,Day,0,0,0,150
CHICAGO O'HARE INTL ARPT,C-130,None,1990-05-15,MILITARY,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,1990-05-15,AMERICAN AIRLINES,Texas,Landing Roll,Medium,American crow,Day,0,0,0,135
SALT LAKE CITY INTL,KC-135E,None,1990-05-15,MILITARY,Utah,Landing Roll,Small,Common nighthawk,Day,0,0,0,150
HONOLULU INTL ARPT,B-737,None,1990-05-16,ALOHA AIRLINES,Hawaii,Landing Roll,Large,Unknown bird - large,Day,0,0,0,70
AUSTIN-BERGSTROM INTL,B-737-200,None,1990-05-16,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-727,None,1990-05-18,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Night,0,0,0,122
LAMBERT-ST LOUIS INTL,MD-80,None,1990-05-19,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140
RONALD REAGAN WASHINGTON NATL,B-757-200,None,1990-05-20,AMERICAN AIRLINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,120
SACRAMENTO INTL,B-737-300,None,1990-05-22,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,140
CHICAGO O'HARE INTL ARPT,B-727-200,None,1990-05-22,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,140
SAN FRANCISCO INTL ARPT,B-767,None,1990-05-23,DELTA AIR LINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,150
CHARLESTON AFB/INTL ARPT,C-141B,None,1990-05-24,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,250
HOUSTON-HOBBY,B-737-300,None,1990-05-24,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250
LAMBERT-ST LOUIS INTL,L-1011,None,1990-05-26,TRANS WORLD AIRLINES,Missouri,Descent,Medium,Unknown bird - medium,Day,0,0,0,160
HOUSTON-HOBBY,B-737,None,1990-05-26,SOUTHWEST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
CLEVELAND-HOPKINS INTL ARPT,EMB-120,None,1990-05-26,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Climb,Medium,Unknown bird - medium,Night,0,0,0,180
NASHVILLE INTL,B-727-200,None,1990-05-26,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,170
SACRAMENTO INTL,B-737-300,None,1990-05-27,UNITED AIRLINES,California,Approach,Medium,Mallard,Day,0,0,0,140
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,1990-05-27,US AIRWAYS*,Kentucky,Climb,Medium,Unknown bird - medium,Night,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1990-05-27,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Day,0,0,0,170
LOUISVILLE INTL ARPT,DC-9-10,None,1990-05-29,TRANS WORLD AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
