Entity,Year,Deaths
All natural disasters,1900,1267360
All natural disasters,1901,200018
All natural disasters,1902,46037
All natural disasters,1903,6506
All natural disasters,1905,22758
All natural disasters,1906,42970
All natural disasters,1907,1325641
All natural disasters,1908,75033
All natural disasters,1909,1511524
All natural disasters,1910,148233
All natural disasters,1911,102408
All natural disasters,1912,52093
All natural disasters,1913,882
All natural disasters,1914,289
All natural disasters,1915,32167
All natural disasters,1916,300
All natural disasters,1917,2523507
All natural disasters,1918,461113
All natural disasters,1919,5500
All natural disasters,1920,3204224
All natural disasters,1921,1200000
All natural disasters,1922,101243
All natural disasters,1923,255701
All natural disasters,1924,303009
All natural disasters,1925,5832
All natural disasters,1926,427852
All natural disasters,1927,215160
All natural disasters,1928,3004895
All natural disasters,1929,8377
All natural disasters,1930,10572
All natural disasters,1931,3706227
All natural disasters,1932,73296
All natural disasters,1933,34296
All natural disasters,1934,21087
All natural disasters,1935,272817
All natural disasters,1936,5301
All natural disasters,1937,12025
All natural disasters,1938,2225
All natural disasters,1939,563178
All natural disasters,1940,23023
All natural disasters,1941,10195
All natural disasters,1942,1608235
All natural disasters,1943,1910322
All natural disasters,1944,15906
All natural disasters,1945,10376
All natural disasters,1946,35490
All natural disasters,1947,17647
All natural disasters,1948,120131
All natural disasters,1949,120370
All natural disasters,1950,6728
All natural disasters,1951,15042
All natural disasters,1952,8965
All natural disasters,1953,12956
All natural disasters,1954,41872
All natural disasters,1955,6026
All natural disasters,1956,7737
All natural disasters,1957,10603
All natural disasters,1958,3950
All natural disasters,1959,2013242
All natural disasters,1960,39188
All natural disasters,1961,17341
All natural disasters,1962,17370
All natural disasters,1963,37746
All natural disasters,1964,12892
All natural disasters,1965,1565517
All natural disasters,1966,17181
All natural disasters,1967,10103
All natural disasters,1968,21461
All natural disasters,1969,11687
All natural disasters,1970,387507
All natural disasters,1971,18086
All natural disasters,1972,20045
All natural disasters,1973,110555
All natural disasters,1974,87504
All natural disasters,1975,14858
All natural disasters,1976,280469
All natural disasters,1977,22406
All natural disasters,1978,38096
All natural disasters,1979,7341
All natural disasters,1980,23089
All natural disasters,1981,119697
All natural disasters,1982,13973
All natural disasters,1983,461561
All natural disasters,1984,16273
All natural disasters,1985,60232
All natural disasters,1986,10349
All natural disasters,1987,21533
All natural disasters,1988,57464
All natural disasters,1989,12611
All natural disasters,1990,53141
All natural disasters,1991,189707
All natural disasters,1992,18911
All natural disasters,1993,21821
All natural disasters,1994,15590
All natural disasters,1995,27166
All natural disasters,1996,31595
All natural disasters,1997,30124
All natural disasters,1998,62672
All natural disasters,1999,76886
All natural disasters,2000,16667
All natural disasters,2001,39493
All natural disasters,2002,21342
All natural disasters,2003,113558
All natural disasters,2004,244772
All natural disasters,2005,93566
All natural disasters,2006,29893
All natural disasters,2007,22422
All natural disasters,2008,242236
All natural disasters,2009,16037
All natural disasters,2010,329900
All natural disasters,2011,34143
All natural disasters,2012,11619
All natural disasters,2013,22225
All natural disasters,2014,20882
All natural disasters,2015,23893
All natural disasters,2016,10201
All natural disasters,2017,2087
Drought,1900,1261000
Drought,1910,85000
Drought,1920,524000
Drought,1921,1200000
Drought,1928,3000000
Drought,1940,20000
Drought,1942,1500000
Drought,1943,1900000
Drought,1946,30000
Drought,1964,50
Drought,1965,1502000
Drought,1966,8000
Drought,1967,600
Drought,1973,100000
Drought,1974,19000
Drought,1978,63
Drought,1979,18
Drought,1981,103000
Drought,1982,280
Drought,1983,450520
Drought,1984,230
Drought,1986,84
Drought,1987,1317
Drought,1988,1600
Drought,1989,237
Drought,1991,2000
Drought,1997,732
Drought,1998,20
Drought,1999,361
Drought,2000,80
Drought,2001,99
Drought,2002,588
Drought,2003,9
