time,count
2015/01/01 01:00:00,2
2015/01/01 04:00:00,3
2015/01/01 05:00:00,1
2015/01/01 08:00:00,1
2015/01/01 09:00:00,3
2015/01/01 11:00:00,1
2015/01/01 14:00:00,3
2015/01/01 19:00:00,1
2015/01/01 22:00:00,1
2015/01/02 01:00:00,2
2015/01/02 09:00:00,1
2015/01/02 10:00:00,3
2015/01/02 12:00:00,2
2015/01/02 13:00:00,2
2015/01/02 21:00:00,3
2015/01/02 23:00:00,1
2015/01/03 00:00:00,2
2015/01/03 08:00:00,2
2015/01/03 10:00:00,1
2015/01/03 12:00:00,2
2015/01/03 13:00:00,2
2015/01/03 17:00:00,1
2015/01/03 18:00:00,1
2015/01/03 21:00:00,2
2015/01/03 22:00:00,2
2015/01/04 00:00:00,2
2015/01/04 13:00:00,1
2015/01/04 15:00:00,1
2015/01/04 19:00:00,1
2015/01/04 20:00:00,6
2015/01/04 21:00:00,2
2015/01/05 04:00:00,1
2015/01/05 06:00:00,3
2015/01/05 07:00:00,1
2015/01/05 09:00:00,1
2015/01/05 10:00:00,2
2015/01/05 11:00:00,4
2015/01/05 13:00:00,2
2015/01/05 14:00:00,2
2015/01/06 00:00:00,5
2015/01/06 03:00:00,1
2015/01/06 04:00:00,1
2015/01/06 05:00:00,1
2015/01/06 07:00:00,9
2015/01/06 11:00:00,1
2015/01/06 14:00:00,24
2015/01/06 21:00:00,1
2015/01/07 02:00:00,1
2015/01/07 03:00:00,1
2015/01/07 07:00:00,1
2015/01/07 08:00:00,1
2015/01/07 09:00:00,1
2015/01/07 13:00:00,1
2015/01/07 14:00:00,2
2015/01/07 18:00:00,1
2015/01/07 19:00:00,2
2015/01/08 01:00:00,1
2015/01/08 03:00:00,1
2015/01/08 06:00:00,12
2015/01/08 09:00:00,2
2015/01/08 11:00:00,1
2015/01/08 14:00:00,2
2015/01/08 18:00:00,1
2015/01/09 02:00:00,2
2015/01/09 05:00:00,1
2015/01/09 07:00:00,10
2015/01/09 08:00:00,1
2015/01/09 09:00:00,1
2015/01/09 13:00:00,1
2015/01/09 17:00:00,2
2015/01/09 20:00:00,4
2015/01/10 05:00:00,2
2015/01/10 15:00:00,2
2015/01/10 17:00:00,5
2015/01/10 22:00:00,1
2015/01/10 23:00:00,1
2015/01/11 06:00:00,2
2015/01/11 09:00:00,1
2015/01/11 12:00:00,2
2015/01/11 14:00:00,2
2015/01/11 16:00:00,1
2015/01/11 19:00:00,2
2015/01/11 22:00:00,1
2015/01/12 00:00:00,1
2015/01/12 01:00:00,8
2015/01/12 04:00:00,1
2015/01/12 06:00:00,1
2015/01/12 08:00:00,3
2015/01/12 10:00:00,1
2015/01/12 11:00:00,1
2015/01/12 14:00:00,1
2015/01/12 16:00:00,1
2015/01/12 17:00:00,3
2015/01/12 23:00:00,1
2015/01/13 13:00:00,1
2015/01/13 15:00:00,1
2015/01/13 22:00:00,1
2015/01/14 04:00:00,1
2015/01/14 08:00:00,1
2015/01/14 15:00:00,3
2015/01/14 22:00:00,1
2015/01/15 00:00:00,2
2015/01/15 01:00:00,4
2015/01/15 03:00:00,2
2015/01/15 11:00:00,1
2015/01/15 12:00:00,6
2015/01/15 15:00:00,1
2015/01/15 19:00:00,1
2015/01/16 04:00:00,2
2015/01/16 14:00:00,2
2015/01/16 15:00:00,1
2015/01/16 17:00:00,1
2015/01/16 18:00:00,1
2015/01/16 19:00:00,1
2015/01/16 20:00:00,1
2015/01/17 10:00:00,1
2015/01/17 22:00:00,2
2015/01/17 23:00:00,2
2015/01/18 02:00:00,5
2015/01/18 03:00:00,9
2015/01/18 06:00:00,2
2015/01/18 07:00:00,1
2015/01/18 10:00:00,1
2015/01/18 12:00:00,10
2015/01/18 14:00:00,1
2015/01/18 15:00:00,3
2015/01/18 16:00:00,2
2015/01/18 18:00:00,2
2015/01/18 19:00:00,2
2015/01/18 22:00:00,1
2015/01/19 01:00:00,3
2015/01/19 03:00:00,9
2015/01/19 04:00:00,1
2015/01/19 14:00:00,9
2015/01/19 20:00:00,3
2015/01/19 21:00:00,1
2015/01/19 22:00:00,2
2015/01/20 00:00:00,3
2015/01/20 04:00:00,1
2015/01/20 09:00:00,1
2015/01/20 10:00:00,1
2015/01/20 12:00:00,6
2015/01/20 13:00:00,5
2015/01/20 20:00:00,1
2015/01/21 04:00:00,1
2015/01/21 08:00:00,2
2015/01/21 11:00:00,1
2015/01/21 17:00:00,1
2015/01/21 20:00:00,1
2015/01/22 10:00:00,1
