longitude,latitude,dir,dirCat,speed
0.125,45.125,228,225,3.12
0.375,45.125,228,225,3.24
0.625,45.125,229,225,3.34
0.875,45.125,229,225,3.44
1.125,45.125,228,225,3.48
1.375,45.125,226,225,3.49
1.625,45.125,225,225,3.50
1.875,45.125,224,225,3.51
2.125,45.125,222,225,3.52
2.375,45.125,220,225,3.53
2.625,45.125,218,225,3.54
2.875,45.125,215,210,3.55
3.125,45.125,208,210,3.59
3.375,45.125,201,195,3.67
3.625,45.125,194,195,3.80
3.875,45.125,190,195,3.98
4.125,45.125,188,195,4.18
4.375,45.125,186,180,4.39
4.625,45.125,184,180,4.52
4.875,45.125,184,180,4.19
5.125,45.125,186,180,3.54
5.375,45.125,189,195,2.92
5.625,45.125,191,195,2.41
5.875,45.125,193,195,2.11
6.125,45.125,193,195,1.90
6.375,45.125,195,195,1.65
6.625,45.125,196,195,1.52
6.875,45.125,195,195,1.56
7.125,45.125,194,195,1.65
7.375,45.125,193,195,1.73
7.625,45.125,199,195,1.79
7.875,45.125,212,210,1.90
8.125,45.125,223,225,2.10
8.375,45.125,232,225,2.31
8.625,45.125,238,240,2.32
8.875,45.125,243,240,2.18
9.125,45.125,250,255,2.06
9.375,45.125,255,255,1.97
9.625,45.125,257,255,1.90
9.875,45.125,257,255,1.83
-9.875,45.125,246,240,8.54
-9.625,45.125,247,240,8.70
-9.375,45.125,249,255,8.84
-9.125,45.125,250,255,8.91
-8.875,45.125,251,255,8.95
-8.625,45.125,252,255,8.99
-8.375,45.125,253,255,9.02
-8.125,45.125,255,255,9.02
-7.875,45.125,256,255,9.03
-7.625,45.125,257,255,9.03
-7.375,45.125,258,255,8.89
-7.125,45.125,258,255,8.58
-6.875,45.125,259,255,8.27
-6.625,45.125,260,255,7.97
-6.375,45.125,261,255,7.71
-6.125,45.125,261,255,7.46
-5.875,45.125,261,255,7.22
-5.625,45.125,261,255,6.99
-5.375,45.125,260,255,6.77
-5.125,45.125,259,255,6.57
-4.875,45.125,258,255,6.37
-4.625,45.125,256,255,6.18
-4.375,45.125,253,255,5.99
-4.125,45.125,250,255,5.82
-3.875,45.125,247,240,5.66
-3.625,45.125,244,240,5.59
-3.375,45.125,242,240,5.61
-3.125,45.125,239,240,5.65
-2.875,45.125,237,240,5.68
-2.625,45.125,235,240,5.60
-2.375,45.125,234,240,5.42
-2.125,45.125,232,225,5.25
-1.875,45.125,231,225,5.08
-1.625,45.125,231,225,4.90
-1.375,45.125,231,225,4.59
-1.125,45.125,231,225,3.57
-0.875,45.125,231,225,2.77
-0.625,45.125,230,225,2.83
-0.375,45.125,229,225,2.93
-0.125,45.125,229,225,3.01
0.125,45.375,232,225,3.22
0.375,45.375,231,225,3.33
0.625,45.375,232,225,3.43
0.875,45.375,232,225,3.51
1.125,45.375,231,225,3.53
1.375,45.375,230,225,3.50
1.625,45.375,229,225,3.46
1.875,45.375,227,225,3.42
2.125,45.375,225,225,3.40
2.375,45.375,223,225,3.39
2.625,45.375,221,225,3.38
2.875,45.375,218,225,3.36
3.125,45.375,211,210,3.34
3.375,45.375,204,210,3.36
3.625,45.375,197,195,3.43
3.875,45.375,192,195,3.59
4.125,45.375,190,195,3.79
4.375,45.375,187,180,4.02
4.625,45.375,186,180,4.18
4.875,45.375,186,180,3.95
5.125,45.375,188,195,3.40
5.375,45.375,190,195,2.87
5.625,45.375,193,195,2.42
5.875,45.375,194,195,2.13
6.125,45.375,195,195,1.92
6.375,45.375,196,195,1.69
6.625,45.375,197,195,1.60
6.875,45.375,196,195,1.68
7.125,45.375,195,195,1.75
7.375,45.375,193,195,1.83
7.625,45.375,198,195,1.86
7.875,45.375,208,210,1.95
8.125,45.375,217,210,2.17
8.375,45.375,224,225,2.38
8.625,45.375,228,225,2.36
8.875,45.375,232,225,2.14
9.125,45.375,237,240,1.92
9.375,45.375,242,240,1.78
9.625,45.375,245,240,1.73
9.875,45.375,247,240,1.73
-9.875,45.375,247,240,7.81
-9.625,45.375,248,255,7.96
-9.375,45.375,249,255,8.08
-9.125,45.375,250,255,8.11
-8.875,45.375,251,255,8.12
-8.625,45.375,252,255,8.12
-8.375,45.375,253,255,8.11
-8.125,45.375,254,255,8.08
-7.875,45.375,254,255,8.04
-7.625,45.375,255,255,8.01
-7.375,45.375,256,255,7.90
-7.125,45.375,256,255,7.71
-6.875,45.375,257,255,7.51
-6.625,45.375,258,255,7.32
-6.375,45.375,258,255,7.14
-6.125,45.375,258,255,6.97
-5.875,45.375,258,255,6.81
-5.625,45.375,258,255,6.65
-5.375,45.375,257,255,6.49
-5.125,45.375,255,255,6.34
-4.875,45.375,253,255,6.19
-4.625,45.375,251,255,6.07
-4.375,45.375,249,255,5.96
-4.125,45.375,246,240,5.86
-3.875,45.375,244,240,5.78
-3.625,45.375,241,240,5.76
-3.375,45.375,239,240,5.81
-3.125,45.375,238,240,5.87
-2.875,45.375,236,240,5.92
-2.625,45.375,235,240,5.85
